dc (V),NM0:d (Wn=5.00e-06) (A),NM0:d (Wn=1.00e-05) (A),NM0:d (Wn=1.50e-05) (A),NM0:d (Wn=2.00e-05) (A),NM0:d (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 5e-06)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2.5e-05))
68.00E-3,172.2E-12,309.5E-12,447.5E-12,585.5E-12,723.5E-12,70.00E-3,19.58E-9,14.96E-9,10.34E-9,5.745E-9,24.20E-9
70.00E-3,183.6E-12,330.2E-12,477.5E-12,624.7E-12,771.9E-12,72.00E-3,20.89E-9,15.97E-9,11.04E-9,6.130E-9,25.82E-9
72.00E-3,195.9E-12,352.3E-12,509.4E-12,666.5E-12,823.5E-12,74.00E-3,22.30E-9,17.04E-9,11.78E-9,6.541E-9,27.55E-9
74.00E-3,209.0E-12,375.9E-12,543.5E-12,711.1E-12,878.6E-12,76.00E-3,23.79E-9,18.18E-9,12.57E-9,6.980E-9,29.40E-9
76.00E-3,222.9E-12,401.0E-12,579.8E-12,758.6E-12,937.4E-12,78.00E-3,25.39E-9,19.40E-9,13.41E-9,7.447E-9,31.37E-9
78.00E-3,237.8E-12,427.8E-12,618.6E-12,809.4E-12,1.000E-9,80.00E-3,27.09E-9,20.70E-9,14.31E-9,7.946E-9,33.48E-9
80.00E-3,253.7E-12,456.4E-12,660.0E-12,863.6E-12,1.067E-9,82.00E-3,28.90E-9,22.09E-9,15.27E-9,8.478E-9,35.72E-9
82.00E-3,270.7E-12,487.0E-12,704.2E-12,921.4E-12,1.139E-9,84.00E-3,30.84E-9,23.56E-9,16.29E-9,9.046E-9,38.11E-9
84.00E-3,288.8E-12,519.5E-12,751.3E-12,983.1E-12,1.215E-9,86.00E-3,32.90E-9,25.14E-9,17.38E-9,9.651E-9,40.66E-9
86.00E-3,308.1E-12,554.3E-12,801.6E-12,1.049E-9,1.296E-9,88.00E-3,35.10E-9,26.82E-9,18.54E-9,10.30E-9,43.38E-9
88.00E-3,328.7E-12,591.4E-12,855.3E-12,1.119E-9,1.383E-9,90.00E-3,37.45E-9,28.61E-9,19.78E-9,10.98E-9,46.28E-9
90.00E-3,350.6E-12,630.9E-12,912.5E-12,1.194E-9,1.475E-9,92.00E-3,39.95E-9,30.52E-9,21.10E-9,11.72E-9,49.37E-9
92.00E-3,374.1E-12,673.1E-12,973.5E-12,1.274E-9,1.574E-9,94.00E-3,42.61E-9,32.56E-9,22.51E-9,12.50E-9,52.66E-9
94.00E-3,399.1E-12,718.1E-12,1.039E-9,1.359E-9,1.680E-9,96.00E-3,45.45E-9,34.73E-9,24.01E-9,13.33E-9,56.18E-9
96.00E-3,425.7E-12,766.2E-12,1.108E-9,1.450E-9,1.792E-9,98.00E-3,48.48E-9,37.05E-9,25.61E-9,14.22E-9,59.92E-9
98.00E-3,454.2E-12,817.4E-12,1.182E-9,1.547E-9,1.912E-9,100.0E-3,51.72E-9,39.52E-9,27.31E-9,15.17E-9,63.92E-9
100.0E-3,484.5E-12,872.0E-12,1.261E-9,1.650E-9,2.040E-9,102.0E-3,55.16E-9,42.15E-9,29.13E-9,16.18E-9,68.18E-9
102.0E-3,516.9E-12,930.3E-12,1.346E-9,1.761E-9,2.176E-9,104.0E-3,58.84E-9,44.96E-9,31.07E-9,17.25E-9,72.72E-9
104.0E-3,551.4E-12,992.4E-12,1.435E-9,1.878E-9,2.321E-9,106.0E-3,62.75E-9,47.95E-9,33.14E-9,18.40E-9,77.56E-9
106.0E-3,588.2E-12,1.059E-9,1.531E-9,2.004E-9,2.476E-9,108.0E-3,66.93E-9,51.14E-9,35.35E-9,19.62E-9,82.72E-9
108.0E-3,627.4E-12,1.129E-9,1.634E-9,2.138E-9,2.642E-9,110.0E-3,71.38E-9,54.54E-9,37.70E-9,20.93E-9,88.22E-9
110.0E-3,669.3E-12,1.205E-9,1.743E-9,2.281E-9,2.818E-9,112.0E-3,76.13E-9,58.17E-9,40.20E-9,22.32E-9,94.09E-9
112.0E-3,713.9E-12,1.285E-9,1.859E-9,2.433E-9,3.006E-9,114.0E-3,81.19E-9,62.03E-9,42.87E-9,23.80E-9,100.3E-9
