dc (V),NM0:d (Wn=5.00e-06) (A),NM0:d (Wn=1.00e-05) (A),NM0:d (Wn=1.50e-05) (A),NM0:d (Wn=2.00e-05) (A),NM0:d (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 5e-06)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2.5e-05))
304.0E-3,273.2E-9,498.3E-9,723.9E-9,949.4E-9,1.175E-6,306.0E-3,27.71E-6,21.11E-6,14.50E-6,7.900E-6,34.31E-6
306.0E-3,289.0E-9,527.3E-9,766.1E-9,1.005E-6,1.243E-6,308.0E-3,29.22E-6,22.25E-6,15.28E-6,8.324E-6,36.18E-6
308.0E-3,305.7E-9,557.8E-9,810.6E-9,1.063E-6,1.316E-6,310.0E-3,30.80E-6,23.46E-6,16.11E-6,8.768E-6,38.14E-6
310.0E-3,323.2E-9,590.1E-9,857.6E-9,1.125E-6,1.392E-6,312.0E-3,32.46E-6,24.72E-6,16.97E-6,9.234E-6,40.20E-6
312.0E-3,341.7E-9,624.0E-9,907.0E-9,1.190E-6,1.473E-6,314.0E-3,34.20E-6,26.04E-6,17.87E-6,9.721E-6,42.35E-6
314.0E-3,361.1E-9,659.7E-9,959.1E-9,1.258E-6,1.557E-6,316.0E-3,36.02E-6,27.42E-6,18.82E-6,10.23E-6,44.61E-6
316.0E-3,381.6E-9,697.4E-9,1.014E-6,1.330E-6,1.646E-6,318.0E-3,37.92E-6,28.87E-6,19.81E-6,10.76E-6,46.97E-6
318.0E-3,403.1E-9,737.0E-9,1.072E-6,1.406E-6,1.740E-6,320.0E-3,39.92E-6,30.39E-6,20.85E-6,11.32E-6,49.44E-6
320.0E-3,425.8E-9,778.7E-9,1.132E-6,1.486E-6,1.839E-6,322.0E-3,42.00E-6,31.97E-6,21.93E-6,11.90E-6,52.03E-6
322.0E-3,449.6E-9,822.6E-9,1.196E-6,1.570E-6,1.943E-6,324.0E-3,44.19E-6,33.63E-6,23.07E-6,12.51E-6,54.74E-6
324.0E-3,474.6E-9,868.7E-9,1.264E-6,1.658E-6,2.053E-6,326.0E-3,46.47E-6,35.36E-6,24.25E-6,13.15E-6,57.57E-6
326.0E-3,500.9E-9,917.2E-9,1.334E-6,1.751E-6,2.168E-6,328.0E-3,48.85E-6,37.17E-6,25.49E-6,13.81E-6,60.52E-6
328.0E-3,528.5E-9,968.2E-9,1.409E-6,1.849E-6,2.289E-6,330.0E-3,51.34E-6,39.07E-6,26.78E-6,14.50E-6,63.61E-6
330.0E-3,557.5E-9,1.022E-6,1.487E-6,1.952E-6,2.416E-6,332.0E-3,53.94E-6,41.04E-6,28.13E-6,15.23E-6,66.84E-6
332.0E-3,588.0E-9,1.078E-6,1.569E-6,2.059E-6,2.550E-6,334.0E-3,56.65E-6,43.10E-6,29.54E-6,15.98E-6,70.20E-6
334.0E-3,619.9E-9,1.137E-6,1.655E-6,2.173E-6,2.690E-6,336.0E-3,59.48E-6,45.25E-6,31.00E-6,16.76E-6,73.71E-6
336.0E-3,653.5E-9,1.199E-6,1.746E-6,2.292E-6,2.838E-6,338.0E-3,62.44E-6,47.49E-6,32.53E-6,17.58E-6,77.38E-6
338.0E-3,688.6E-9,1.264E-6,1.841E-6,2.417E-6,2.992E-6,340.0E-3,65.51E-6,49.83E-6,34.13E-6,18.43E-6,81.19E-6
340.0E-3,725.5E-9,1.332E-6,1.940E-6,2.548E-6,3.155E-6,342.0E-3,68.72E-6,52.26E-6,35.79E-6,19.32E-6,85.17E-6
342.0E-3,764.1E-9,1.404E-6,2.045E-6,2.685E-6,3.325E-6,344.0E-3,72.06E-6,54.80E-6,37.52E-6,20.24E-6,89.32E-6
344.0E-3,804.6E-9,1.479E-6,2.154E-6,2.829E-6,3.504E-6,346.0E-3,75.54E-6,57.44E-6,39.32E-6,21.20E-6,93.64E-6
346.0E-3,847.0E-9,1.558E-6,2.269E-6,2.980E-6,3.691E-6,348.0E-3,79.16E-6,60.19E-6,41.19E-6,22.20E-6,98.13E-6
348.0E-3,891.4E-9,1.640E-6,2.390E-6,3.139E-6,3.887E-6,350.0E-3,82.93E-6,63.05E-6,43.14E-6,23.24E-6,102.8E-6
350.0E-3,937.9E-9,1.726E-6,2.516E-6,3.304E-6,4.093E-6,352.0E-3,86.85E-6,66.02E-6,45.17E-6,24.32E-6,107.7E-6
352.0E-3,986.6E-9,1.817E-6,2.648E-6,3.478E-6,4.308E-6,354.0E-3,90.92E-6,69.11E-6,47.27E-6,25.44E-6,112.7E-6
354.0E-3,1.037E-6,1.911E-6,2.786E-6,3.660E-6,4.534E-6,356.0E-3,95.16E-6,72.32E-6,49.46E-6,26.60E-6,118.0E-6
356.0E-3,1.091E-6,2.010E-6,2.931E-6,3.850E-6,4.770E-6,358.0E-3,99.56E-6,75.66E-6,51.73E-6,27.81E-6,123.4E-6
358.0E-3,1.146E-6,2.114E-6,3.082E-6,4.049E-6,5.017E-6,360.0E-3,104.1E-6,79.12E-6,54.09E-6,29.07E-6,129.1E-6
360.0E-3,1.204E-6,2.222E-6,3.240E-6,4.258E-6,5.275E-6,362.0E-3,108.9E-6,82.72E-6,56.54E-6,30.37E-6,135.0E-6
362.0E-3,1.265E-6,2.335E-6,3.406E-6,4.475E-6,5.545E-6,364.0E-3,113.8E-6,86.45E-6,59.09E-6,31.71E-6,141.1E-6
364.0E-3,1.329E-6,2.453E-6,3.579E-6,4.703E-6,5.827E-6,366.0E-3,118.9E-6,90.33E-6,61.72E-6,33.11E-6,147.5E-6
366.0E-3,1.395E-6,2.576E-6,3.759E-6,4.941E-6,6.122E-6,368.0E-3,124.2E-6,94.34E-6,64.45E-6,34.56E-6,154.0E-6
368.0E-3,1.464E-6,2.705E-6,3.948E-6,5.189E-6,6.430E-6,370.0E-3,129.7E-6,98.51E-6,67.29E-6,36.06E-6,160.9E-6
370.0E-3,1.536E-6,2.840E-6,4.145E-6,5.449E-6,6.752E-6,372.0E-3,135.4E-6,102.8E-6,70.23E-6,37.62E-6,167.9E-6
372.0E-3,1.611E-6,2.980E-6,4.351E-6,5.719E-6,7.088E-6,374.0E-3,141.3E-6,107.3E-6,73.27E-6,39.23E-6,175.3E-6
374.0E-3,1.690E-6,3.127E-6,4.565E-6,6.002E-6,7.438E-6,376.0E-3,147.4E-6,111.9E-6,76.42E-6,40.90E-6,182.8E-6
376.0E-3,1.772E-6,3.280E-6,4.789E-6,6.297E-6,7.804E-6,378.0E-3,153.7E-6,116.7E-6,79.68E-6,42.62E-6,190.7E-6
378.0E-3,1.857E-6,3.439E-6,5.022E-6,6.604E-6,8.185E-6,380.0E-3,160.3E-6,121.7E-6,83.06E-6,44.41E-6,198.8E-6
380.0E-3,1.946E-6,3.605E-6,5.266E-6,6.925E-6,8.583E-6,382.0E-3,167.1E-6,126.8E-6,86.55E-6,46.26E-6,207.3E-6
382.0E-3,2.038E-6,3.778E-6,5.519E-6,7.259E-6,8.998E-6,384.0E-3,174.1E-6,132.1E-6,90.17E-6,48.17E-6,216.0E-6
384.0E-3,2.134E-6,3.959E-6,5.784E-6,7.607E-6,9.429E-6,386.0E-3,181.3E-6,137.6E-6,93.91E-6,50.14E-6,225.0E-6
386.0E-3,2.235E-6,4.147E-6,6.059E-6,7.970E-6,9.879E-6,388.0E-3,188.8E-6,143.3E-6,97.78E-6,52.19E-6,234.3E-6
388.0E-3,2.339E-6,4.342E-6,6.346E-6,8.347E-6,10.35E-6,390.0E-3,196.6E-6,149.2E-6,101.8E-6,54.30E-6,244.0E-6
390.0E-3,2.448E-6,4.546E-6,6.644E-6,8.741E-6,10.84E-6,392.0E-3,204.6E-6,155.3E-6,105.9E-6,56.48E-6,254.0E-6
392.0E-3,2.561E-6,4.757E-6,6.955E-6,9.150E-6,11.34E-6,394.0E-3,212.9E-6,161.6E-6,110.2E-6,58.74E-6,264.3E-6
394.0E-3,2.678E-6,4.978E-6,7.278E-6,9.576E-6,11.87E-6,396.0E-3,221.5E-6,168.1E-6,114.6E-6,61.07E-6,274.9E-6
396.0E-3,2.800E-6,5.207E-6,7.614E-6,10.02E-6,12.42E-6,398.0E-3,230.4E-6,174.8E-6,119.2E-6,63.47E-6,285.9E-6
398.0E-3,2.927E-6,5.445E-6,7.964E-6,10.48E-6,12.99E-6,400.0E-3,239.5E-6,181.7E-6,123.9E-6,65.96E-6,297.3E-6
400.0E-3,3.059E-6,5.693E-6,8.327E-6,10.96E-6,13.59E-6,402.0E-3,249.0E-6,188.9E-6,128.7E-6,68.52E-6,309.0E-6
402.0E-3,3.196E-6,5.950E-6,8.705E-6,11.46E-6,14.21E-6,404.0E-3,258.7E-6,196.3E-6,133.7E-6,71.17E-6,321.2E-6
404.0E-3,3.339E-6,6.218E-6,9.097E-6,11.97E-6,14.85E-6,406.0E-3,268.8E-6,203.9E-6,138.9E-6,73.90E-6,333.7E-6
406.0E-3,3.486E-6,6.496E-6,9.505E-6,12.51E-6,15.52E-6,408.0E-3,279.2E-6,211.8E-6,144.3E-6,76.72E-6,346.6E-6
408.0E-3,3.640E-6,6.784E-6,9.929E-6,13.07E-6,16.21E-6,410.0E-3,290.0E-6,219.9E-6,149.8E-6,79.63E-6,360.0E-6
410.0E-3,3.799E-6,7.084E-6,10.37E-6,13.65E-6,16.93E-6,412.0E-3,301.0E-6,228.3E-6,155.5E-6,82.64E-6,373.7E-6
412.0E-3,3.964E-6,7.395E-6,10.83E-6,14.25E-6,17.68E-6,414.0E-3,312.5E-6,237.0E-6,161.4E-6,85.73E-6,387.9E-6
414.0E-3,4.136E-6,7.718E-6,11.30E-6,14.88E-6,18.45E-6,416.0E-3,324.3E-6,245.9E-6,167.5E-6,88.93E-6,402.6E-6
416.0E-3,4.314E-6,8.053E-6,11.79E-6,15.53E-6,19.26E-6,418.0E-3,336.4E-6,255.1E-6,173.7E-6,92.23E-6,417.7E-6
418.0E-3,4.498E-6,8.400E-6,12.30E-6,16.20E-6,20.09E-6,420.0E-3,349.0E-6,264.6E-6,180.2E-6,95.63E-6,433.3E-6
420.0E-3,4.689E-6,8.760E-6,12.83E-6,16.90E-6,20.96E-6,422.0E-3,361.9E-6,274.4E-6,186.8E-6,99.13E-6,449.4E-6
422.0E-3,4.888E-6,9.134E-6,13.38E-6,17.62E-6,21.86E-6,424.0E-3,375.3E-6,284.5E-6,193.7E-6,102.7E-6,466.0E-6
424.0E-3,5.093E-6,9.521E-6,13.95E-6,18.37E-6,22.79E-6,426.0E-3,389.0E-6,294.9E-6,200.8E-6,106.5E-6,483.1E-6
426.0E-3,5.306E-6,9.923E-6,14.54E-6,19.15E-6,23.76E-6,428.0E-3,403.2E-6,305.7E-6,208.0E-6,110.3E-6,500.7E-6
428.0E-3,5.527E-6,10.34E-6,15.15E-6,19.96E-6,24.76E-6,430.0E-3,417.8E-6,316.8E-6,215.6E-6,114.3E-6,518.9E-6
430.0E-3,5.755E-6,10.77E-6,15.78E-6,20.79E-6,25.80E-6,432.0E-3,432.9E-6,328.2E-6,223.3E-6,118.3E-6,537.6E-6
432.0E-3,5.992E-6,11.22E-6,16.44E-6,21.66E-6,26.87E-6,434.0E-3,448.4E-6,339.9E-6,231.3E-6,122.6E-6,556.9E-6
434.0E-3,6.237E-6,11.68E-6,17.12E-6,22.55E-6,27.99E-6,436.0E-3,464.4E-6,352.0E-6,239.5E-6,126.9E-6,576.8E-6
436.0E-3,6.491E-6,12.16E-6,17.82E-6,23.48E-6,29.14E-6,438.0E-3,480.9E-6,364.5E-6,248.0E-6,131.3E-6,597.3E-6
438.0E-3,6.753E-6,12.65E-6,18.55E-6,24.44E-6,30.33E-6,440.0E-3,497.9E-6,377.4E-6,256.7E-6,135.9E-6,618.4E-6
440.0E-3,7.025E-6,13.17E-6,19.31E-6,25.44E-6,31.57E-6,442.0E-3,515.4E-6,390.6E-6,265.7E-6,140.7E-6,640.1E-6
442.0E-3,7.307E-6,13.70E-6,20.09E-6,26.47E-6,32.85E-6,444.0E-3,533.4E-6,404.3E-6,275.0E-6,145.5E-6,662.5E-6
444.0E-3,7.598E-6,14.25E-6,20.90E-6,27.54E-6,34.18E-6,446.0E-3,552.0E-6,418.3E-6,284.5E-6,150.6E-6,685.6E-6
446.0E-3,7.899E-6,14.82E-6,21.73E-6,28.64E-6,35.55E-6,448.0E-3,571.1E-6,432.8E-6,294.3E-6,155.7E-6,709.3E-6
448.0E-3,8.210E-6,15.41E-6,22.60E-6,29.78E-6,36.97E-6,450.0E-3,590.8E-6,447.7E-6,304.5E-6,161.1E-6,733.8E-6
450.0E-3,8.532E-6,16.02E-6,23.49E-6,30.97E-6,38.43E-6,452.0E-3,611.0E-6,463.0E-6,314.9E-6,166.5E-6,759.0E-6
452.0E-3,8.866E-6,16.65E-6,24.42E-6,32.19E-6,39.95E-6,454.0E-3,631.9E-6,478.8E-6,325.6E-6,172.2E-6,784.9E-6
454.0E-3,9.210E-6,17.30E-6,25.38E-6,33.45E-6,41.52E-6,456.0E-3,653.3E-6,495.0E-6,336.6E-6,178.0E-6,811.5E-6
456.0E-3,9.566E-6,17.97E-6,26.37E-6,34.76E-6,43.14E-6,458.0E-3,675.4E-6,511.8E-6,347.9E-6,183.9E-6,839.0E-6
458.0E-3,9.934E-6,18.67E-6,27.39E-6,36.11E-6,44.82E-6,460.0E-3,698.1E-6,528.9E-6,359.6E-6,190.1E-6,867.2E-6
460.0E-3,10.31E-6,19.39E-6,28.45E-6,37.50E-6,46.56E-6,462.0E-3,721.5E-6,546.6E-6,371.6E-6,196.4E-6,896.2E-6
462.0E-3,10.71E-6,20.13E-6,29.54E-6,38.95E-6,48.35E-6,464.0E-3,745.5E-6,564.8E-6,384.0E-6,202.9E-6,926.1E-6
464.0E-3,11.11E-6,20.90E-6,30.67E-6,40.44E-6,50.20E-6,466.0E-3,770.2E-6,583.5E-6,396.6E-6,209.5E-6,956.8E-6
466.0E-3,11.53E-6,21.69E-6,31.84E-6,41.98E-6,52.11E-6,468.0E-3,795.6E-6,602.8E-6,409.7E-6,216.4E-6,988.4E-6
468.0E-3,11.96E-6,22.51E-6,33.05E-6,43.57E-6,54.09E-6,470.0E-3,821.7E-6,622.5E-6,423.1E-6,223.4E-6,1.021E-3
470.0E-3,12.41E-6,23.36E-6,34.29E-6,45.21E-6,56.13E-6,472.0E-3,848.6E-6,642.8E-6,436.9E-6,230.7E-6,1.054E-3
472.0E-3,12.87E-6,24.23E-6,35.58E-6,46.91E-6,58.24E-6,474.0E-3,876.2E-6,663.7E-6,451.0E-6,238.1E-6,1.088E-3
474.0E-3,13.35E-6,25.13E-6,36.90E-6,48.66E-6,60.42E-6,476.0E-3,904.5E-6,685.2E-6,465.6E-6,245.7E-6,1.124E-3
476.0E-3,13.84E-6,26.06E-6,38.27E-6,50.47E-6,62.67E-6,478.0E-3,933.6E-6,707.2E-6,480.5E-6,253.6E-6,1.160E-3
478.0E-3,14.35E-6,27.02E-6,39.69E-6,52.34E-6,64.99E-6,480.0E-3,963.5E-6,729.8E-6,495.9E-6,261.6E-6,1.197E-3
480.0E-3,14.87E-6,28.01E-6,41.15E-6,54.27E-6,67.38E-6,482.0E-3,994.2E-6,753.0E-6,511.6E-6,269.9E-6,1.235E-3
482.0E-3,15.41E-6,29.04E-6,42.65E-6,56.25E-6,69.85E-6,484.0E-3,1.026E-3,776.9E-6,527.8E-6,278.4E-6,1.274E-3
484.0E-3,15.97E-6,30.09E-6,44.21E-6,58.31E-6,72.40E-6,486.0E-3,1.058E-3,801.3E-6,544.4E-6,287.0E-6,1.315E-3
486.0E-3,16.54E-6,31.18E-6,45.81E-6,60.42E-6,75.03E-6,488.0E-3,1.091E-3,826.4E-6,561.4E-6,296.0E-6,1.356E-3
488.0E-3,17.13E-6,32.31E-6,47.46E-6,62.60E-6,77.74E-6,490.0E-3,1.125E-3,852.1E-6,578.8E-6,305.1E-6,1.398E-3
490.0E-3,17.74E-6,33.46E-6,49.17E-6,64.85E-6,80.54E-6,492.0E-3,1.160E-3,878.5E-6,596.7E-6,314.5E-6,1.441E-3
492.0E-3,18.37E-6,34.66E-6,50.92E-6,67.17E-6,83.42E-6,494.0E-3,1.196E-3,905.6E-6,615.0E-6,324.1E-6,1.486E-3
494.0E-3,19.02E-6,35.89E-6,52.74E-6,69.57E-6,86.39E-6,496.0E-3,1.232E-3,933.3E-6,633.8E-6,333.9E-6,1.531E-3
496.0E-3,19.69E-6,37.15E-6,54.60E-6,72.03E-6,89.45E-6,498.0E-3,1.270E-3,961.7E-6,653.1E-6,344.0E-6,1.578E-3
498.0E-3,20.38E-6,38.46E-6,56.53E-6,74.57E-6,92.61E-6,500.0E-3,1.308E-3,990.8E-6,672.8E-6,354.3E-6,1.626E-3
500.0E-3,21.08E-6,39.81E-6,58.51E-6,77.19E-6,95.86E-6,502.0E-3,1.348E-3,1.021E-3,692.9E-6,364.8E-6,1.675E-3
502.0E-3,21.81E-6,41.19E-6,60.55E-6,79.88E-6,99.21E-6,504.0E-3,1.388E-3,1.051E-3,713.6E-6,375.6E-6,1.725E-3
504.0E-3,22.56E-6,42.62E-6,62.65E-6,82.66E-6,102.7E-6,506.0E-3,1.429E-3,1.082E-3,734.7E-6,386.6E-6,1.776E-3
506.0E-3,23.34E-6,44.09E-6,64.81E-6,85.52E-6,106.2E-6,508.0E-3,1.472E-3,1.114E-3,756.3E-6,397.9E-6,1.829E-3
508.0E-3,24.13E-6,45.60E-6,67.04E-6,88.46E-6,109.9E-6,510.0E-3,1.515E-3,1.147E-3,778.4E-6,409.4E-6,1.883E-3
510.0E-3,24.95E-6,47.16E-6,69.34E-6,91.49E-6,113.6E-6,512.0E-3,1.559E-3,1.180E-3,801.0E-6,421.2E-6,1.937E-3
512.0E-3,25.80E-6,48.76E-6,71.70E-6,94.61E-6,117.5E-6,514.0E-3,1.604E-3,1.214E-3,824.1E-6,433.2E-6,1.994E-3
514.0E-3,26.66E-6,50.41E-6,74.13E-6,97.82E-6,121.5E-6,516.0E-3,1.650E-3,1.249E-3,847.6E-6,445.5E-6,2.051E-3
516.0E-3,27.55E-6,52.10E-6,76.62E-6,101.1E-6,125.6E-6,518.0E-3,1.697E-3,1.285E-3,871.7E-6,458.0E-6,2.109E-3
518.0E-3,28.47E-6,53.85E-6,79.19E-6,104.5E-6,129.8E-6,520.0E-3,1.745E-3,1.321E-3,896.2E-6,470.8E-6,2.169E-3
520.0E-3,29.41E-6,55.64E-6,81.83E-6,108.0E-6,134.2E-6,522.0E-3,1.794E-3,1.358E-3,921.3E-6,483.8E-6,2.230E-3
522.0E-3,30.38E-6,57.48E-6,84.55E-6,111.6E-6,138.6E-6,524.0E-3,1.844E-3,1.396E-3,946.9E-6,497.1E-6,2.292E-3
524.0E-3,31.37E-6,59.38E-6,87.34E-6,115.3E-6,143.2E-6,526.0E-3,1.895E-3,1.434E-3,972.9E-6,510.6E-6,2.356E-3
526.0E-3,32.39E-6,61.32E-6,90.21E-6,119.1E-6,147.9E-6,528.0E-3,1.947E-3,1.474E-3,999.5E-6,524.4E-6,2.421E-3
528.0E-3,33.44E-6,63.32E-6,93.16E-6,123.0E-6,152.8E-6,530.0E-3,2.000E-3,1.514E-3,1.026E-3,538.5E-6,2.486E-3
530.0E-3,34.52E-6,65.37E-6,96.18E-6,127.0E-6,157.7E-6,532.0E-3,2.054E-3,1.554E-3,1.054E-3,552.8E-6,2.554E-3
532.0E-3,35.62E-6,67.48E-6,99.29E-6,131.1E-6,162.8E-6,534.0E-3,2.109E-3,1.596E-3,1.082E-3,567.3E-6,2.622E-3
534.0E-3,36.76E-6,69.65E-6,102.5E-6,135.3E-6,168.1E-6,536.0E-3,2.165E-3,1.638E-3,1.111E-3,582.1E-6,2.692E-3
536.0E-3,37.92E-6,71.87E-6,105.8E-6,139.6E-6,173.5E-6,538.0E-3,2.222E-3,1.681E-3,1.140E-3,597.1E-6,2.762E-3
538.0E-3,39.12E-6,74.15E-6,109.1E-6,144.1E-6,179.0E-6,540.0E-3,2.280E-3,1.725E-3,1.169E-3,612.4E-6,2.834E-3
540.0E-3,40.34E-6,76.48E-6,112.6E-6,148.6E-6,184.7E-6,542.0E-3,2.339E-3,1.769E-3,1.199E-3,627.9E-6,2.908E-3
542.0E-3,41.60E-6,78.88E-6,116.1E-6,153.3E-6,190.5E-6,544.0E-3,2.398E-3,1.814E-3,1.230E-3,643.6E-6,2.982E-3
544.0E-3,42.89E-6,81.34E-6,119.7E-6,158.1E-6,196.4E-6,546.0E-3,2.459E-3,1.860E-3,1.260E-3,659.6E-6,3.058E-3
546.0E-3,44.20E-6,83.86E-6,123.5E-6,163.0E-6,202.6E-6,548.0E-3,2.521E-3,1.907E-3,1.292E-3,675.8E-6,3.134E-3
548.0E-3,45.56E-6,86.45E-6,127.3E-6,168.1E-6,208.8E-6,550.0E-3,2.583E-3,1.954E-3,1.324E-3,692.2E-6,3.212E-3
550.0E-3,46.94E-6,89.09E-6,131.2E-6,173.2E-6,215.2E-6,552.0E-3,2.647E-3,2.002E-3,1.356E-3,708.8E-6,3.291E-3
552.0E-3,48.36E-6,91.80E-6,135.2E-6,178.5E-6,221.8E-6,554.0E-3,2.711E-3,2.050E-3,1.389E-3,725.7E-6,3.371E-3
554.0E-3,49.81E-6,94.58E-6,139.3E-6,183.9E-6,228.6E-6,556.0E-3,2.776E-3,2.099E-3,1.422E-3,742.8E-6,3.453E-3
556.0E-3,51.29E-6,97.43E-6,143.5E-6,189.5E-6,235.5E-6,558.0E-3,2.842E-3,2.149E-3,1.455E-3,760.1E-6,3.535E-3
558.0E-3,52.81E-6,100.3E-6,147.8E-6,195.2E-6,242.5E-6,560.0E-3,2.909E-3,2.200E-3,1.489E-3,777.5E-6,3.618E-3
560.0E-3,54.37E-6,103.3E-6,152.2E-6,201.0E-6,249.8E-6,562.0E-3,2.977E-3,2.251E-3,1.524E-3,795.2E-6,3.703E-3
562.0E-3,55.96E-6,106.4E-6,156.7E-6,206.9E-6,257.2E-6,564.0E-3,3.045E-3,2.302E-3,1.559E-3,813.1E-6,3.788E-3
564.0E-3,57.59E-6,109.5E-6,161.3E-6,213.0E-6,264.8E-6,566.0E-3,3.115E-3,2.355E-3,1.594E-3,831.2E-6,3.874E-3
566.0E-3,59.25E-6,112.7E-6,166.0E-6,219.3E-6,272.5E-6,568.0E-3,3.185E-3,2.407E-3,1.629E-3,849.4E-6,3.962E-3
568.0E-3,60.95E-6,115.9E-6,170.8E-6,225.6E-6,280.4E-6,570.0E-3,3.256E-3,2.461E-3,1.665E-3,867.8E-6,4.050E-3
570.0E-3,62.68E-6,119.3E-6,175.7E-6,232.1E-6,288.5E-6,572.0E-3,3.327E-3,2.515E-3,1.702E-3,886.4E-6,4.139E-3
572.0E-3,64.46E-6,122.7E-6,180.8E-6,238.8E-6,296.8E-6,574.0E-3,3.399E-3,2.569E-3,1.738E-3,905.1E-6,4.229E-3
574.0E-3,66.27E-6,126.1E-6,185.9E-6,245.6E-6,305.3E-6,576.0E-3,3.472E-3,2.624E-3,1.775E-3,924.0E-6,4.320E-3
576.0E-3,68.11E-6,129.7E-6,191.1E-6,252.5E-6,313.9E-6,578.0E-3,3.546E-3,2.679E-3,1.812E-3,943.1E-6,4.411E-3
578.0E-3,70.00E-6,133.3E-6,196.5E-6,259.6E-6,322.7E-6,580.0E-3,3.620E-3,2.735E-3,1.850E-3,962.2E-6,4.504E-3
580.0E-3,71.93E-6,137.0E-6,202.0E-6,266.9E-6,331.7E-6,582.0E-3,3.694E-3,2.791E-3,1.888E-3,981.6E-6,4.597E-3
582.0E-3,73.89E-6,140.8E-6,207.6E-6,274.3E-6,340.9E-6,584.0E-3,3.770E-3,2.848E-3,1.926E-3,1.001E-3,4.690E-3
584.0E-3,75.89E-6,144.6E-6,213.3E-6,281.8E-6,350.3E-6,586.0E-3,3.845E-3,2.905E-3,1.964E-3,1.021E-3,4.785E-3
586.0E-3,77.93E-6,148.6E-6,219.1E-6,289.5E-6,359.9E-6,588.0E-3,3.922E-3,2.963E-3,2.003E-3,1.040E-3,4.880E-3
588.0E-3,80.01E-6,152.6E-6,225.0E-6,297.3E-6,369.6E-6,590.0E-3,3.998E-3,3.020E-3,2.041E-3,1.060E-3,4.976E-3
590.0E-3,82.13E-6,156.7E-6,231.0E-6,305.3E-6,379.6E-6,592.0E-3,4.075E-3,3.078E-3,2.080E-3,1.080E-3,5.072E-3
592.0E-3,84.29E-6,160.8E-6,237.2E-6,313.5E-6,389.7E-6,594.0E-3,4.153E-3,3.137E-3,2.120E-3,1.100E-3,5.169E-3
594.0E-3,86.49E-6,165.1E-6,243.5E-6,321.8E-6,400.1E-6,596.0E-3,4.231E-3,3.196E-3,2.159E-3,1.120E-3,5.266E-3
596.0E-3,88.73E-6,169.4E-6,249.9E-6,330.2E-6,410.6E-6,598.0E-3,4.309E-3,3.254E-3,2.199E-3,1.140E-3,5.363E-3
598.0E-3,91.01E-6,173.8E-6,256.4E-6,338.9E-6,421.3E-6,600.0E-3,4.388E-3,3.314E-3,2.238E-3,1.160E-3,5.461E-3
600.0E-3,93.33E-6,178.2E-6,263.0E-6,347.6E-6,432.3E-6,602.0E-3,4.467E-3,3.373E-3,2.278E-3,1.180E-3,5.560E-3
602.0E-3,95.69E-6,182.8E-6,269.7E-6,356.6E-6,443.4E-6,604.0E-3,4.546E-3,3.432E-3,2.318E-3,1.200E-3,5.659E-3
604.0E-3,98.09E-6,187.4E-6,276.6E-6,365.7E-6,454.7E-6,606.0E-3,4.625E-3,3.492E-3,2.358E-3,1.221E-3,5.758E-3
606.0E-3,100.5E-6,192.2E-6,283.6E-6,374.9E-6,466.2E-6,608.0E-3,4.705E-3,3.552E-3,2.398E-3,1.241E-3,5.857E-3
608.0E-3,103.0E-6,196.9E-6,290.7E-6,384.3E-6,477.9E-6,610.0E-3,4.784E-3,3.612E-3,2.438E-3,1.261E-3,5.956E-3
610.0E-3,105.5E-6,201.8E-6,297.9E-6,393.9E-6,489.8E-6,612.0E-3,4.864E-3,3.672E-3,2.478E-3,1.282E-3,6.056E-3
612.0E-3,108.1E-6,206.8E-6,305.3E-6,403.6E-6,501.9E-6,614.0E-3,4.944E-3,3.732E-3,2.519E-3,1.302E-3,6.155E-3
614.0E-3,110.7E-6,211.8E-6,312.7E-6,413.5E-6,514.3E-6,616.0E-3,5.024E-3,3.792E-3,2.559E-3,1.322E-3,6.255E-3
616.0E-3,113.4E-6,216.9E-6,320.3E-6,423.6E-6,526.8E-6,618.0E-3,5.104E-3,3.852E-3,2.599E-3,1.343E-3,6.355E-3
618.0E-3,116.0E-6,222.1E-6,328.0E-6,433.8E-6,539.5E-6,620.0E-3,5.184E-3,3.912E-3,2.639E-3,1.363E-3,6.455E-3
620.0E-3,118.8E-6,227.4E-6,335.8E-6,444.1E-6,552.4E-6,622.0E-3,5.264E-3,3.972E-3,2.680E-3,1.383E-3,6.555E-3
622.0E-3,121.5E-6,232.8E-6,343.8E-6,454.7E-6,565.5E-6,624.0E-3,5.344E-3,4.033E-3,2.720E-3,1.404E-3,6.654E-3
624.0E-3,124.3E-6,238.2E-6,351.8E-6,465.4E-6,578.8E-6,626.0E-3,5.424E-3,4.093E-3,2.760E-3,1.424E-3,6.754E-3
626.0E-3,127.2E-6,243.7E-6,360.0E-6,476.2E-6,592.3E-6,628.0E-3,5.503E-3,4.152E-3,2.800E-3,1.444E-3,6.854E-3
628.0E-3,130.1E-6,249.3E-6,368.3E-6,487.2E-6,606.0E-6,630.0E-3,5.583E-3,4.212E-3,2.840E-3,1.464E-3,6.953E-3
