dc (V),deriv(i("/NM0/D" ?result "dc")),dc (V),NM0:d (A)
226.0E-3,4.834E-6,224.0E-3,150.8E-9
228.0E-3,5.137E-6,226.0E-3,160.5E-9
230.0E-3,5.458E-6,228.0E-3,170.8E-9
232.0E-3,5.798E-6,230.0E-3,181.7E-9
234.0E-3,6.158E-6,232.0E-3,193.3E-9
236.0E-3,6.541E-6,234.0E-3,205.6E-9
238.0E-3,6.946E-6,236.0E-3,218.7E-9
240.0E-3,7.375E-6,238.0E-3,232.6E-9
242.0E-3,7.829E-6,240.0E-3,247.3E-9
244.0E-3,8.310E-6,242.0E-3,263.0E-9
246.0E-3,8.819E-6,244.0E-3,279.6E-9
248.0E-3,9.359E-6,246.0E-3,297.2E-9
250.0E-3,9.929E-6,248.0E-3,315.9E-9
252.0E-3,10.53E-6,250.0E-3,335.8E-9
254.0E-3,11.17E-6,252.0E-3,356.9E-9
256.0E-3,11.85E-6,254.0E-3,379.2E-9
258.0E-3,12.56E-6,256.0E-3,402.9E-9
260.0E-3,13.31E-6,258.0E-3,428.0E-9
262.0E-3,14.11E-6,260.0E-3,454.6E-9
264.0E-3,14.95E-6,262.0E-3,482.9E-9
266.0E-3,15.84E-6,264.0E-3,512.8E-9
268.0E-3,16.78E-6,266.0E-3,544.4E-9
270.0E-3,17.77E-6,268.0E-3,578.0E-9
272.0E-3,18.81E-6,270.0E-3,613.5E-9
274.0E-3,19.92E-6,272.0E-3,651.2E-9
276.0E-3,21.08E-6,274.0E-3,691.0E-9
278.0E-3,22.30E-6,276.0E-3,733.2E-9
280.0E-3,23.60E-6,278.0E-3,777.8E-9
282.0E-3,24.96E-6,280.0E-3,825.0E-9
284.0E-3,26.39E-6,282.0E-3,874.9E-9
286.0E-3,27.90E-6,284.0E-3,927.7E-9
288.0E-3,29.48E-6,286.0E-3,983.5E-9
290.0E-3,31.15E-6,288.0E-3,1.042E-6
292.0E-3,32.91E-6,290.0E-3,1.105E-6
294.0E-3,34.76E-6,292.0E-3,1.171E-6
296.0E-3,36.70E-6,294.0E-3,1.240E-6
298.0E-3,38.74E-6,296.0E-3,1.313E-6
300.0E-3,40.88E-6,298.0E-3,1.391E-6
302.0E-3,43.13E-6,300.0E-3,1.473E-6
304.0E-3,45.48E-6,302.0E-3,1.559E-6
306.0E-3,47.96E-6,304.0E-3,1.650E-6
308.0E-3,50.55E-6,306.0E-3,1.746E-6
310.0E-3,53.27E-6,308.0E-3,1.847E-6
312.0E-3,56.12E-6,310.0E-3,1.953E-6
314.0E-3,59.11E-6,312.0E-3,2.066E-6
316.0E-3,62.24E-6,314.0E-3,2.184E-6
318.0E-3,65.51E-6,316.0E-3,2.308E-6
320.0E-3,68.93E-6,318.0E-3,2.439E-6
322.0E-3,72.51E-6,320.0E-3,2.577E-6
324.0E-3,76.25E-6,322.0E-3,2.722E-6
326.0E-3,80.16E-6,324.0E-3,2.875E-6
328.0E-3,84.24E-6,326.0E-3,3.035E-6
330.0E-3,88.50E-6,328.0E-3,3.204E-6
332.0E-3,92.95E-6,330.0E-3,3.381E-6
334.0E-3,97.59E-6,332.0E-3,3.567E-6
336.0E-3,102.4E-6,334.0E-3,3.762E-6
338.0E-3,107.5E-6,336.0E-3,3.967E-6
340.0E-3,112.7E-6,338.0E-3,4.182E-6
342.0E-3,118.2E-6,340.0E-3,4.407E-6
344.0E-3,123.9E-6,342.0E-3,4.643E-6
346.0E-3,129.9E-6,344.0E-3,4.891E-6
348.0E-3,136.0E-6,346.0E-3,5.151E-6
350.0E-3,142.4E-6,348.0E-3,5.423E-6
352.0E-3,149.1E-6,350.0E-3,5.708E-6
354.0E-3,156.1E-6,352.0E-3,6.006E-6
