dc (V),V1:p (W=5.00e-06) (A),V1:p (W=1.00e-05) (A),V1:p (W=1.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 5e-06)),dc (V),V1:p (W=2.00e-05) (A)
72.00E-3,848.8E-6,1.699E-3,2.549E-3,74.00E-3,-11.01E-3,-8.260E-3,-5.507E-3,-2.754E-3,72.00E-3,3.400E-3
74.00E-3,843.3E-6,1.688E-3,2.533E-3,76.00E-3,-11.00E-3,-8.251E-3,-5.501E-3,-2.751E-3,74.00E-3,3.378E-3
76.00E-3,837.8E-6,1.677E-3,2.516E-3,78.00E-3,-10.99E-3,-8.242E-3,-5.495E-3,-2.747E-3,76.00E-3,3.356E-3
78.00E-3,832.3E-6,1.666E-3,2.500E-3,80.00E-3,-10.98E-3,-8.233E-3,-5.488E-3,-2.744E-3,78.00E-3,3.334E-3
80.00E-3,826.9E-6,1.655E-3,2.483E-3,82.00E-3,-10.96E-3,-8.223E-3,-5.482E-3,-2.741E-3,80.00E-3,3.312E-3
82.00E-3,821.4E-6,1.644E-3,2.467E-3,84.00E-3,-10.95E-3,-8.214E-3,-5.476E-3,-2.738E-3,82.00E-3,3.290E-3
84.00E-3,815.9E-6,1.633E-3,2.451E-3,86.00E-3,-10.94E-3,-8.204E-3,-5.469E-3,-2.735E-3,84.00E-3,3.268E-3
86.00E-3,810.4E-6,1.622E-3,2.434E-3,88.00E-3,-10.93E-3,-8.194E-3,-5.463E-3,-2.731E-3,86.00E-3,3.246E-3
88.00E-3,805.0E-6,1.611E-3,2.418E-3,90.00E-3,-10.91E-3,-8.184E-3,-5.456E-3,-2.728E-3,88.00E-3,3.224E-3
90.00E-3,799.5E-6,1.600E-3,2.401E-3,92.00E-3,-10.90E-3,-8.175E-3,-5.450E-3,-2.725E-3,90.00E-3,3.202E-3
92.00E-3,794.1E-6,1.589E-3,2.385E-3,94.00E-3,-10.89E-3,-8.165E-3,-5.443E-3,-2.721E-3,92.00E-3,3.181E-3
94.00E-3,788.6E-6,1.579E-3,2.369E-3,96.00E-3,-10.87E-3,-8.154E-3,-5.436E-3,-2.718E-3,94.00E-3,3.159E-3
96.00E-3,783.2E-6,1.568E-3,2.352E-3,98.00E-3,-10.86E-3,-8.144E-3,-5.429E-3,-2.714E-3,96.00E-3,3.137E-3
98.00E-3,777.8E-6,1.557E-3,2.336E-3,100.0E-3,-10.85E-3,-8.134E-3,-5.422E-3,-2.711E-3,98.00E-3,3.115E-3
100.0E-3,772.3E-6,1.546E-3,2.320E-3,102.0E-3,-10.83E-3,-8.123E-3,-5.415E-3,-2.707E-3,100.0E-3,3.094E-3
102.0E-3,766.9E-6,1.535E-3,2.304E-3,104.0E-3,-10.82E-3,-8.113E-3,-5.408E-3,-2.704E-3,102.0E-3,3.072E-3
104.0E-3,761.5E-6,1.524E-3,2.287E-3,106.0E-3,-10.80E-3,-8.102E-3,-5.401E-3,-2.700E-3,104.0E-3,3.050E-3
106.0E-3,756.1E-6,1.514E-3,2.271E-3,108.0E-3,-10.79E-3,-8.092E-3,-5.394E-3,-2.696E-3,106.0E-3,3.029E-3
108.0E-3,750.7E-6,1.503E-3,2.255E-3,110.0E-3,-10.77E-3,-8.081E-3,-5.387E-3,-2.693E-3,108.0E-3,3.007E-3
110.0E-3,745.3E-6,1.492E-3,2.239E-3,112.0E-3,-10.76E-3,-8.070E-3,-5.379E-3,-2.689E-3,110.0E-3,2.986E-3
112.0E-3,740.0E-6,1.481E-3,2.223E-3,114.0E-3,-10.75E-3,-8.059E-3,-5.372E-3,-2.685E-3,112.0E-3,2.964E-3
114.0E-3,734.6E-6,1.470E-3,2.207E-3,116.0E-3,-10.73E-3,-8.048E-3,-5.364E-3,-2.681E-3,114.0E-3,2.943E-3
116.0E-3,729.2E-6,1.460E-3,2.190E-3,118.0E-3,-10.72E-3,-8.036E-3,-5.357E-3,-2.678E-3,116.0E-3,2.921E-3
118.0E-3,723.9E-6,1.449E-3,2.174E-3,120.0E-3,-10.70E-3,-8.025E-3,-5.349E-3,-2.674E-3,118.0E-3,2.900E-3
120.0E-3,718.5E-6,1.438E-3,2.158E-3,122.0E-3,-10.69E-3,-8.013E-3,-5.342E-3,-2.670E-3,120.0E-3,2.878E-3
122.0E-3,713.2E-6,1.428E-3,2.142E-3,124.0E-3,-10.67E-3,-8.002E-3,-5.334E-3,-2.666E-3,122.0E-3,2.857E-3
124.0E-3,707.8E-6,1.417E-3,2.126E-3,126.0E-3,-10.65E-3,-7.990E-3,-5.326E-3,-2.662E-3,124.0E-3,2.836E-3
126.0E-3,702.5E-6,1.406E-3,2.110E-3,128.0E-3,-10.64E-3,-7.978E-3,-5.318E-3,-2.658E-3,126.0E-3,2.814E-3
128.0E-3,697.2E-6,1.396E-3,2.094E-3,130.0E-3,-10.62E-3,-7.966E-3,-5.310E-3,-2.654E-3,128.0E-3,2.793E-3
130.0E-3,691.9E-6,1.385E-3,2.078E-3,132.0E-3,-10.61E-3,-7.954E-3,-5.302E-3,-2.650E-3,130.0E-3,2.772E-3
132.0E-3,686.6E-6,1.374E-3,2.063E-3,134.0E-3,-10.59E-3,-7.942E-3,-5.294E-3,-2.645E-3,132.0E-3,2.751E-3
134.0E-3,681.3E-6,1.364E-3,2.047E-3,136.0E-3,-10.57E-3,-7.929E-3,-5.285E-3,-2.641E-3,134.0E-3,2.729E-3
136.0E-3,676.0E-6,1.353E-3,2.031E-3,138.0E-3,-10.56E-3,-7.917E-3,-5.277E-3,-2.637E-3,136.0E-3,2.708E-3
138.0E-3,670.8E-6,1.343E-3,2.015E-3,140.0E-3,-10.54E-3,-7.904E-3,-5.268E-3,-2.633E-3,138.0E-3,2.687E-3
140.0E-3,665.5E-6,1.332E-3,1.999E-3,142.0E-3,-10.52E-3,-7.891E-3,-5.260E-3,-2.628E-3,140.0E-3,2.666E-3
142.0E-3,660.2E-6,1.322E-3,1.983E-3,144.0E-3,-10.51E-3,-7.878E-3,-5.251E-3,-2.624E-3,142.0E-3,2.645E-3
144.0E-3,655.0E-6,1.311E-3,1.968E-3,146.0E-3,-10.49E-3,-7.865E-3,-5.242E-3,-2.620E-3,144.0E-3,2.624E-3
146.0E-3,649.7E-6,1.301E-3,1.952E-3,148.0E-3,-10.47E-3,-7.852E-3,-5.234E-3,-2.615E-3,146.0E-3,2.603E-3
148.0E-3,644.5E-6,1.290E-3,1.936E-3,150.0E-3,-10.45E-3,-7.839E-3,-5.225E-3,-2.611E-3,148.0E-3,2.582E-3
150.0E-3,639.3E-6,1.280E-3,1.921E-3,152.0E-3,-10.43E-3,-7.825E-3,-5.216E-3,-2.606E-3,150.0E-3,2.561E-3
152.0E-3,634.1E-6,1.269E-3,1.905E-3,154.0E-3,-10.42E-3,-7.812E-3,-5.206E-3,-2.601E-3,152.0E-3,2.540E-3
154.0E-3,628.9E-6,1.259E-3,1.889E-3,156.0E-3,-10.40E-3,-7.798E-3,-5.197E-3,-2.597E-3,154.0E-3,2.519E-3
