dc (V),V1:p (W=5.00e-06) (A),V1:p (W=1.00e-05) (A),V1:p (W=1.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 5e-06)),dc (V),V1:p (W=2.00e-05) (A)
322.0E-3,238.7E-6,477.3E-6,716.2E-6,324.0E-3,-7.746E-3,-5.807E-3,-3.867E-3,-1.929E-3,322.0E-3,954.9E-6
324.0E-3,234.8E-6,469.6E-6,704.6E-6,326.0E-3,-7.694E-3,-5.768E-3,-3.842E-3,-1.916E-3,324.0E-3,939.4E-6
326.0E-3,231.0E-6,461.9E-6,693.0E-6,328.0E-3,-7.642E-3,-5.729E-3,-3.816E-3,-1.903E-3,326.0E-3,924.1E-6
328.0E-3,227.2E-6,454.3E-6,681.6E-6,330.0E-3,-7.590E-3,-5.690E-3,-3.789E-3,-1.890E-3,328.0E-3,908.8E-6
330.0E-3,223.4E-6,446.7E-6,670.2E-6,332.0E-3,-7.536E-3,-5.650E-3,-3.763E-3,-1.877E-3,330.0E-3,893.6E-6
332.0E-3,219.7E-6,439.2E-6,658.9E-6,334.0E-3,-7.482E-3,-5.609E-3,-3.736E-3,-1.864E-3,332.0E-3,878.5E-6
334.0E-3,215.9E-6,431.7E-6,647.7E-6,336.0E-3,-7.428E-3,-5.568E-3,-3.708E-3,-1.850E-3,334.0E-3,863.6E-6
336.0E-3,212.2E-6,424.3E-6,636.5E-6,338.0E-3,-7.372E-3,-5.527E-3,-3.681E-3,-1.836E-3,336.0E-3,848.7E-6
338.0E-3,208.6E-6,416.9E-6,625.5E-6,340.0E-3,-7.316E-3,-5.485E-3,-3.653E-3,-1.822E-3,338.0E-3,834.0E-6
340.0E-3,204.9E-6,409.6E-6,614.5E-6,342.0E-3,-7.260E-3,-5.442E-3,-3.625E-3,-1.808E-3,340.0E-3,819.3E-6
342.0E-3,201.3E-6,402.4E-6,603.6E-6,344.0E-3,-7.203E-3,-5.399E-3,-3.596E-3,-1.794E-3,342.0E-3,804.8E-6
344.0E-3,197.7E-6,395.2E-6,592.8E-6,346.0E-3,-7.145E-3,-5.356E-3,-3.567E-3,-1.779E-3,344.0E-3,790.4E-6
346.0E-3,194.1E-6,388.1E-6,582.1E-6,348.0E-3,-7.086E-3,-5.312E-3,-3.538E-3,-1.765E-3,346.0E-3,776.1E-6
348.0E-3,190.6E-6,381.0E-6,571.5E-6,350.0E-3,-7.027E-3,-5.267E-3,-3.508E-3,-1.750E-3,348.0E-3,761.9E-6
350.0E-3,187.1E-6,374.0E-6,560.9E-6,352.0E-3,-6.967E-3,-5.223E-3,-3.478E-3,-1.735E-3,350.0E-3,747.9E-6
352.0E-3,183.6E-6,367.0E-6,550.5E-6,354.0E-3,-6.906E-3,-5.177E-3,-3.448E-3,-1.720E-3,352.0E-3,733.9E-6
354.0E-3,180.2E-6,360.1E-6,540.2E-6,356.0E-3,-6.845E-3,-5.131E-3,-3.417E-3,-1.705E-3,354.0E-3,720.1E-6
356.0E-3,176.8E-6,353.3E-6,529.9E-6,358.0E-3,-6.783E-3,-5.085E-3,-3.386E-3,-1.689E-3,356.0E-3,706.4E-6
358.0E-3,173.4E-6,346.5E-6,519.7E-6,360.0E-3,-6.721E-3,-5.038E-3,-3.355E-3,-1.674E-3,358.0E-3,692.9E-6
360.0E-3,170.1E-6,339.8E-6,509.6E-6,362.0E-3,-6.657E-3,-4.991E-3,-3.324E-3,-1.658E-3,360.0E-3,679.4E-6
362.0E-3,166.8E-6,333.2E-6,499.7E-6,364.0E-3,-6.594E-3,-4.943E-3,-3.292E-3,-1.642E-3,362.0E-3,666.1E-6
364.0E-3,163.5E-6,326.6E-6,489.8E-6,366.0E-3,-6.529E-3,-4.894E-3,-3.260E-3,-1.626E-3,364.0E-3,652.9E-6
366.0E-3,160.2E-6,320.1E-6,480.0E-6,368.0E-3,-6.464E-3,-4.846E-3,-3.227E-3,-1.610E-3,366.0E-3,639.9E-6
368.0E-3,157.0E-6,313.6E-6,470.3E-6,370.0E-3,-6.398E-3,-4.796E-3,-3.194E-3,-1.594E-3,368.0E-3,626.9E-6
370.0E-3,153.8E-6,307.2E-6,460.7E-6,372.0E-3,-6.332E-3,-4.747E-3,-3.161E-3,-1.577E-3,370.0E-3,614.2E-6
372.0E-3,150.7E-6,300.9E-6,451.2E-6,374.0E-3,-6.265E-3,-4.696E-3,-3.128E-3,-1.561E-3,372.0E-3,601.5E-6
374.0E-3,147.5E-6,294.6E-6,441.8E-6,376.0E-3,-6.197E-3,-4.646E-3,-3.094E-3,-1.544E-3,374.0E-3,589.0E-6
376.0E-3,144.4E-6,288.4E-6,432.5E-6,378.0E-3,-6.129E-3,-4.595E-3,-3.060E-3,-1.527E-3,376.0E-3,576.6E-6
378.0E-3,141.4E-6,282.3E-6,423.3E-6,380.0E-3,-6.061E-3,-4.543E-3,-3.026E-3,-1.510E-3,378.0E-3,564.3E-6
380.0E-3,138.4E-6,276.3E-6,414.2E-6,382.0E-3,-5.991E-3,-4.491E-3,-2.991E-3,-1.493E-3,380.0E-3,552.2E-6
382.0E-3,135.4E-6,270.3E-6,405.3E-6,384.0E-3,-5.921E-3,-4.439E-3,-2.956E-3,-1.475E-3,382.0E-3,540.2E-6
384.0E-3,132.4E-6,264.4E-6,396.4E-6,386.0E-3,-5.851E-3,-4.386E-3,-2.921E-3,-1.458E-3,384.0E-3,528.4E-6
386.0E-3,129.5E-6,258.5E-6,387.6E-6,388.0E-3,-5.780E-3,-4.333E-3,-2.886E-3,-1.440E-3,386.0E-3,516.7E-6
388.0E-3,126.6E-6,252.8E-6,378.9E-6,390.0E-3,-5.709E-3,-4.280E-3,-2.850E-3,-1.423E-3,388.0E-3,505.1E-6
390.0E-3,123.8E-6,247.1E-6,370.4E-6,392.0E-3,-5.637E-3,-4.226E-3,-2.815E-3,-1.405E-3,390.0E-3,493.7E-6
392.0E-3,121.0E-6,241.4E-6,361.9E-6,394.0E-3,-5.565E-3,-4.172E-3,-2.778E-3,-1.387E-3,392.0E-3,482.4E-6
394.0E-3,118.2E-6,235.9E-6,353.6E-6,396.0E-3,-5.492E-3,-4.117E-3,-2.742E-3,-1.369E-3,394.0E-3,471.3E-6
396.0E-3,115.5E-6,230.4E-6,345.4E-6,398.0E-3,-5.419E-3,-4.062E-3,-2.706E-3,-1.351E-3,396.0E-3,460.3E-6
398.0E-3,112.8E-6,225.0E-6,337.2E-6,400.0E-3,-5.345E-3,-4.007E-3,-2.669E-3,-1.332E-3,398.0E-3,449.5E-6
400.0E-3,110.1E-6,219.6E-6,329.2E-6,402.0E-3,-5.271E-3,-3.952E-3,-2.632E-3,-1.314E-3,400.0E-3,438.8E-6
402.0E-3,107.5E-6,214.4E-6,321.3E-6,404.0E-3,-5.196E-3,-3.896E-3,-2.595E-3,-1.296E-3,402.0E-3,428.2E-6
404.0E-3,104.9E-6,209.2E-6,313.5E-6,406.0E-3,-5.122E-3,-3.840E-3,-2.558E-3,-1.277E-3,404.0E-3,417.8E-6
406.0E-3,102.3E-6,204.1E-6,305.8E-6,408.0E-3,-5.047E-3,-3.784E-3,-2.520E-3,-1.258E-3,406.0E-3,407.6E-6
408.0E-3,99.82E-6,199.0E-6,298.3E-6,410.0E-3,-4.971E-3,-3.727E-3,-2.483E-3,-1.240E-3,408.0E-3,397.5E-6
410.0E-3,97.34E-6,194.1E-6,290.8E-6,412.0E-3,-4.896E-3,-3.670E-3,-2.445E-3,-1.221E-3,410.0E-3,387.5E-6
412.0E-3,94.90E-6,189.2E-6,283.5E-6,414.0E-3,-4.820E-3,-3.614E-3,-2.407E-3,-1.202E-3,412.0E-3,377.8E-6
414.0E-3,92.49E-6,184.4E-6,276.3E-6,416.0E-3,-4.744E-3,-3.557E-3,-2.369E-3,-1.183E-3,414.0E-3,368.1E-6
416.0E-3,90.13E-6,179.6E-6,269.1E-6,418.0E-3,-4.667E-3,-3.499E-3,-2.331E-3,-1.164E-3,416.0E-3,358.6E-6
418.0E-3,87.80E-6,175.0E-6,262.1E-6,420.0E-3,-4.591E-3,-3.442E-3,-2.293E-3,-1.145E-3,418.0E-3,349.3E-6
420.0E-3,85.51E-6,170.4E-6,255.3E-6,422.0E-3,-4.514E-3,-3.385E-3,-2.255E-3,-1.126E-3,420.0E-3,340.1E-6
422.0E-3,83.25E-6,165.9E-6,248.5E-6,424.0E-3,-4.438E-3,-3.327E-3,-2.217E-3,-1.107E-3,422.0E-3,331.1E-6
424.0E-3,81.04E-6,161.4E-6,241.8E-6,426.0E-3,-4.361E-3,-3.270E-3,-2.178E-3,-1.088E-3,424.0E-3,322.2E-6
426.0E-3,78.86E-6,157.1E-6,235.3E-6,428.0E-3,-4.284E-3,-3.212E-3,-2.140E-3,-1.069E-3,426.0E-3,313.5E-6
428.0E-3,76.72E-6,152.8E-6,228.9E-6,430.0E-3,-4.208E-3,-3.155E-3,-2.102E-3,-1.050E-3,428.0E-3,304.9E-6
430.0E-3,74.62E-6,148.6E-6,222.6E-6,432.0E-3,-4.131E-3,-3.098E-3,-2.064E-3,-1.031E-3,430.0E-3,296.5E-6
432.0E-3,72.56E-6,144.5E-6,216.4E-6,434.0E-3,-4.055E-3,-3.040E-3,-2.026E-3,-1.012E-3,432.0E-3,288.2E-6
434.0E-3,70.53E-6,140.4E-6,210.3E-6,436.0E-3,-3.978E-3,-2.983E-3,-1.988E-3,-993.4E-6,434.0E-3,280.1E-6
436.0E-3,68.55E-6,136.4E-6,204.3E-6,438.0E-3,-3.902E-3,-2.926E-3,-1.949E-3,-974.5E-6,436.0E-3,272.2E-6
438.0E-3,66.60E-6,132.5E-6,198.5E-6,440.0E-3,-3.826E-3,-2.869E-3,-1.912E-3,-955.6E-6,438.0E-3,264.4E-6
440.0E-3,64.69E-6,128.7E-6,192.7E-6,442.0E-3,-3.750E-3,-2.812E-3,-1.874E-3,-936.8E-6,440.0E-3,256.7E-6
442.0E-3,62.81E-6,125.0E-6,187.1E-6,444.0E-3,-3.674E-3,-2.755E-3,-1.836E-3,-918.0E-6,442.0E-3,249.2E-6
444.0E-3,60.98E-6,121.3E-6,181.6E-6,446.0E-3,-3.599E-3,-2.699E-3,-1.798E-3,-899.4E-6,444.0E-3,241.9E-6
446.0E-3,59.18E-6,117.7E-6,176.2E-6,448.0E-3,-3.524E-3,-2.643E-3,-1.761E-3,-880.8E-6,446.0E-3,234.7E-6
448.0E-3,57.42E-6,114.2E-6,170.9E-6,450.0E-3,-3.449E-3,-2.587E-3,-1.724E-3,-862.3E-6,448.0E-3,227.6E-6
450.0E-3,55.69E-6,110.7E-6,165.7E-6,452.0E-3,-3.375E-3,-2.531E-3,-1.687E-3,-843.8E-6,450.0E-3,220.7E-6
452.0E-3,54.01E-6,107.4E-6,160.7E-6,454.0E-3,-3.301E-3,-2.476E-3,-1.650E-3,-825.5E-6,452.0E-3,214.0E-6
454.0E-3,52.35E-6,104.1E-6,155.7E-6,456.0E-3,-3.228E-3,-2.421E-3,-1.614E-3,-807.4E-6,454.0E-3,207.4E-6
456.0E-3,50.74E-6,100.8E-6,150.9E-6,458.0E-3,-3.155E-3,-2.366E-3,-1.577E-3,-789.3E-6,456.0E-3,200.9E-6
458.0E-3,49.16E-6,97.67E-6,146.2E-6,460.0E-3,-3.083E-3,-2.312E-3,-1.541E-3,-771.4E-6,458.0E-3,194.6E-6
460.0E-3,47.62E-6,94.59E-6,141.5E-6,462.0E-3,-3.011E-3,-2.258E-3,-1.506E-3,-753.6E-6,460.0E-3,188.4E-6
462.0E-3,46.11E-6,91.58E-6,137.0E-6,464.0E-3,-2.940E-3,-2.205E-3,-1.470E-3,-735.9E-6,462.0E-3,182.4E-6
464.0E-3,44.64E-6,88.64E-6,132.6E-6,466.0E-3,-2.869E-3,-2.152E-3,-1.435E-3,-718.5E-6,464.0E-3,176.5E-6
466.0E-3,43.20E-6,85.77E-6,128.3E-6,468.0E-3,-2.800E-3,-2.100E-3,-1.400E-3,-701.2E-6,466.0E-3,170.8E-6
468.0E-3,41.80E-6,82.97E-6,124.1E-6,470.0E-3,-2.731E-3,-2.048E-3,-1.366E-3,-684.0E-6,468.0E-3,165.2E-6
470.0E-3,40.43E-6,80.24E-6,120.0E-6,472.0E-3,-2.662E-3,-1.997E-3,-1.332E-3,-667.1E-6,470.0E-3,159.7E-6
472.0E-3,39.10E-6,77.57E-6,116.0E-6,474.0E-3,-2.595E-3,-1.947E-3,-1.298E-3,-650.3E-6,472.0E-3,154.4E-6
474.0E-3,37.80E-6,74.98E-6,112.1E-6,476.0E-3,-2.528E-3,-1.897E-3,-1.265E-3,-633.7E-6,474.0E-3,149.2E-6
476.0E-3,36.53E-6,72.45E-6,108.3E-6,478.0E-3,-2.462E-3,-1.847E-3,-1.232E-3,-617.4E-6,476.0E-3,144.2E-6
478.0E-3,35.29E-6,69.98E-6,104.6E-6,480.0E-3,-2.397E-3,-1.798E-3,-1.200E-3,-601.2E-6,478.0E-3,139.2E-6
480.0E-3,34.09E-6,67.58E-6,101.0E-6,482.0E-3,-2.333E-3,-1.750E-3,-1.168E-3,-585.3E-6,480.0E-3,134.5E-6
482.0E-3,32.92E-6,65.25E-6,97.53E-6,484.0E-3,-2.269E-3,-1.703E-3,-1.136E-3,-569.5E-6,482.0E-3,129.8E-6
484.0E-3,31.78E-6,62.98E-6,94.12E-6,486.0E-3,-2.207E-3,-1.656E-3,-1.105E-3,-554.0E-6,484.0E-3,125.2E-6
486.0E-3,30.67E-6,60.77E-6,90.81E-6,488.0E-3,-2.146E-3,-1.610E-3,-1.074E-3,-538.8E-6,486.0E-3,120.8E-6
488.0E-3,29.60E-6,58.62E-6,87.59E-6,490.0E-3,-2.085E-3,-1.565E-3,-1.044E-3,-523.7E-6,488.0E-3,116.5E-6
490.0E-3,28.55E-6,56.53E-6,84.46E-6,492.0E-3,-2.026E-3,-1.520E-3,-1.014E-3,-509.0E-6,490.0E-3,112.4E-6
492.0E-3,27.53E-6,54.50E-6,81.42E-6,494.0E-3,-1.967E-3,-1.476E-3,-985.2E-6,-494.4E-6,492.0E-3,108.3E-6
494.0E-3,26.54E-6,52.53E-6,78.47E-6,496.0E-3,-1.910E-3,-1.433E-3,-956.5E-6,-480.1E-6,494.0E-3,104.4E-6
496.0E-3,25.58E-6,50.62E-6,75.60E-6,498.0E-3,-1.853E-3,-1.391E-3,-928.4E-6,-466.1E-6,496.0E-3,100.6E-6
498.0E-3,24.65E-6,48.76E-6,72.82E-6,500.0E-3,-1.798E-3,-1.349E-3,-900.7E-6,-452.3E-6,498.0E-3,96.86E-6
500.0E-3,23.75E-6,46.96E-6,70.12E-6,502.0E-3,-1.743E-3,-1.309E-3,-873.6E-6,-438.7E-6,500.0E-3,93.27E-6
502.0E-3,22.87E-6,45.21E-6,67.51E-6,504.0E-3,-1.690E-3,-1.269E-3,-847.0E-6,-425.5E-6,502.0E-3,89.78E-6
504.0E-3,22.02E-6,43.52E-6,64.97E-6,506.0E-3,-1.638E-3,-1.229E-3,-820.9E-6,-412.5E-6,504.0E-3,86.40E-6
506.0E-3,21.19E-6,41.88E-6,62.51E-6,508.0E-3,-1.586E-3,-1.191E-3,-795.3E-6,-399.7E-6,506.0E-3,83.13E-6
508.0E-3,20.39E-6,40.29E-6,60.13E-6,510.0E-3,-1.536E-3,-1.153E-3,-770.3E-6,-387.2E-6,508.0E-3,79.95E-6
510.0E-3,19.62E-6,38.75E-6,57.82E-6,512.0E-3,-1.487E-3,-1.117E-3,-745.8E-6,-375.0E-6,510.0E-3,76.88E-6
512.0E-3,18.87E-6,37.25E-6,55.59E-6,514.0E-3,-1.439E-3,-1.081E-3,-721.9E-6,-363.1E-6,512.0E-3,73.91E-6
514.0E-3,18.14E-6,35.81E-6,53.43E-6,516.0E-3,-1.392E-3,-1.045E-3,-698.5E-6,-351.4E-6,514.0E-3,71.03E-6
516.0E-3,17.44E-6,34.41E-6,51.34E-6,518.0E-3,-1.346E-3,-1.011E-3,-675.6E-6,-339.9E-6,516.0E-3,68.24E-6
518.0E-3,16.76E-6,33.06E-6,49.31E-6,520.0E-3,-1.302E-3,-977.6E-6,-653.3E-6,-328.8E-6,518.0E-3,65.55E-6
520.0E-3,16.10E-6,31.76E-6,47.36E-6,522.0E-3,-1.258E-3,-944.8E-6,-631.4E-6,-317.9E-6,520.0E-3,62.95E-6
522.0E-3,15.47E-6,30.49E-6,45.47E-6,524.0E-3,-1.215E-3,-912.8E-6,-610.2E-6,-307.3E-6,522.0E-3,60.43E-6
524.0E-3,14.85E-6,29.27E-6,43.64E-6,526.0E-3,-1.174E-3,-881.7E-6,-589.4E-6,-296.9E-6,524.0E-3,58.00E-6
526.0E-3,14.26E-6,28.09E-6,41.88E-6,528.0E-3,-1.133E-3,-851.3E-6,-569.2E-6,-286.8E-6,526.0E-3,55.65E-6
528.0E-3,13.69E-6,26.96E-6,40.18E-6,530.0E-3,-1.094E-3,-821.7E-6,-549.5E-6,-276.9E-6,528.0E-3,53.39E-6
530.0E-3,13.13E-6,25.86E-6,38.53E-6,532.0E-3,-1.055E-3,-792.9E-6,-530.3E-6,-267.3E-6,530.0E-3,51.20E-6
532.0E-3,12.60E-6,24.80E-6,36.95E-6,534.0E-3,-1.018E-3,-764.9E-6,-511.6E-6,-258.0E-6,532.0E-3,49.09E-6
534.0E-3,12.08E-6,23.77E-6,35.42E-6,536.0E-3,-981.6E-6,-737.6E-6,-493.4E-6,-248.9E-6,534.0E-3,47.05E-6
536.0E-3,11.58E-6,22.79E-6,33.94E-6,538.0E-3,-946.2E-6,-711.1E-6,-475.8E-6,-240.1E-6,536.0E-3,45.09E-6
538.0E-3,11.10E-6,21.83E-6,32.52E-6,540.0E-3,-911.8E-6,-685.3E-6,-458.6E-6,-231.5E-6,538.0E-3,43.20E-6
540.0E-3,10.64E-6,20.92E-6,31.15E-6,542.0E-3,-878.4E-6,-660.3E-6,-441.9E-6,-223.1E-6,540.0E-3,41.37E-6
542.0E-3,10.19E-6,20.03E-6,29.83E-6,544.0E-3,-846.0E-6,-635.9E-6,-425.7E-6,-215.0E-6,542.0E-3,39.62E-6
544.0E-3,9.763E-6,19.18E-6,28.56E-6,546.0E-3,-814.5E-6,-612.3E-6,-409.9E-6,-207.1E-6,544.0E-3,37.93E-6
546.0E-3,9.349E-6,18.36E-6,27.33E-6,548.0E-3,-784.0E-6,-589.4E-6,-394.7E-6,-199.5E-6,546.0E-3,36.30E-6
548.0E-3,8.950E-6,17.57E-6,26.15E-6,550.0E-3,-754.4E-6,-567.2E-6,-379.8E-6,-192.0E-6,548.0E-3,34.73E-6
550.0E-3,8.566E-6,16.81E-6,25.02E-6,552.0E-3,-725.6E-6,-545.6E-6,-365.5E-6,-184.8E-6,550.0E-3,33.22E-6
552.0E-3,8.196E-6,16.08E-6,23.93E-6,554.0E-3,-697.8E-6,-524.7E-6,-351.5E-6,-177.9E-6,552.0E-3,31.77E-6
554.0E-3,7.841E-6,15.38E-6,22.88E-6,556.0E-3,-670.9E-6,-504.5E-6,-338.0E-6,-171.1E-6,554.0E-3,30.37E-6
556.0E-3,7.499E-6,14.70E-6,21.87E-6,558.0E-3,-644.8E-6,-484.9E-6,-325.0E-6,-164.5E-6,556.0E-3,29.03E-6
558.0E-3,7.169E-6,14.05E-6,20.90E-6,560.0E-3,-619.5E-6,-466.0E-6,-312.3E-6,-158.2E-6,558.0E-3,27.74E-6
560.0E-3,6.853E-6,13.43E-6,19.97E-6,562.0E-3,-595.0E-6,-447.6E-6,-300.1E-6,-152.0E-6,560.0E-3,26.50E-6
562.0E-3,6.549E-6,12.83E-6,19.07E-6,564.0E-3,-571.4E-6,-429.9E-6,-288.2E-6,-146.1E-6,562.0E-3,25.31E-6
564.0E-3,6.257E-6,12.25E-6,18.21E-6,566.0E-3,-548.5E-6,-412.7E-6,-276.7E-6,-140.3E-6,564.0E-3,24.17E-6
566.0E-3,5.976E-6,11.70E-6,17.39E-6,568.0E-3,-526.4E-6,-396.1E-6,-265.7E-6,-134.8E-6,566.0E-3,23.07E-6
568.0E-3,5.707E-6,11.17E-6,16.60E-6,570.0E-3,-505.0E-6,-380.1E-6,-255.0E-6,-129.4E-6,568.0E-3,22.02E-6
570.0E-3,5.448E-6,10.66E-6,15.84E-6,572.0E-3,-484.4E-6,-364.6E-6,-244.6E-6,-124.2E-6,570.0E-3,21.01E-6
572.0E-3,5.200E-6,10.17E-6,15.11E-6,574.0E-3,-464.5E-6,-349.6E-6,-234.6E-6,-119.1E-6,572.0E-3,20.04E-6
574.0E-3,4.961E-6,9.699E-6,14.41E-6,576.0E-3,-445.3E-6,-335.2E-6,-225.0E-6,-114.3E-6,574.0E-3,19.11E-6
576.0E-3,4.733E-6,9.249E-6,13.74E-6,578.0E-3,-426.7E-6,-321.2E-6,-215.7E-6,-109.6E-6,576.0E-3,18.22E-6
578.0E-3,4.514E-6,8.817E-6,13.09E-6,580.0E-3,-408.8E-6,-307.8E-6,-206.7E-6,-105.1E-6,578.0E-3,17.37E-6
580.0E-3,4.303E-6,8.404E-6,12.48E-6,582.0E-3,-391.6E-6,-294.8E-6,-198.0E-6,-100.7E-6,580.0E-3,16.55E-6
582.0E-3,4.102E-6,8.008E-6,11.89E-6,584.0E-3,-375.0E-6,-282.3E-6,-189.6E-6,-96.50E-6,582.0E-3,15.77E-6
584.0E-3,3.909E-6,7.629E-6,11.32E-6,586.0E-3,-358.9E-6,-270.3E-6,-181.6E-6,-92.44E-6,584.0E-3,15.02E-6
586.0E-3,3.724E-6,7.266E-6,10.78E-6,588.0E-3,-343.5E-6,-258.7E-6,-173.8E-6,-88.53E-6,586.0E-3,14.30E-6
588.0E-3,3.547E-6,6.918E-6,10.27E-6,590.0E-3,-328.6E-6,-247.5E-6,-166.4E-6,-84.75E-6,588.0E-3,13.61E-6
590.0E-3,3.378E-6,6.585E-6,9.771E-6,592.0E-3,-314.3E-6,-236.8E-6,-159.1E-6,-81.12E-6,590.0E-3,12.96E-6
592.0E-3,3.215E-6,6.267E-6,9.298E-6,594.0E-3,-300.5E-6,-226.4E-6,-152.2E-6,-77.62E-6,592.0E-3,12.33E-6
594.0E-3,3.060E-6,5.962E-6,8.845E-6,596.0E-3,-287.3E-6,-216.5E-6,-145.5E-6,-74.25E-6,594.0E-3,11.73E-6
596.0E-3,2.912E-6,5.671E-6,8.412E-6,598.0E-3,-274.6E-6,-206.9E-6,-139.1E-6,-71.00E-6,596.0E-3,11.15E-6
598.0E-3,2.770E-6,5.393E-6,7.998E-6,600.0E-3,-262.3E-6,-197.7E-6,-133.0E-6,-67.88E-6,598.0E-3,10.60E-6
600.0E-3,2.634E-6,5.127E-6,7.603E-6,602.0E-3,-250.5E-6,-188.8E-6,-127.0E-6,-64.88E-6,600.0E-3,10.08E-6
602.0E-3,2.504E-6,4.873E-6,7.226E-6,604.0E-3,-239.2E-6,-180.3E-6,-121.3E-6,-61.99E-6,602.0E-3,9.577E-6
604.0E-3,2.380E-6,4.630E-6,6.865E-6,606.0E-3,-228.3E-6,-172.1E-6,-115.8E-6,-59.21E-6,604.0E-3,9.098E-6
606.0E-3,2.262E-6,4.399E-6,6.521E-6,608.0E-3,-217.9E-6,-164.3E-6,-110.6E-6,-56.55E-6,606.0E-3,8.641E-6
608.0E-3,2.149E-6,4.178E-6,6.192E-6,610.0E-3,-207.9E-6,-156.7E-6,-105.5E-6,-53.98E-6,608.0E-3,8.206E-6
610.0E-3,2.041E-6,3.967E-6,5.879E-6,612.0E-3,-198.3E-6,-149.5E-6,-100.7E-6,-51.52E-6,610.0E-3,7.790E-6
612.0E-3,1.938E-6,3.765E-6,5.580E-6,614.0E-3,-189.0E-6,-142.5E-6,-96.00E-6,-49.16E-6,612.0E-3,7.393E-6
614.0E-3,1.839E-6,3.573E-6,5.295E-6,616.0E-3,-180.2E-6,-135.9E-6,-91.53E-6,-46.89E-6,614.0E-3,7.015E-6
616.0E-3,1.745E-6,3.390E-6,5.023E-6,618.0E-3,-171.7E-6,-129.5E-6,-87.25E-6,-44.71E-6,616.0E-3,6.655E-6
618.0E-3,1.656E-6,3.216E-6,4.764E-6,620.0E-3,-163.6E-6,-123.4E-6,-83.14E-6,-42.62E-6,618.0E-3,6.311E-6
620.0E-3,1.571E-6,3.050E-6,4.517E-6,622.0E-3,-155.8E-6,-117.5E-6,-79.20E-6,-40.62E-6,620.0E-3,5.984E-6
622.0E-3,1.490E-6,2.891E-6,4.282E-6,624.0E-3,-148.3E-6,-111.9E-6,-75.42E-6,-38.70E-6,622.0E-3,5.673E-6
624.0E-3,1.412E-6,2.740E-6,4.058E-6,626.0E-3,-141.2E-6,-106.5E-6,-71.81E-6,-36.86E-6,624.0E-3,5.376E-6
626.0E-3,1.338E-6,2.597E-6,3.845E-6,628.0E-3,-134.4E-6,-101.4E-6,-68.35E-6,-35.09E-6,626.0E-3,5.094E-6
628.0E-3,1.268E-6,2.460E-6,3.643E-6,630.0E-3,-127.8E-6,-96.43E-6,-65.03E-6,-33.40E-6,628.0E-3,4.825E-6
630.0E-3,1.201E-6,2.330E-6,3.450E-6,632.0E-3,-121.6E-6,-91.72E-6,-61.86E-6,-31.79E-6,630.0E-3,4.569E-6
632.0E-3,1.138E-6,2.206E-6,3.266E-6,634.0E-3,-115.6E-6,-87.21E-6,-58.83E-6,-30.24E-6,632.0E-3,4.326E-6
634.0E-3,1.077E-6,2.089E-6,3.092E-6,636.0E-3,-109.8E-6,-82.90E-6,-55.93E-6,-28.76E-6,634.0E-3,4.095E-6
636.0E-3,1.020E-6,1.977E-6,2.926E-6,638.0E-3,-104.4E-6,-78.78E-6,-53.16E-6,-27.34E-6,636.0E-3,3.875E-6
638.0E-3,965.2E-9,1.870E-6,2.769E-6,640.0E-3,-99.16E-6,-74.84E-6,-50.51E-6,-25.99E-6,638.0E-3,3.667E-6
640.0E-3,913.2E-9,1.769E-6,2.619E-6,642.0E-3,-94.17E-6,-71.08E-6,-47.98E-6,-24.69E-6,640.0E-3,3.468E-6
642.0E-3,863.8E-9,1.673E-6,2.477E-6,644.0E-3,-89.41E-6,-67.49E-6,-45.56E-6,-23.46E-6,642.0E-3,3.280E-6
644.0E-3,816.9E-9,1.582E-6,2.342E-6,646.0E-3,-84.87E-6,-64.06E-6,-43.25E-6,-22.28E-6,644.0E-3,3.101E-6
646.0E-3,772.4E-9,1.496E-6,2.214E-6,648.0E-3,-80.53E-6,-60.79E-6,-41.05E-6,-21.15E-6,646.0E-3,2.931E-6
648.0E-3,730.1E-9,1.414E-6,2.092E-6,650.0E-3,-76.39E-6,-57.68E-6,-38.95E-6,-20.07E-6,648.0E-3,2.770E-6
650.0E-3,689.9E-9,1.336E-6,1.977E-6,652.0E-3,-72.45E-6,-54.70E-6,-36.94E-6,-19.05E-6,650.0E-3,2.618E-6
652.0E-3,651.8E-9,1.262E-6,1.867E-6,654.0E-3,-68.69E-6,-51.87E-6,-35.03E-6,-18.07E-6,652.0E-3,2.473E-6
654.0E-3,615.7E-9,1.192E-6,1.764E-6,656.0E-3,-65.11E-6,-49.17E-6,-33.21E-6,-17.13E-6,654.0E-3,2.335E-6
656.0E-3,581.4E-9,1.125E-6,1.665E-6,658.0E-3,-61.70E-6,-46.60E-6,-31.48E-6,-16.24E-6,656.0E-3,2.205E-6
658.0E-3,549.0E-9,1.062E-6,1.572E-6,660.0E-3,-58.46E-6,-44.15E-6,-29.83E-6,-15.39E-6,658.0E-3,2.082E-6
660.0E-3,518.2E-9,1.003E-6,1.484E-6,662.0E-3,-55.37E-6,-41.81E-6,-28.25E-6,-14.58E-6,660.0E-3,1.965E-6
