dc (V),V5:p (A),dc (V),1/deriv(i("/V5/PLUS" ?result "dc"))
930.0E-3,-1.464E-3,933.5E-3,-83.10
933.5E-3,-1.507E-3,937.0E-3,-82.33
937.0E-3,-1.549E-3,940.5E-3,-81.58
940.5E-3,-1.592E-3,944.0E-3,-80.85
944.0E-3,-1.635E-3,947.5E-3,-80.15
947.5E-3,-1.679E-3,951.0E-3,-79.48
951.0E-3,-1.723E-3,954.5E-3,-78.82
954.5E-3,-1.767E-3,958.0E-3,-78.19
958.0E-3,-1.812E-3,961.5E-3,-77.57
961.5E-3,-1.857E-3,965.0E-3,-76.97
965.0E-3,-1.903E-3,968.5E-3,-76.39
968.5E-3,-1.948E-3,972.0E-3,-75.83
972.0E-3,-1.995E-3,975.5E-3,-75.28
975.5E-3,-2.041E-3,979.0E-3,-74.75
979.0E-3,-2.088E-3,982.5E-3,-74.24
982.5E-3,-2.135E-3,986.0E-3,-73.73
986.0E-3,-2.183E-3,989.5E-3,-73.25
989.5E-3,-2.230E-3,993.0E-3,-72.77
993.0E-3,-2.278E-3,996.5E-3,-72.31
996.5E-3,-2.327E-3,1.000,-71.86
1.000,-2.376E-3, , 
