Wc ,PM5:ids (A)
1.000E-6,-211.5E-6
1.100E-6,-230.2E-6
1.200E-6,-249.0E-6
1.300E-6,-269.4E-6
1.400E-6,-289.8E-6
1.500E-6,-310.1E-6
1.600E-6,-330.5E-6
1.700E-6,-350.8E-6
1.800E-6,-371.1E-6
1.900E-6,-391.5E-6
2.000E-6,-411.8E-6
