dc (V),NM1:d (A),dc (V),1/deriv(i("/NM1/D" ?result "dc"))
240.0E-3,346.3E-6,242.0E-3,2.047E3
242.0E-3,347.3E-6,244.0E-3,2.052E3
244.0E-3,348.2E-6,246.0E-3,2.057E3
246.0E-3,349.2E-6,248.0E-3,2.062E3
248.0E-3,350.2E-6,250.0E-3,2.068E3
250.0E-3,351.1E-6,252.0E-3,2.073E3
252.0E-3,352.1E-6,254.0E-3,2.078E3
254.0E-3,353.1E-6,256.0E-3,2.083E3
256.0E-3,354.0E-6,258.0E-3,2.088E3
258.0E-3,355.0E-6,260.0E-3,2.093E3
260.0E-3,355.9E-6,262.0E-3,2.098E3
262.0E-3,356.9E-6,264.0E-3,2.103E3
264.0E-3,357.9E-6,266.0E-3,2.108E3
266.0E-3,358.8E-6,268.0E-3,2.113E3
268.0E-3,359.7E-6,270.0E-3,2.119E3
270.0E-3,360.7E-6,272.0E-3,2.124E3
272.0E-3,361.6E-6,274.0E-3,2.129E3
274.0E-3,362.6E-6,276.0E-3,2.134E3
276.0E-3,363.5E-6,278.0E-3,2.139E3
278.0E-3,364.4E-6,280.0E-3,2.144E3
280.0E-3,365.4E-6,282.0E-3,2.149E3
282.0E-3,366.3E-6,284.0E-3,2.155E3
284.0E-3,367.2E-6,286.0E-3,2.160E3
286.0E-3,368.2E-6,288.0E-3,2.165E3
288.0E-3,369.1E-6,290.0E-3,2.170E3
290.0E-3,370.0E-6,292.0E-3,2.175E3
292.0E-3,370.9E-6,294.0E-3,2.181E3
294.0E-3,371.8E-6,296.0E-3,2.186E3
296.0E-3,372.8E-6,298.0E-3,2.191E3
298.0E-3,373.7E-6,300.0E-3,2.197E3
300.0E-3,374.6E-6,302.0E-3,2.202E3
302.0E-3,375.5E-6,304.0E-3,2.207E3
304.0E-3,376.4E-6,306.0E-3,2.212E3
306.0E-3,377.3E-6,308.0E-3,2.218E3
308.0E-3,378.2E-6,310.0E-3,2.223E3
310.0E-3,379.1E-6,312.0E-3,2.229E3
312.0E-3,380.0E-6,314.0E-3,2.234E3
314.0E-3,380.9E-6,316.0E-3,2.239E3
316.0E-3,381.8E-6,318.0E-3,2.245E3
318.0E-3,382.7E-6,320.0E-3,2.250E3
320.0E-3,383.6E-6,322.0E-3,2.256E3
322.0E-3,384.5E-6,324.0E-3,2.261E3
324.0E-3,385.3E-6,326.0E-3,2.266E3
326.0E-3,386.2E-6,328.0E-3,2.272E3
328.0E-3,387.1E-6,330.0E-3,2.277E3
330.0E-3,388.0E-6,332.0E-3,2.283E3
332.0E-3,388.9E-6,334.0E-3,2.289E3
334.0E-3,389.7E-6,336.0E-3,2.294E3
336.0E-3,390.6E-6,338.0E-3,2.300E3
338.0E-3,391.5E-6,340.0E-3,2.305E3
340.0E-3,392.3E-6,342.0E-3,2.311E3
342.0E-3,393.2E-6,344.0E-3,2.316E3
344.0E-3,394.1E-6,346.0E-3,2.322E3
346.0E-3,394.9E-6,348.0E-3,2.328E3
348.0E-3,395.8E-6,350.0E-3,2.333E3
350.0E-3,396.6E-6,352.0E-3,2.339E3
352.0E-3,397.5E-6,354.0E-3,2.345E3
354.0E-3,398.4E-6,356.0E-3,2.350E3
356.0E-3,399.2E-6,358.0E-3,2.356E3
358.0E-3,400.1E-6,360.0E-3,2.362E3
360.0E-3,400.9E-6,362.0E-3,2.367E3
362.0E-3,401.7E-6,364.0E-3,2.373E3
364.0E-3,402.6E-6,366.0E-3,2.379E3
366.0E-3,403.4E-6,368.0E-3,2.385E3
368.0E-3,404.3E-6,370.0E-3,2.390E3
370.0E-3,405.1E-6,372.0E-3,2.396E3
372.0E-3,405.9E-6,374.0E-3,2.402E3
374.0E-3,406.8E-6,376.0E-3,2.408E3
376.0E-3,407.6E-6,378.0E-3,2.414E3
378.0E-3,408.4E-6,380.0E-3,2.420E3
380.0E-3,409.3E-6,382.0E-3,2.425E3
382.0E-3,410.1E-6,384.0E-3,2.431E3
384.0E-3,410.9E-6,386.0E-3,2.437E3
386.0E-3,411.7E-6,388.0E-3,2.443E3
388.0E-3,412.5E-6,390.0E-3,2.449E3
390.0E-3,413.4E-6,392.0E-3,2.455E3
392.0E-3,414.2E-6,394.0E-3,2.461E3
394.0E-3,415.0E-6,396.0E-3,2.467E3
396.0E-3,415.8E-6,398.0E-3,2.473E3
398.0E-3,416.6E-6,400.0E-3,2.479E3
400.0E-3,417.4E-6,402.0E-3,2.485E3
402.0E-3,418.2E-6,404.0E-3,2.491E3
404.0E-3,419.0E-6,406.0E-3,2.497E3
