dc (V),V1:p (Wn=5.00e-06) (A),V1:p (Wn=1.00e-05) (A),V1:p (Wn=1.50e-05) (A),V1:p (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1e-05)),dc (V),V1:p (Wn=2.00e-05) (A)
66.00E-3,250.4E-6,500.9E-6,751.5E-6,1.253E-3,68.00E-3,-9.873E-3,-7.896E-3,-5.920E-3,-3.943E-3,66.00E-3,1.002E-3
68.00E-3,246.5E-6,493.0E-6,739.6E-6,1.233E-3,70.00E-3,-9.811E-3,-7.847E-3,-5.882E-3,-3.918E-3,68.00E-3,986.2E-6
70.00E-3,242.6E-6,485.1E-6,727.9E-6,1.213E-3,72.00E-3,-9.749E-3,-7.797E-3,-5.845E-3,-3.893E-3,70.00E-3,970.5E-6
72.00E-3,238.7E-6,477.3E-6,716.2E-6,1.194E-3,74.00E-3,-9.685E-3,-7.746E-3,-5.807E-3,-3.867E-3,72.00E-3,954.9E-6
74.00E-3,234.8E-6,469.6E-6,704.6E-6,1.174E-3,76.00E-3,-9.621E-3,-7.694E-3,-5.768E-3,-3.842E-3,74.00E-3,939.4E-6
76.00E-3,231.0E-6,461.9E-6,693.0E-6,1.155E-3,78.00E-3,-9.556E-3,-7.642E-3,-5.729E-3,-3.816E-3,76.00E-3,924.1E-6
78.00E-3,227.2E-6,454.3E-6,681.6E-6,1.136E-3,80.00E-3,-9.490E-3,-7.590E-3,-5.690E-3,-3.789E-3,78.00E-3,908.8E-6
80.00E-3,223.4E-6,446.7E-6,670.2E-6,1.117E-3,82.00E-3,-9.423E-3,-7.536E-3,-5.650E-3,-3.763E-3,80.00E-3,893.6E-6
82.00E-3,219.7E-6,439.2E-6,658.9E-6,1.098E-3,84.00E-3,-9.356E-3,-7.482E-3,-5.609E-3,-3.736E-3,82.00E-3,878.5E-6
84.00E-3,215.9E-6,431.7E-6,647.7E-6,1.079E-3,86.00E-3,-9.287E-3,-7.428E-3,-5.568E-3,-3.708E-3,84.00E-3,863.6E-6
86.00E-3,212.2E-6,424.3E-6,636.5E-6,1.061E-3,88.00E-3,-9.218E-3,-7.372E-3,-5.527E-3,-3.681E-3,86.00E-3,848.7E-6
88.00E-3,208.6E-6,416.9E-6,625.5E-6,1.042E-3,90.00E-3,-9.148E-3,-7.316E-3,-5.485E-3,-3.653E-3,88.00E-3,834.0E-6
90.00E-3,204.9E-6,409.6E-6,614.5E-6,1.024E-3,92.00E-3,-9.077E-3,-7.260E-3,-5.442E-3,-3.625E-3,90.00E-3,819.3E-6
92.00E-3,201.3E-6,402.4E-6,603.6E-6,1.006E-3,94.00E-3,-9.006E-3,-7.203E-3,-5.399E-3,-3.596E-3,92.00E-3,804.8E-6
94.00E-3,197.7E-6,395.2E-6,592.8E-6,987.9E-6,96.00E-3,-8.933E-3,-7.145E-3,-5.356E-3,-3.567E-3,94.00E-3,790.4E-6
96.00E-3,194.1E-6,388.1E-6,582.1E-6,970.1E-6,98.00E-3,-8.860E-3,-7.086E-3,-5.312E-3,-3.538E-3,96.00E-3,776.1E-6
98.00E-3,190.6E-6,381.0E-6,571.5E-6,952.4E-6,100.0E-3,-8.786E-3,-7.027E-3,-5.267E-3,-3.508E-3,98.00E-3,761.9E-6
100.0E-3,187.1E-6,374.0E-6,560.9E-6,934.8E-6,102.0E-3,-8.711E-3,-6.967E-3,-5.223E-3,-3.478E-3,100.0E-3,747.9E-6
102.0E-3,183.6E-6,367.0E-6,550.5E-6,917.4E-6,104.0E-3,-8.635E-3,-6.906E-3,-5.177E-3,-3.448E-3,102.0E-3,733.9E-6
104.0E-3,180.2E-6,360.1E-6,540.2E-6,900.1E-6,106.0E-3,-8.559E-3,-6.845E-3,-5.131E-3,-3.417E-3,104.0E-3,720.1E-6
106.0E-3,176.8E-6,353.3E-6,529.9E-6,883.0E-6,108.0E-3,-8.481E-3,-6.783E-3,-5.085E-3,-3.386E-3,106.0E-3,706.4E-6
108.0E-3,173.4E-6,346.5E-6,519.7E-6,866.0E-6,110.0E-3,-8.403E-3,-6.721E-3,-5.038E-3,-3.355E-3,108.0E-3,692.9E-6
110.0E-3,170.1E-6,339.8E-6,509.6E-6,849.2E-6,112.0E-3,-8.324E-3,-6.657E-3,-4.991E-3,-3.324E-3,110.0E-3,679.4E-6
112.0E-3,166.8E-6,333.2E-6,499.7E-6,832.6E-6,114.0E-3,-8.244E-3,-6.594E-3,-4.943E-3,-3.292E-3,112.0E-3,666.1E-6
114.0E-3,163.5E-6,326.6E-6,489.8E-6,816.1E-6,116.0E-3,-8.164E-3,-6.529E-3,-4.894E-3,-3.260E-3,114.0E-3,652.9E-6
116.0E-3,160.2E-6,320.1E-6,480.0E-6,799.7E-6,118.0E-3,-8.082E-3,-6.464E-3,-4.846E-3,-3.227E-3,116.0E-3,639.9E-6
118.0E-3,157.0E-6,313.6E-6,470.3E-6,783.6E-6,120.0E-3,-8.000E-3,-6.398E-3,-4.796E-3,-3.194E-3,118.0E-3,626.9E-6
120.0E-3,153.8E-6,307.2E-6,460.7E-6,767.6E-6,122.0E-3,-7.917E-3,-6.332E-3,-4.747E-3,-3.161E-3,120.0E-3,614.2E-6
122.0E-3,150.7E-6,300.9E-6,451.2E-6,751.7E-6,124.0E-3,-7.833E-3,-6.265E-3,-4.696E-3,-3.128E-3,122.0E-3,601.5E-6
124.0E-3,147.5E-6,294.6E-6,441.8E-6,736.1E-6,126.0E-3,-7.749E-3,-6.197E-3,-4.646E-3,-3.094E-3,124.0E-3,589.0E-6
126.0E-3,144.4E-6,288.4E-6,432.5E-6,720.6E-6,128.0E-3,-7.664E-3,-6.129E-3,-4.595E-3,-3.060E-3,126.0E-3,576.6E-6
128.0E-3,141.4E-6,282.3E-6,423.3E-6,705.3E-6,130.0E-3,-7.578E-3,-6.061E-3,-4.543E-3,-3.026E-3,128.0E-3,564.3E-6
130.0E-3,138.4E-6,276.3E-6,414.2E-6,690.1E-6,132.0E-3,-7.491E-3,-5.991E-3,-4.491E-3,-2.991E-3,130.0E-3,552.2E-6
