/V1/PLUS (W=5e-06) X,/V1/PLUS (W=5e-06) Y,/V1/PLUS (W=1e-05) X,/V1/PLUS (W=1e-05) Y,/V1/PLUS (W=1.5e-05) X,/V1/PLUS (W=1.5e-05) Y,/V1/PLUS (W=2.5e-05) X,/V1/PLUS (W=2.5e-05) Y,/V1/PLUS (W=3e-05) X,/V1/PLUS (W=3e-05) Y,deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)) X,deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)) Y,/V1/PLUS (W=2e-05) X,/V1/PLUS (W=2e-05) Y
0,0.001050804424716266,0,0.002102756442877757,0,0.003154941082344308,0,0.005259188004406331,0,0.006311289630401142,0.002,-0.01706947222521182,0,0.004207075204988201
0.002,0.00104510819343853,0.002,0.002091371818975861,0.002,0.003137867909512107,0.002,0.005230737655581266,0.002,0.006277150685950719,0.004,-0.01705667556893119,0.002,0.004184313449112352
0.004,0.001039416374563469,0.004,0.002079995839539119,0.004,0.003120807617879607,0.004,0.005202308662578492,0.004,0.006243037334812856,0.006,-0.01704375308951176,0.004,0.004161568811654665
0.006,0.001033729010433501,0.006,0.002068628588782396,0.006,0.003103760333523419,0.006,0.005173901235188817,0.006,0.006208949828633833,0.008,-0.01703070360231825,0.006,0.004138841460549625
0.008,0.001028046143788977,0.008,0.002057270151714603,0.008,0.00308672618370806,0.008,0.005145515585178484,0.008,0.006174888421429196,0.01,-0.0170175259068925,0.008,0.004116131565313438
0.01,0.001022367817773463,0.01,0.002045920614149306,0.01,0.003069705296901873,0.01,0.005117151926315692,0.01,0.006140853369615411,0.012,-0.01700421878655326,0.01,0.00409343929706518
0.012,0.001016694075939132,0.012,0.002034580062715563,0.012,0.003052697802793258,0.012,0.005088810474397562,0.012,0.006106844932042305,0.014,-0.01699078100810122,0.012,0.004070764828548477
0.014,0.001011024962252252,0.014,0.002023248584868961,0.014,0.003035703832307193,0.014,0.005060491447277727,0.014,0.006072863370026102,0.016,-0.01697721132150722,0.014,0.004048108334153454
0.016,0.001005360521098783,0.016,0.002011926268902839,0.016,0.003018723517622098,0.016,0.005032195064894339,0.016,0.006038908947383088,0.018,-0.01696350845956702,0.016,0.004025469989939293
0.018,0.0009997007972900572,0.018,0.0020006132039598,0.018,0.003001756992186995,0.018,0.005003921549298752,0.018,0.006004981930463954,0.02,-0.01694967113755572,0.018,0.004002849973657088
0.02,0.0009940458360686271,0.02,0.001989309480043374,0.02,0.002984804390739071,0.02,0.004975671124684612,0.02,0.005971082588188842,0.02200000000000001,-0.01693569805293102,0.02,0.003980248464773174
0.02200000000000001,0.0009883956831141611,0.02200000000000001,0.001978015188029945,0.02200000000000001,0.002967865849321535,0.02200000000000001,0.004947444017417771,0.02200000000000001,0.00593721119208298,0.02400000000000001,-0.01692158788487405,0.02200000000000001,0.003957665644492993
0.02400000000000001,0.0009827503845494935,0.02400000000000001,0.001966730419680929,0.02400000000000001,0.002950941505301851,0.02400000000000001,0.004919240456066521,0.02400000000000001,0.005903368016313232,0.02600000000000001,-0.01690733929404644,0.02400000000000001,0.003935101695785365
0.02600000000000001,0.0009771099869467822,0.02600000000000001,0.001955455267655156,0.02600000000000001,0.002934031497390319,0.02600000000000001,0.004891060671432645,0.02600000000000001,0.005869553337725139,0.02800000000000001,-0.01689295092209812,0.02600000000000001,0.003912556803407341
0.02800000000000001,0.0009714745373337942,0.02800000000000001,0.001944189825521526,0.02800000000000001,0.002917135965659042,0.02800000000000001,0.004862904896582991,0.02800000000000001,0.005835767435880943,0.03000000000000001,-0.016878421391349,0.02800000000000001,0.003890031153929354
0.03000000000000001,0.0009658440832003026,0.03000000000000001,0.001932934187771922,0.03000000000000001,0.002900255051561307,0.03000000000000001,0.004834773366881696,0.03000000000000001,0.005802010593098245,0.03200000000000001,-0.01686374930440171,0.03000000000000001,0.003867524935761134
0.03200000000000001,0.0009602186725046232,0.03200000000000001,0.001921688449834362,0.03200000000000001,0.002883388897951297,0.03200000000000001,0.004806666320023122,0.03200000000000001,0.005768283094489441,0.03400000000000002,-0.01684893324371349,0.03200000000000001,0.003845038339177963
0.03400000000000002,0.0009545983536802733,0.03400000000000002,0.00191045270808643,0.03400000000000002,0.00286653764910421,0.03400000000000002,0.004778583996065409,0.03400000000000002,0.005734585228002014,0.03600000000000002,-0.01683397177113789,0.03400000000000002,0.003822571556347577
0.03600000000000002,0.000948983175642777,0.03600000000000002,0.001899227059868984,0.03600000000000002,0.002849701450736895,0.03600000000000002,0.004750526637464734,0.03600000000000002,0.005700917284459739,0.03800000000000002,-0.0168188634276328,0.03600000000000002,0.003800124781357532
0.03800000000000002,0.000943373187796585,0.03800000000000002,0.001888011603500136,0.03800000000000002,0.002832880450028732,0.03800000000000002,0.004722494489110258,0.03800000000000002,0.005667279557604473,0.04000000000000002,-0.01680360673266076,0.03800000000000002,0.003777698210243199
0.04000000000000002,0.000937768440042157,0.04000000000000002,0.001876806438289531,0.04000000000000002,0.002816074795643123,0.04000000000000002,0.004694487798359871,0.04000000000000002,0.005633672344139151,0.04200000000000002,-0.01678820018384887,0.04000000000000002,0.003755292041016313
0.04200000000000002,0.0009321689827831742,0.04200000000000002,0.001865611664552888,0.04200000000000002,0.002799284637749299,0.04200000000000002,0.004666506815076568,0.04200000000000002,0.005600095943771454,0.04400000000000003,-0.01677264225652439,0.04200000000000002,0.003732906473694108
