dc (V),NM0:d (W=1.00e-06) (A),NM0:d (W=6.00e-06) (A),NM0:d (W=1.10e-05) (A),NM0:d (W=1.60e-05) (A),NM0:d (W=2.10e-05) (A),NM0:d (W=2.60e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.6e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.6e-05))
314.0E-3,134.7E-9,470.5E-9,808.3E-9,1.145E-6,1.482E-6,1.819E-6,316.0E-3,44.93E-6,34.68E-6,24.41E-6,55.18E-6
316.0E-3,142.4E-9,498.7E-9,857.1E-9,1.215E-6,1.572E-6,1.930E-6,318.0E-3,47.44E-6,36.61E-6,25.77E-6,58.27E-6
318.0E-3,150.6E-9,528.5E-9,908.7E-9,1.288E-6,1.667E-6,2.046E-6,320.0E-3,50.08E-6,38.64E-6,27.19E-6,61.51E-6
320.0E-3,159.1E-9,560.0E-9,963.1E-9,1.365E-6,1.767E-6,2.169E-6,322.0E-3,52.84E-6,40.77E-6,28.69E-6,64.91E-6
322.0E-3,168.1E-9,593.1E-9,1.020E-6,1.447E-6,1.873E-6,2.299E-6,324.0E-3,55.74E-6,43.00E-6,30.25E-6,68.47E-6
324.0E-3,177.5E-9,628.0E-9,1.081E-6,1.533E-6,1.984E-6,2.436E-6,326.0E-3,58.78E-6,45.34E-6,31.89E-6,72.21E-6
326.0E-3,187.4E-9,664.9E-9,1.145E-6,1.624E-6,2.102E-6,2.580E-6,328.0E-3,61.96E-6,47.79E-6,33.61E-6,76.12E-6
328.0E-3,197.8E-9,703.6E-9,1.212E-6,1.719E-6,2.226E-6,2.733E-6,330.0E-3,65.29E-6,50.35E-6,35.40E-6,80.21E-6
330.0E-3,208.7E-9,744.5E-9,1.283E-6,1.820E-6,2.356E-6,2.893E-6,332.0E-3,68.77E-6,53.04E-6,37.28E-6,84.50E-6
332.0E-3,220.2E-9,787.4E-9,1.357E-6,1.926E-6,2.494E-6,3.062E-6,334.0E-3,72.42E-6,55.84E-6,39.25E-6,88.99E-6
334.0E-3,232.2E-9,832.7E-9,1.436E-6,2.038E-6,2.639E-6,3.240E-6,336.0E-3,76.23E-6,58.78E-6,41.31E-6,93.67E-6
336.0E-3,244.7E-9,880.2E-9,1.518E-6,2.155E-6,2.791E-6,3.427E-6,338.0E-3,80.21E-6,61.84E-6,43.45E-6,98.58E-6
338.0E-3,257.9E-9,930.2E-9,1.605E-6,2.279E-6,2.952E-6,3.624E-6,340.0E-3,84.38E-6,65.04E-6,45.69E-6,103.7E-6
340.0E-3,271.7E-9,982.8E-9,1.697E-6,2.409E-6,3.120E-6,3.832E-6,342.0E-3,88.72E-6,68.39E-6,48.03E-6,109.0E-6
342.0E-3,286.2E-9,1.038E-6,1.793E-6,2.546E-6,3.298E-6,4.050E-6,344.0E-3,93.26E-6,71.88E-6,50.48E-6,114.6E-6
344.0E-3,301.3E-9,1.096E-6,1.894E-6,2.689E-6,3.484E-6,4.279E-6,346.0E-3,97.99E-6,75.52E-6,53.03E-6,120.5E-6
346.0E-3,317.2E-9,1.157E-6,2.000E-6,2.840E-6,3.680E-6,4.520E-6,348.0E-3,102.9E-6,79.32E-6,55.68E-6,126.5E-6
348.0E-3,333.8E-9,1.221E-6,2.111E-6,2.999E-6,3.886E-6,4.773E-6,350.0E-3,108.1E-6,83.28E-6,58.45E-6,132.9E-6
350.0E-3,351.1E-9,1.288E-6,2.228E-6,3.166E-6,4.102E-6,5.039E-6,352.0E-3,113.4E-6,87.40E-6,61.34E-6,139.5E-6
352.0E-3,369.2E-9,1.358E-6,2.351E-6,3.340E-6,4.329E-6,5.318E-6,354.0E-3,119.0E-6,91.70E-6,64.34E-6,146.4E-6
354.0E-3,388.2E-9,1.432E-6,2.479E-6,3.524E-6,4.567E-6,5.611E-6,356.0E-3,124.9E-6,96.17E-6,67.47E-6,153.5E-6
356.0E-3,408.0E-9,1.509E-6,2.614E-6,3.716E-6,4.817E-6,5.918E-6,358.0E-3,130.9E-6,100.8E-6,70.72E-6,161.0E-6
358.0E-3,428.7E-9,1.591E-6,2.756E-6,3.918E-6,5.079E-6,6.240E-6,360.0E-3,137.2E-6,105.7E-6,74.11E-6,168.7E-6
360.0E-3,450.3E-9,1.675E-6,2.904E-6,4.129E-6,5.353E-6,6.577E-6,362.0E-3,143.8E-6,110.7E-6,77.63E-6,176.8E-6
362.0E-3,472.8E-9,1.764E-6,3.059E-6,4.351E-6,5.641E-6,6.931E-6,364.0E-3,150.6E-6,116.0E-6,81.29E-6,185.2E-6
364.0E-3,496.3E-9,1.857E-6,3.222E-6,4.583E-6,5.942E-6,7.301E-6,366.0E-3,157.7E-6,121.4E-6,85.09E-6,193.9E-6
366.0E-3,520.9E-9,1.955E-6,3.392E-6,4.825E-6,6.257E-6,7.689E-6,368.0E-3,165.0E-6,127.1E-6,89.04E-6,203.0E-6
368.0E-3,546.4E-9,2.056E-6,3.570E-6,5.079E-6,6.587E-6,8.095E-6,370.0E-3,172.7E-6,132.9E-6,93.14E-6,212.4E-6
370.0E-3,573.1E-9,2.163E-6,3.756E-6,5.345E-6,6.933E-6,8.520E-6,372.0E-3,180.6E-6,139.0E-6,97.39E-6,222.2E-6
372.0E-3,600.9E-9,2.274E-6,3.951E-6,5.623E-6,7.294E-6,8.964E-6,374.0E-3,188.8E-6,145.4E-6,101.8E-6,232.3E-6
374.0E-3,629.9E-9,2.390E-6,4.155E-6,5.914E-6,7.672E-6,9.429E-6,376.0E-3,197.4E-6,151.9E-6,106.4E-6,242.8E-6
376.0E-3,660.1E-9,2.512E-6,4.368E-6,6.218E-6,8.066E-6,9.914E-6,378.0E-3,206.3E-6,158.7E-6,111.1E-6,253.8E-6
378.0E-3,691.5E-9,2.639E-6,4.590E-6,6.535E-6,8.479E-6,10.42E-6,380.0E-3,215.5E-6,165.8E-6,116.1E-6,265.1E-6
380.0E-3,724.3E-9,2.771E-6,4.822E-6,6.867E-6,8.910E-6,10.95E-6,382.0E-3,225.0E-6,173.1E-6,121.2E-6,276.8E-6
382.0E-3,758.3E-9,2.909E-6,5.064E-6,7.213E-6,9.360E-6,11.51E-6,384.0E-3,234.9E-6,180.7E-6,126.5E-6,289.0E-6
384.0E-3,793.8E-9,3.053E-6,5.317E-6,7.575E-6,9.830E-6,12.08E-6,386.0E-3,245.1E-6,188.6E-6,131.9E-6,301.6E-6
386.0E-3,830.7E-9,3.203E-6,5.581E-6,7.952E-6,10.32E-6,12.69E-6,388.0E-3,255.7E-6,196.7E-6,137.6E-6,314.7E-6
388.0E-3,869.1E-9,3.360E-6,5.856E-6,8.345E-6,10.83E-6,13.32E-6,390.0E-3,266.7E-6,205.1E-6,143.5E-6,328.2E-6
390.0E-3,909.0E-9,3.524E-6,6.143E-6,8.755E-6,11.36E-6,13.97E-6,392.0E-3,278.0E-6,213.8E-6,149.6E-6,342.2E-6
392.0E-3,950.4E-9,3.694E-6,6.443E-6,9.183E-6,11.92E-6,14.66E-6,394.0E-3,289.8E-6,222.9E-6,155.9E-6,356.7E-6
394.0E-3,993.5E-9,3.871E-6,6.754E-6,9.629E-6,12.50E-6,15.37E-6,396.0E-3,301.9E-6,232.2E-6,162.4E-6,371.7E-6
396.0E-3,1.038E-6,4.056E-6,7.079E-6,10.09E-6,13.10E-6,16.11E-6,398.0E-3,314.5E-6,241.9E-6,169.1E-6,387.2E-6
398.0E-3,1.085E-6,4.248E-6,7.417E-6,10.58E-6,13.73E-6,16.89E-6,400.0E-3,327.6E-6,251.9E-6,176.1E-6,403.2E-6
400.0E-3,1.133E-6,4.448E-6,7.770E-6,11.08E-6,14.39E-6,17.69E-6,402.0E-3,341.0E-6,262.2E-6,183.3E-6,419.8E-6
402.0E-3,1.183E-6,4.656E-6,8.136E-6,11.60E-6,15.07E-6,18.53E-6,404.0E-3,354.9E-6,272.9E-6,190.7E-6,436.9E-6
404.0E-3,1.236E-6,4.873E-6,8.518E-6,12.15E-6,15.78E-6,19.41E-6,406.0E-3,369.3E-6,283.9E-6,198.4E-6,454.7E-6
406.0E-3,1.290E-6,5.098E-6,8.915E-6,12.72E-6,16.52E-6,20.32E-6,408.0E-3,384.2E-6,295.3E-6,206.4E-6,473.0E-6
408.0E-3,1.346E-6,5.333E-6,9.327E-6,13.31E-6,17.29E-6,21.26E-6,410.0E-3,399.5E-6,307.1E-6,214.6E-6,491.9E-6
410.0E-3,1.404E-6,5.576E-6,9.757E-6,13.92E-6,18.09E-6,22.25E-6,412.0E-3,415.4E-6,319.3E-6,223.1E-6,511.5E-6
412.0E-3,1.464E-6,5.829E-6,10.20E-6,14.56E-6,18.92E-6,23.27E-6,414.0E-3,431.8E-6,331.9E-6,231.9E-6,531.7E-6
414.0E-3,1.527E-6,6.092E-6,10.67E-6,15.23E-6,19.78E-6,24.33E-6,416.0E-3,448.7E-6,344.9E-6,240.9E-6,552.5E-6
416.0E-3,1.592E-6,6.365E-6,11.15E-6,15.92E-6,20.68E-6,25.44E-6,418.0E-3,466.2E-6,358.3E-6,250.3E-6,574.1E-6
418.0E-3,1.660E-6,6.649E-6,11.65E-6,16.63E-6,21.61E-6,26.59E-6,420.0E-3,484.2E-6,372.1E-6,259.9E-6,596.3E-6
420.0E-3,1.729E-6,6.944E-6,12.17E-6,17.38E-6,22.58E-6,27.78E-6,422.0E-3,502.9E-6,386.4E-6,269.9E-6,619.3E-6
422.0E-3,1.802E-6,7.250E-6,12.71E-6,18.15E-6,23.58E-6,29.02E-6,424.0E-3,522.1E-6,401.2E-6,280.2E-6,642.9E-6
424.0E-3,1.877E-6,7.567E-6,13.27E-6,18.95E-6,24.63E-6,30.30E-6,426.0E-3,541.9E-6,416.4E-6,290.8E-6,667.4E-6
426.0E-3,1.955E-6,7.896E-6,13.85E-6,19.78E-6,25.71E-6,31.64E-6,428.0E-3,562.4E-6,432.1E-6,301.7E-6,692.6E-6
428.0E-3,2.035E-6,8.238E-6,14.45E-6,20.65E-6,26.84E-6,33.02E-6,430.0E-3,583.5E-6,448.3E-6,313.0E-6,718.6E-6
430.0E-3,2.118E-6,8.593E-6,15.08E-6,21.55E-6,28.00E-6,34.46E-6,432.0E-3,605.3E-6,465.0E-6,324.6E-6,745.4E-6
432.0E-3,2.205E-6,8.960E-6,15.73E-6,22.48E-6,29.22E-6,35.95E-6,434.0E-3,627.7E-6,482.3E-6,336.6E-6,773.1E-6
434.0E-3,2.294E-6,9.341E-6,16.40E-6,23.44E-6,30.47E-6,37.50E-6,436.0E-3,650.9E-6,500.0E-6,349.0E-6,801.6E-6
436.0E-3,2.387E-6,9.736E-6,17.10E-6,24.44E-6,31.77E-6,39.10E-6,438.0E-3,674.7E-6,518.3E-6,361.8E-6,831.1E-6
438.0E-3,2.482E-6,10.15E-6,17.82E-6,25.48E-6,33.12E-6,40.76E-6,440.0E-3,699.3E-6,537.2E-6,374.9E-6,861.4E-6
440.0E-3,2.582E-6,10.57E-6,18.57E-6,26.55E-6,34.52E-6,42.49E-6,442.0E-3,724.7E-6,556.7E-6,388.5E-6,892.6E-6
442.0E-3,2.684E-6,11.01E-6,19.35E-6,27.66E-6,35.97E-6,44.27E-6,444.0E-3,750.8E-6,576.7E-6,402.4E-6,924.8E-6
444.0E-3,2.790E-6,11.46E-6,20.16E-6,28.82E-6,37.47E-6,46.12E-6,446.0E-3,777.7E-6,597.4E-6,416.8E-6,958.0E-6
446.0E-3,2.900E-6,11.94E-6,20.99E-6,30.01E-6,39.03E-6,48.04E-6,448.0E-3,805.5E-6,618.7E-6,431.7E-6,992.2E-6
448.0E-3,3.013E-6,12.42E-6,21.85E-6,31.25E-6,40.64E-6,50.02E-6,450.0E-3,834.0E-6,640.6E-6,446.9E-6,1.027E-3
450.0E-3,3.130E-6,12.93E-6,22.75E-6,32.53E-6,42.31E-6,52.08E-6,452.0E-3,863.4E-6,663.1E-6,462.6E-6,1.064E-3
452.0E-3,3.251E-6,13.45E-6,23.67E-6,33.86E-6,44.03E-6,54.20E-6,454.0E-3,893.7E-6,686.4E-6,478.8E-6,1.101E-3
454.0E-3,3.377E-6,13.99E-6,24.63E-6,35.23E-6,45.82E-6,56.40E-6,456.0E-3,924.9E-6,710.3E-6,495.5E-6,1.139E-3
456.0E-3,3.506E-6,14.55E-6,25.62E-6,36.65E-6,47.67E-6,58.68E-6,458.0E-3,957.0E-6,734.9E-6,512.6E-6,1.179E-3
458.0E-3,3.640E-6,15.13E-6,26.65E-6,38.12E-6,49.58E-6,61.04E-6,460.0E-3,990.0E-6,760.3E-6,530.3E-6,1.220E-3
460.0E-3,3.778E-6,15.73E-6,27.71E-6,39.64E-6,51.56E-6,63.48E-6,462.0E-3,1.024E-3,786.3E-6,548.4E-6,1.261E-3
462.0E-3,3.920E-6,16.35E-6,28.80E-6,41.21E-6,53.61E-6,66.00E-6,464.0E-3,1.059E-3,813.1E-6,567.1E-6,1.305E-3
464.0E-3,4.067E-6,16.99E-6,29.94E-6,42.84E-6,55.73E-6,68.61E-6,466.0E-3,1.095E-3,840.7E-6,586.3E-6,1.349E-3
466.0E-3,4.219E-6,17.65E-6,31.11E-6,44.52E-6,57.92E-6,71.31E-6,468.0E-3,1.132E-3,869.0E-6,606.1E-6,1.394E-3
468.0E-3,4.376E-6,18.34E-6,32.32E-6,46.26E-6,60.18E-6,74.10E-6,470.0E-3,1.170E-3,898.2E-6,626.3E-6,1.441E-3
470.0E-3,4.538E-6,19.05E-6,33.57E-6,48.06E-6,62.52E-6,76.98E-6,472.0E-3,1.209E-3,928.1E-6,647.2E-6,1.489E-3
472.0E-3,4.704E-6,19.78E-6,34.87E-6,49.91E-6,64.94E-6,79.96E-6,474.0E-3,1.249E-3,958.9E-6,668.6E-6,1.539E-3
474.0E-3,4.877E-6,20.53E-6,36.21E-6,51.83E-6,67.44E-6,83.04E-6,476.0E-3,1.290E-3,990.5E-6,690.6E-6,1.590E-3
476.0E-3,5.054E-6,21.31E-6,37.59E-6,53.81E-6,70.02E-6,86.22E-6,478.0E-3,1.332E-3,1.023E-3,713.3E-6,1.642E-3
478.0E-3,5.237E-6,22.12E-6,39.01E-6,55.86E-6,72.68E-6,89.50E-6,480.0E-3,1.376E-3,1.056E-3,736.5E-6,1.695E-3
480.0E-3,5.426E-6,22.95E-6,40.49E-6,57.97E-6,75.43E-6,92.89E-6,482.0E-3,1.420E-3,1.091E-3,760.3E-6,1.750E-3
482.0E-3,5.620E-6,23.81E-6,42.01E-6,60.15E-6,78.28E-6,96.39E-6,484.0E-3,1.466E-3,1.126E-3,784.7E-6,1.807E-3
484.0E-3,5.820E-6,24.69E-6,43.58E-6,62.40E-6,81.21E-6,100.0E-6,486.0E-3,1.513E-3,1.162E-3,809.8E-6,1.865E-3
486.0E-3,6.027E-6,25.60E-6,45.20E-6,64.73E-6,84.23E-6,103.7E-6,488.0E-3,1.561E-3,1.199E-3,835.5E-6,1.924E-3
488.0E-3,6.239E-6,26.55E-6,46.87E-6,67.12E-6,87.36E-6,107.6E-6,490.0E-3,1.611E-3,1.237E-3,861.9E-6,1.985E-3
490.0E-3,6.458E-6,27.52E-6,48.59E-6,69.60E-6,90.58E-6,111.6E-6,492.0E-3,1.661E-3,1.275E-3,888.9E-6,2.047E-3
492.0E-3,6.683E-6,28.52E-6,50.37E-6,72.15E-6,93.90E-6,115.6E-6,494.0E-3,1.713E-3,1.315E-3,916.6E-6,2.111E-3
494.0E-3,6.915E-6,29.56E-6,52.20E-6,74.78E-6,97.33E-6,119.9E-6,496.0E-3,1.766E-3,1.356E-3,945.0E-6,2.177E-3
496.0E-3,7.154E-6,30.62E-6,54.09E-6,77.49E-6,100.9E-6,124.2E-6,498.0E-3,1.821E-3,1.398E-3,974.0E-6,2.244E-3
498.0E-3,7.399E-6,31.72E-6,56.04E-6,80.28E-6,104.5E-6,128.7E-6,500.0E-3,1.877E-3,1.440E-3,1.004E-3,2.313E-3
500.0E-3,7.651E-6,32.85E-6,58.05E-6,83.17E-6,108.3E-6,133.3E-6,502.0E-3,1.934E-3,1.484E-3,1.034E-3,2.383E-3
502.0E-3,7.911E-6,34.02E-6,60.12E-6,86.13E-6,112.1E-6,138.1E-6,504.0E-3,1.992E-3,1.529E-3,1.065E-3,2.455E-3
504.0E-3,8.178E-6,35.22E-6,62.25E-6,89.19E-6,116.1E-6,143.0E-6,506.0E-3,2.052E-3,1.575E-3,1.097E-3,2.529E-3
506.0E-3,8.452E-6,36.45E-6,64.44E-6,92.34E-6,120.2E-6,148.1E-6,508.0E-3,2.113E-3,1.622E-3,1.130E-3,2.604E-3
508.0E-3,8.734E-6,37.73E-6,66.70E-6,95.58E-6,124.4E-6,153.3E-6,510.0E-3,2.175E-3,1.669E-3,1.163E-3,2.681E-3
510.0E-3,9.023E-6,39.04E-6,69.03E-6,98.92E-6,128.8E-6,158.6E-6,512.0E-3,2.239E-3,1.718E-3,1.197E-3,2.760E-3
512.0E-3,9.320E-6,40.38E-6,71.42E-6,102.4E-6,133.3E-6,164.2E-6,514.0E-3,2.304E-3,1.768E-3,1.232E-3,2.840E-3
514.0E-3,9.626E-6,41.77E-6,73.88E-6,105.9E-6,137.9E-6,169.8E-6,516.0E-3,2.371E-3,1.819E-3,1.267E-3,2.922E-3
516.0E-3,9.939E-6,43.20E-6,76.42E-6,109.5E-6,142.6E-6,175.7E-6,518.0E-3,2.439E-3,1.871E-3,1.303E-3,3.006E-3
518.0E-3,10.26E-6,44.67E-6,79.03E-6,113.3E-6,147.5E-6,181.7E-6,520.0E-3,2.508E-3,1.924E-3,1.340E-3,3.091E-3
520.0E-3,10.59E-6,46.18E-6,81.71E-6,117.1E-6,152.5E-6,187.9E-6,522.0E-3,2.579E-3,1.979E-3,1.378E-3,3.178E-3
522.0E-3,10.93E-6,47.73E-6,84.46E-6,121.1E-6,157.7E-6,194.2E-6,524.0E-3,2.651E-3,2.034E-3,1.416E-3,3.267E-3
524.0E-3,11.28E-6,49.32E-6,87.29E-6,125.2E-6,163.0E-6,200.8E-6,526.0E-3,2.724E-3,2.090E-3,1.455E-3,3.358E-3
526.0E-3,11.63E-6,50.96E-6,90.21E-6,129.3E-6,168.4E-6,207.5E-6,528.0E-3,2.799E-3,2.147E-3,1.495E-3,3.450E-3
528.0E-3,12.00E-6,52.64E-6,93.20E-6,133.6E-6,174.0E-6,214.4E-6,530.0E-3,2.875E-3,2.206E-3,1.536E-3,3.544E-3
530.0E-3,12.37E-6,54.37E-6,96.27E-6,138.0E-6,179.8E-6,221.5E-6,532.0E-3,2.953E-3,2.265E-3,1.577E-3,3.640E-3
532.0E-3,12.75E-6,56.14E-6,99.42E-6,142.6E-6,185.7E-6,228.8E-6,534.0E-3,3.031E-3,2.325E-3,1.619E-3,3.737E-3
534.0E-3,13.14E-6,57.96E-6,102.7E-6,147.2E-6,191.7E-6,236.2E-6,536.0E-3,3.112E-3,2.387E-3,1.662E-3,3.836E-3
536.0E-3,13.54E-6,59.83E-6,106.0E-6,152.0E-6,198.0E-6,243.9E-6,538.0E-3,3.193E-3,2.449E-3,1.705E-3,3.937E-3
538.0E-3,13.95E-6,61.74E-6,109.4E-6,156.9E-6,204.3E-6,251.8E-6,540.0E-3,3.276E-3,2.513E-3,1.749E-3,4.039E-3
540.0E-3,14.37E-6,63.71E-6,112.9E-6,161.9E-6,210.9E-6,259.8E-6,542.0E-3,3.360E-3,2.577E-3,1.794E-3,4.143E-3
542.0E-3,14.80E-6,65.72E-6,116.5E-6,167.1E-6,217.6E-6,268.1E-6,544.0E-3,3.446E-3,2.643E-3,1.839E-3,4.249E-3
544.0E-3,15.24E-6,67.79E-6,120.2E-6,172.4E-6,224.5E-6,276.6E-6,546.0E-3,3.533E-3,2.709E-3,1.885E-3,4.356E-3
546.0E-3,15.69E-6,69.91E-6,123.9E-6,177.8E-6,231.6E-6,285.3E-6,548.0E-3,3.621E-3,2.777E-3,1.932E-3,4.465E-3
548.0E-3,16.15E-6,72.08E-6,127.8E-6,183.3E-6,238.8E-6,294.3E-6,550.0E-3,3.710E-3,2.845E-3,1.980E-3,4.575E-3
550.0E-3,16.62E-6,74.30E-6,131.7E-6,189.0E-6,246.2E-6,303.4E-6,552.0E-3,3.801E-3,2.915E-3,2.028E-3,4.687E-3
552.0E-3,17.10E-6,76.58E-6,135.8E-6,194.9E-6,253.8E-6,312.8E-6,554.0E-3,3.893E-3,2.985E-3,2.076E-3,4.800E-3
554.0E-3,17.59E-6,78.91E-6,140.0E-6,200.8E-6,261.6E-6,322.4E-6,556.0E-3,3.986E-3,3.056E-3,2.126E-3,4.915E-3
556.0E-3,18.09E-6,81.29E-6,144.2E-6,206.9E-6,269.6E-6,332.2E-6,558.0E-3,4.080E-3,3.128E-3,2.176E-3,5.031E-3
558.0E-3,18.60E-6,83.73E-6,148.6E-6,213.2E-6,277.8E-6,342.3E-6,560.0E-3,4.175E-3,3.201E-3,2.226E-3,5.149E-3
560.0E-3,19.12E-6,86.23E-6,153.0E-6,219.6E-6,286.1E-6,352.6E-6,562.0E-3,4.272E-3,3.275E-3,2.277E-3,5.268E-3
562.0E-3,19.65E-6,88.78E-6,157.6E-6,226.1E-6,294.6E-6,363.1E-6,564.0E-3,4.369E-3,3.350E-3,2.329E-3,5.388E-3
564.0E-3,20.20E-6,91.39E-6,162.2E-6,232.8E-6,303.4E-6,373.9E-6,566.0E-3,4.468E-3,3.425E-3,2.381E-3,5.510E-3
566.0E-3,20.75E-6,94.06E-6,167.0E-6,239.7E-6,312.3E-6,384.9E-6,568.0E-3,4.567E-3,3.501E-3,2.434E-3,5.633E-3
568.0E-3,21.31E-6,96.79E-6,171.9E-6,246.7E-6,321.5E-6,396.2E-6,570.0E-3,4.668E-3,3.578E-3,2.487E-3,5.757E-3
570.0E-3,21.89E-6,99.57E-6,176.8E-6,253.8E-6,330.8E-6,407.7E-6,572.0E-3,4.769E-3,3.656E-3,2.541E-3,5.882E-3
572.0E-3,22.47E-6,102.4E-6,181.9E-6,261.2E-6,340.3E-6,419.5E-6,574.0E-3,4.872E-3,3.734E-3,2.595E-3,6.009E-3
574.0E-3,23.07E-6,105.3E-6,187.1E-6,268.6E-6,350.1E-6,431.5E-6,576.0E-3,4.975E-3,3.813E-3,2.650E-3,6.137E-3
576.0E-3,23.67E-6,108.3E-6,192.4E-6,276.3E-6,360.0E-6,443.8E-6,578.0E-3,5.079E-3,3.893E-3,2.705E-3,6.265E-3
578.0E-3,24.29E-6,111.3E-6,197.8E-6,284.0E-6,370.2E-6,456.3E-6,580.0E-3,5.184E-3,3.973E-3,2.761E-3,6.395E-3
580.0E-3,24.92E-6,114.4E-6,203.3E-6,292.0E-6,380.6E-6,469.1E-6,582.0E-3,5.290E-3,4.054E-3,2.817E-3,6.526E-3
582.0E-3,25.56E-6,117.6E-6,209.0E-6,300.1E-6,391.1E-6,482.1E-6,584.0E-3,5.397E-3,4.136E-3,2.873E-3,6.658E-3
584.0E-3,26.21E-6,120.8E-6,214.7E-6,308.4E-6,401.9E-6,495.4E-6,586.0E-3,5.504E-3,4.218E-3,2.930E-3,6.790E-3
586.0E-3,26.88E-6,124.1E-6,220.6E-6,316.8E-6,412.9E-6,509.0E-6,588.0E-3,5.612E-3,4.300E-3,2.987E-3,6.924E-3
588.0E-3,27.55E-6,127.4E-6,226.5E-6,325.4E-6,424.2E-6,522.9E-6,590.0E-3,5.721E-3,4.383E-3,3.044E-3,7.058E-3
590.0E-3,28.23E-6,130.8E-6,232.6E-6,334.2E-6,435.6E-6,537.0E-6,592.0E-3,5.830E-3,4.467E-3,3.102E-3,7.193E-3
592.0E-3,28.93E-6,134.3E-6,238.8E-6,343.1E-6,447.3E-6,551.4E-6,594.0E-3,5.940E-3,4.551E-3,3.160E-3,7.329E-3
594.0E-3,29.64E-6,137.8E-6,245.2E-6,352.2E-6,459.1E-6,566.0E-6,596.0E-3,6.050E-3,4.635E-3,3.218E-3,7.465E-3
596.0E-3,30.36E-6,141.4E-6,251.6E-6,361.5E-6,471.2E-6,581.0E-6,598.0E-3,6.161E-3,4.720E-3,3.277E-3,7.602E-3
598.0E-3,31.08E-6,145.0E-6,258.1E-6,370.9E-6,483.6E-6,596.2E-6,600.0E-3,6.273E-3,4.805E-3,3.336E-3,7.740E-3
600.0E-3,31.83E-6,148.8E-6,264.8E-6,380.5E-6,496.1E-6,611.6E-6,602.0E-3,6.384E-3,4.890E-3,3.395E-3,7.878E-3
602.0E-3,32.58E-6,152.6E-6,271.6E-6,390.3E-6,508.9E-6,627.4E-6,604.0E-3,6.496E-3,4.976E-3,3.454E-3,8.016E-3
604.0E-3,33.34E-6,156.4E-6,278.5E-6,400.3E-6,521.9E-6,643.4E-6,606.0E-3,6.609E-3,5.062E-3,3.513E-3,8.155E-3
606.0E-3,34.12E-6,160.3E-6,285.5E-6,410.4E-6,535.1E-6,659.7E-6,608.0E-3,6.721E-3,5.148E-3,3.572E-3,8.294E-3
608.0E-3,34.90E-6,164.3E-6,292.7E-6,420.7E-6,548.5E-6,676.3E-6,610.0E-3,6.834E-3,5.234E-3,3.632E-3,8.434E-3
610.0E-3,35.70E-6,168.4E-6,300.0E-6,431.1E-6,562.2E-6,693.2E-6,612.0E-3,6.947E-3,5.320E-3,3.692E-3,8.574E-3
612.0E-3,36.51E-6,172.5E-6,307.3E-6,441.8E-6,576.1E-6,710.3E-6,614.0E-3,7.061E-3,5.407E-3,3.751E-3,8.714E-3
614.0E-3,37.33E-6,176.7E-6,314.8E-6,452.6E-6,590.2E-6,727.8E-6,616.0E-3,7.174E-3,5.493E-3,3.811E-3,8.854E-3
616.0E-3,38.16E-6,180.9E-6,322.5E-6,463.6E-6,604.6E-6,745.5E-6,618.0E-3,7.288E-3,5.580E-3,3.871E-3,8.995E-3
618.0E-3,39.00E-6,185.2E-6,330.2E-6,474.7E-6,619.1E-6,763.5E-6,620.0E-3,7.401E-3,5.667E-3,3.931E-3,9.135E-3
620.0E-3,39.85E-6,189.6E-6,338.1E-6,486.1E-6,633.9E-6,781.7E-6,622.0E-3,7.515E-3,5.754E-3,3.991E-3,9.275E-3
622.0E-3,40.71E-6,194.1E-6,346.0E-6,497.6E-6,649.0E-6,800.3E-6,624.0E-3,7.628E-3,5.840E-3,4.050E-3,9.416E-3
624.0E-3,41.59E-6,198.6E-6,354.1E-6,509.3E-6,664.2E-6,819.1E-6,626.0E-3,7.742E-3,5.927E-3,4.110E-3,9.556E-3
626.0E-3,42.47E-6,203.1E-6,362.4E-6,521.1E-6,679.7E-6,838.2E-6,628.0E-3,7.855E-3,6.014E-3,4.170E-3,9.697E-3
628.0E-3,43.37E-6,207.8E-6,370.7E-6,533.1E-6,695.4E-6,857.6E-6,630.0E-3,7.969E-3,6.100E-3,4.229E-3,9.837E-3
630.0E-3,44.28E-6,212.5E-6,379.2E-6,545.3E-6,711.4E-6,877.3E-6,632.0E-3,8.082E-3,6.186E-3,4.289E-3,9.977E-3
632.0E-3,45.20E-6,217.3E-6,387.7E-6,557.7E-6,727.5E-6,897.3E-6,634.0E-3,8.195E-3,6.273E-3,4.349E-3,10.12E-3
634.0E-3,46.12E-6,222.1E-6,396.4E-6,570.3E-6,743.9E-6,917.5E-6,636.0E-3,8.308E-3,6.359E-3,4.408E-3,10.26E-3
636.0E-3,47.06E-6,227.0E-6,405.3E-6,583.0E-6,760.5E-6,938.0E-6,638.0E-3,8.420E-3,6.445E-3,4.467E-3,10.40E-3
638.0E-3,48.01E-6,232.0E-6,414.2E-6,595.9E-6,777.4E-6,958.8E-6,640.0E-3,8.533E-3,6.530E-3,4.526E-3,10.53E-3
