dc (V),NM0:d (W=1.00e-06) (A),NM0:d (W=6.00e-06) (A),NM0:d (W=1.10e-05) (A),NM0:d (W=1.60e-05) (A),NM0:d (W=2.10e-05) (A),NM0:d (W=2.60e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.6e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.6e-05))
70.00E-3,41.30E-12,129.1E-12,217.4E-12,305.8E-12,394.2E-12,482.6E-12,72.00E-3,15.18E-9,11.77E-9,8.367E-9,18.59E-9
72.00E-3,44.46E-12,139.1E-12,234.2E-12,329.4E-12,424.6E-12,519.8E-12,74.00E-3,16.27E-9,12.62E-9,8.969E-9,19.93E-9
74.00E-3,47.85E-12,149.7E-12,252.1E-12,354.6E-12,457.1E-12,559.7E-12,76.00E-3,17.45E-9,13.53E-9,9.614E-9,21.36E-9
76.00E-3,51.49E-12,161.1E-12,271.3E-12,381.7E-12,492.0E-12,602.4E-12,78.00E-3,18.71E-9,14.51E-9,10.31E-9,22.91E-9
78.00E-3,55.38E-12,173.3E-12,291.9E-12,410.7E-12,529.4E-12,648.2E-12,80.00E-3,20.06E-9,15.56E-9,11.05E-9,24.56E-9
80.00E-3,59.55E-12,186.4E-12,314.1E-12,441.8E-12,569.6E-12,697.3E-12,82.00E-3,21.51E-9,16.68E-9,11.85E-9,26.35E-9
82.00E-3,64.03E-12,200.5E-12,337.8E-12,475.2E-12,612.6E-12,750.0E-12,84.00E-3,23.07E-9,17.89E-9,12.71E-9,28.26E-9
84.00E-3,68.82E-12,215.6E-12,363.2E-12,510.9E-12,658.7E-12,806.5E-12,86.00E-3,24.75E-9,19.19E-9,13.63E-9,30.31E-9
86.00E-3,73.97E-12,231.7E-12,390.5E-12,549.3E-12,708.2E-12,867.2E-12,88.00E-3,26.54E-9,20.58E-9,14.62E-9,32.50E-9
88.00E-3,79.48E-12,249.1E-12,419.7E-12,590.5E-12,761.3E-12,932.2E-12,90.00E-3,28.47E-9,22.08E-9,15.68E-9,34.86E-9
90.00E-3,85.39E-12,267.7E-12,451.1E-12,634.6E-12,818.3E-12,1.002E-9,92.00E-3,30.53E-9,23.68E-9,16.82E-9,37.39E-9
92.00E-3,91.73E-12,287.6E-12,484.7E-12,682.0E-12,879.3E-12,1.077E-9,94.00E-3,32.75E-9,25.39E-9,18.04E-9,40.11E-9
94.00E-3,98.53E-12,309.0E-12,520.8E-12,732.8E-12,944.8E-12,1.157E-9,96.00E-3,35.13E-9,27.24E-9,19.35E-9,43.02E-9
96.00E-3,105.8E-12,331.9E-12,559.5E-12,787.3E-12,1.015E-9,1.243E-9,98.00E-3,37.67E-9,29.21E-9,20.75E-9,46.14E-9
98.00E-3,113.6E-12,356.5E-12,601.0E-12,845.7E-12,1.090E-9,1.335E-9,100.0E-3,40.41E-9,31.33E-9,22.25E-9,49.48E-9
100.0E-3,122.0E-12,382.8E-12,645.5E-12,908.3E-12,1.171E-9,1.434E-9,102.0E-3,43.34E-9,33.60E-9,23.86E-9,53.07E-9
102.0E-3,131.0E-12,411.1E-12,693.2E-12,975.5E-12,1.258E-9,1.540E-9,104.0E-3,46.48E-9,36.03E-9,25.59E-9,56.92E-9
104.0E-3,140.6E-12,441.4E-12,744.4E-12,1.048E-9,1.351E-9,1.654E-9,106.0E-3,49.84E-9,38.64E-9,27.45E-9,61.04E-9
106.0E-3,150.9E-12,473.9E-12,799.3E-12,1.125E-9,1.451E-9,1.776E-9,108.0E-3,53.45E-9,41.44E-9,29.43E-9,65.46E-9
108.0E-3,162.0E-12,508.8E-12,858.1E-12,1.208E-9,1.557E-9,1.907E-9,110.0E-3,57.32E-9,44.44E-9,31.56E-9,70.20E-9
110.0E-3,173.9E-12,546.2E-12,921.3E-12,1.297E-9,1.672E-9,2.048E-9,112.0E-3,61.47E-9,47.65E-9,33.84E-9,75.28E-9
112.0E-3,186.6E-12,586.2E-12,988.9E-12,1.392E-9,1.795E-9,2.198E-9,114.0E-3,65.91E-9,51.10E-9,36.28E-9,80.73E-9
114.0E-3,200.2E-12,629.2E-12,1.062E-9,1.494E-9,1.927E-9,2.360E-9,116.0E-3,70.67E-9,54.79E-9,38.90E-9,86.56E-9
116.0E-3,214.8E-12,675.2E-12,1.139E-9,1.604E-9,2.068E-9,2.533E-9,118.0E-3,75.77E-9,58.74E-9,41.71E-9,92.81E-9
118.0E-3,230.4E-12,724.6E-12,1.223E-9,1.721E-9,2.220E-9,2.718E-9,120.0E-3,81.24E-9,62.98E-9,44.72E-9,99.50E-9
120.0E-3,247.2E-12,777.5E-12,1.312E-9,1.847E-9,2.382E-9,2.917E-9,122.0E-3,87.10E-9,67.52E-9,47.94E-9,106.7E-9
122.0E-3,265.2E-12,834.3E-12,1.408E-9,1.982E-9,2.556E-9,3.131E-9,124.0E-3,93.37E-9,72.38E-9,51.39E-9,114.4E-9
124.0E-3,284.4E-12,895.1E-12,1.511E-9,2.127E-9,2.743E-9,3.359E-9,126.0E-3,100.1E-9,77.59E-9,55.08E-9,122.6E-9
126.0E-3,305.1E-12,960.3E-12,1.621E-9,2.282E-9,2.943E-9,3.605E-9,128.0E-3,107.3E-9,83.17E-9,59.04E-9,131.4E-9
128.0E-3,327.2E-12,1.030E-9,1.739E-9,2.448E-9,3.158E-9,3.867E-9,130.0E-3,115.0E-9,89.14E-9,63.28E-9,140.9E-9
130.0E-3,350.8E-12,1.105E-9,1.866E-9,2.627E-9,3.388E-9,4.149E-9,132.0E-3,123.3E-9,95.54E-9,67.82E-9,151.0E-9
132.0E-3,376.2E-12,1.185E-9,2.001E-9,2.818E-9,3.634E-9,4.451E-9,134.0E-3,132.1E-9,102.4E-9,72.69E-9,161.8E-9
134.0E-3,403.4E-12,1.271E-9,2.147E-9,3.023E-9,3.899E-9,4.775E-9,136.0E-3,141.6E-9,109.7E-9,77.89E-9,173.4E-9
136.0E-3,432.5E-12,1.363E-9,2.302E-9,3.242E-9,4.182E-9,5.122E-9,138.0E-3,151.7E-9,117.6E-9,83.47E-9,185.8E-9
138.0E-3,463.6E-12,1.462E-9,2.469E-9,3.477E-9,4.485E-9,5.493E-9,140.0E-3,162.6E-9,126.0E-9,89.43E-9,199.2E-9
140.0E-3,497.0E-12,1.568E-9,2.648E-9,3.729E-9,4.810E-9,5.892E-9,142.0E-3,174.2E-9,135.0E-9,95.82E-9,213.4E-9
142.0E-3,532.8E-12,1.681E-9,2.840E-9,3.999E-9,5.159E-9,6.318E-9,144.0E-3,186.6E-9,144.7E-9,102.7E-9,228.6E-9
144.0E-3,571.0E-12,1.802E-9,3.045E-9,4.289E-9,5.532E-9,6.776E-9,146.0E-3,200.0E-9,155.0E-9,110.0E-9,245.0E-9
146.0E-3,612.0E-12,1.932E-9,3.265E-9,4.599E-9,5.932E-9,7.266E-9,148.0E-3,214.2E-9,166.0E-9,117.8E-9,262.4E-9
148.0E-3,655.9E-12,2.072E-9,3.501E-9,4.931E-9,6.361E-9,7.790E-9,150.0E-3,229.5E-9,177.8E-9,126.2E-9,281.1E-9
150.0E-3,702.9E-12,2.221E-9,3.753E-9,5.286E-9,6.820E-9,8.353E-9,152.0E-3,245.8E-9,190.5E-9,135.2E-9,301.1E-9
152.0E-3,753.2E-12,2.380E-9,4.024E-9,5.667E-9,7.311E-9,8.955E-9,154.0E-3,263.3E-9,204.0E-9,144.8E-9,322.5E-9
154.0E-3,807.0E-12,2.551E-9,4.313E-9,6.075E-9,7.838E-9,9.600E-9,156.0E-3,282.0E-9,218.5E-9,155.0E-9,345.5E-9
156.0E-3,864.6E-12,2.735E-9,4.623E-9,6.512E-9,8.402E-9,10.29E-9,158.0E-3,302.0E-9,234.0E-9,166.0E-9,370.0E-9
158.0E-3,926.2E-12,2.931E-9,4.955E-9,6.980E-9,9.006E-9,11.03E-9,160.0E-3,323.4E-9,250.6E-9,177.8E-9,396.2E-9
160.0E-3,992.2E-12,3.141E-9,5.311E-9,7.482E-9,9.652E-9,11.82E-9,162.0E-3,346.3E-9,268.3E-9,190.3E-9,424.2E-9
162.0E-3,1.063E-9,3.365E-9,5.691E-9,8.018E-9,10.34E-9,12.67E-9,164.0E-3,370.8E-9,287.3E-9,203.8E-9,454.2E-9
164.0E-3,1.138E-9,3.606E-9,6.099E-9,8.593E-9,11.09E-9,13.58E-9,166.0E-3,396.9E-9,307.6E-9,218.2E-9,486.3E-9
166.0E-3,1.219E-9,3.863E-9,6.535E-9,9.208E-9,11.88E-9,14.55E-9,168.0E-3,424.9E-9,329.2E-9,233.5E-9,520.6E-9
168.0E-3,1.305E-9,4.139E-9,7.002E-9,9.866E-9,12.73E-9,15.59E-9,170.0E-3,454.9E-9,352.4E-9,250.0E-9,557.3E-9
170.0E-3,1.398E-9,4.434E-9,7.502E-9,10.57E-9,13.64E-9,16.71E-9,172.0E-3,486.9E-9,377.2E-9,267.6E-9,596.6E-9
172.0E-3,1.497E-9,4.750E-9,8.038E-9,11.33E-9,14.61E-9,17.90E-9,174.0E-3,521.1E-9,403.7E-9,286.3E-9,638.5E-9
174.0E-3,1.602E-9,5.088E-9,8.610E-9,12.13E-9,15.66E-9,19.18E-9,176.0E-3,557.7E-9,432.1E-9,306.4E-9,683.4E-9
176.0E-3,1.715E-9,5.449E-9,9.223E-9,13.00E-9,16.77E-9,20.55E-9,178.0E-3,596.8E-9,462.4E-9,327.9E-9,731.3E-9
178.0E-3,1.836E-9,5.836E-9,9.879E-9,13.92E-9,17.97E-9,22.01E-9,180.0E-3,638.6E-9,494.7E-9,350.8E-9,782.5E-9
