dc (V),V1:p (W=3.00e-06) (A),V1:p (W=6.00e-06) (A),V1:p (W=9.00e-06) (A),V1:p (W=1.20e-05) (A),V1:p (W=1.50e-05) (A),V1:p (W=1.80e-05) (A),V1:p (W=2.10e-05) (A),V1:p (W=2.70e-05) (A),V1:p (W=3.00e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.7e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.4e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.8e-05)),dc (V),V1:p (W=2.40e-05) (A)
42.00E-3,559.1E-6,1.119E-3,1.679E-3,2.239E-3,2.799E-3,3.359E-3,3.920E-3,5.040E-3,5.600E-3,44.00E-3,-16.77E-3,-15.10E-3,-13.42E-3,-11.74E-3,-10.06E-3,42.00E-3,4.480E-3
44.00E-3,555.7E-6,1.112E-3,1.669E-3,2.226E-3,2.783E-3,3.339E-3,3.896E-3,5.010E-3,5.567E-3,46.00E-3,-16.76E-3,-15.08E-3,-13.41E-3,-11.73E-3,-10.05E-3,44.00E-3,4.453E-3
46.00E-3,552.4E-6,1.105E-3,1.659E-3,2.212E-3,2.766E-3,3.319E-3,3.873E-3,4.980E-3,5.533E-3,48.00E-3,-16.74E-3,-15.07E-3,-13.39E-3,-11.72E-3,-10.05E-3,46.00E-3,4.426E-3
48.00E-3,549.0E-6,1.098E-3,1.649E-3,2.199E-3,2.749E-3,3.299E-3,3.849E-3,4.949E-3,5.500E-3,50.00E-3,-16.73E-3,-15.05E-3,-13.38E-3,-11.71E-3,-10.04E-3,48.00E-3,4.399E-3
50.00E-3,545.7E-6,1.092E-3,1.639E-3,2.185E-3,2.732E-3,3.279E-3,3.826E-3,4.919E-3,5.466E-3,52.00E-3,-16.71E-3,-15.04E-3,-13.37E-3,-11.70E-3,-10.03E-3,50.00E-3,4.373E-3
52.00E-3,542.3E-6,1.085E-3,1.629E-3,2.172E-3,2.716E-3,3.259E-3,3.802E-3,4.889E-3,5.433E-3,54.00E-3,-16.69E-3,-15.02E-3,-13.35E-3,-11.69E-3,-10.02E-3,52.00E-3,4.346E-3
54.00E-3,539.0E-6,1.078E-3,1.619E-3,2.159E-3,2.699E-3,3.239E-3,3.779E-3,4.859E-3,5.399E-3,56.00E-3,-16.68E-3,-15.01E-3,-13.34E-3,-11.67E-3,-10.01E-3,54.00E-3,4.319E-3
56.00E-3,535.6E-6,1.072E-3,1.609E-3,2.145E-3,2.682E-3,3.219E-3,3.756E-3,4.829E-3,5.366E-3,58.00E-3,-16.66E-3,-14.99E-3,-13.33E-3,-11.66E-3,-9.996E-3,56.00E-3,4.292E-3
58.00E-3,532.3E-6,1.065E-3,1.599E-3,2.132E-3,2.666E-3,3.199E-3,3.732E-3,4.799E-3,5.333E-3,60.00E-3,-16.64E-3,-14.98E-3,-13.31E-3,-11.65E-3,-9.986E-3,58.00E-3,4.266E-3
60.00E-3,529.0E-6,1.058E-3,1.589E-3,2.119E-3,2.649E-3,3.179E-3,3.709E-3,4.769E-3,5.299E-3,62.00E-3,-16.63E-3,-14.96E-3,-13.30E-3,-11.64E-3,-9.976E-3,60.00E-3,4.239E-3
62.00E-3,525.6E-6,1.052E-3,1.579E-3,2.105E-3,2.632E-3,3.159E-3,3.686E-3,4.739E-3,5.266E-3,64.00E-3,-16.61E-3,-14.95E-3,-13.29E-3,-11.63E-3,-9.965E-3,62.00E-3,4.213E-3
64.00E-3,522.3E-6,1.045E-3,1.569E-3,2.092E-3,2.616E-3,3.139E-3,3.663E-3,4.709E-3,5.233E-3,66.00E-3,-16.59E-3,-14.93E-3,-13.27E-3,-11.61E-3,-9.955E-3,64.00E-3,4.186E-3
66.00E-3,519.0E-6,1.038E-3,1.559E-3,2.079E-3,2.599E-3,3.119E-3,3.639E-3,4.680E-3,5.200E-3,68.00E-3,-16.57E-3,-14.92E-3,-13.26E-3,-11.60E-3,-9.944E-3,66.00E-3,4.159E-3
68.00E-3,515.7E-6,1.032E-3,1.549E-3,2.066E-3,2.582E-3,3.099E-3,3.616E-3,4.650E-3,5.167E-3,70.00E-3,-16.56E-3,-14.90E-3,-13.24E-3,-11.59E-3,-9.934E-3,68.00E-3,4.133E-3
70.00E-3,512.4E-6,1.025E-3,1.539E-3,2.052E-3,2.566E-3,3.079E-3,3.593E-3,4.620E-3,5.133E-3,72.00E-3,-16.54E-3,-14.88E-3,-13.23E-3,-11.58E-3,-9.923E-3,70.00E-3,4.106E-3
72.00E-3,509.1E-6,1.019E-3,1.529E-3,2.039E-3,2.549E-3,3.060E-3,3.570E-3,4.590E-3,5.100E-3,74.00E-3,-16.52E-3,-14.87E-3,-13.22E-3,-11.56E-3,-9.912E-3,72.00E-3,4.080E-3
74.00E-3,505.8E-6,1.012E-3,1.519E-3,2.026E-3,2.533E-3,3.040E-3,3.547E-3,4.560E-3,5.067E-3,76.00E-3,-16.50E-3,-14.85E-3,-13.20E-3,-11.55E-3,-9.901E-3,74.00E-3,4.054E-3
76.00E-3,502.5E-6,1.005E-3,1.509E-3,2.013E-3,2.516E-3,3.020E-3,3.524E-3,4.531E-3,5.034E-3,78.00E-3,-16.48E-3,-14.84E-3,-13.19E-3,-11.54E-3,-9.890E-3,76.00E-3,4.027E-3
78.00E-3,499.2E-6,998.8E-6,1.499E-3,2.000E-3,2.500E-3,3.000E-3,3.500E-3,4.501E-3,5.001E-3,80.00E-3,-16.46E-3,-14.82E-3,-13.17E-3,-11.53E-3,-9.879E-3,78.00E-3,4.001E-3
80.00E-3,495.9E-6,992.2E-6,1.489E-3,1.986E-3,2.483E-3,2.980E-3,3.477E-3,4.471E-3,4.968E-3,82.00E-3,-16.45E-3,-14.80E-3,-13.16E-3,-11.51E-3,-9.868E-3,80.00E-3,3.974E-3
82.00E-3,492.6E-6,985.6E-6,1.479E-3,1.973E-3,2.467E-3,2.961E-3,3.454E-3,4.442E-3,4.936E-3,84.00E-3,-16.43E-3,-14.78E-3,-13.14E-3,-11.50E-3,-9.856E-3,82.00E-3,3.948E-3
