dc (V),V1:p (W=3.00e-06) (A),V1:p (W=6.00e-06) (A),V1:p (W=9.00e-06) (A),V1:p (W=1.20e-05) (A),V1:p (W=1.50e-05) (A),V1:p (W=1.80e-05) (A),V1:p (W=2.10e-05) (A),V1:p (W=2.70e-05) (A),V1:p (W=3.00e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.7e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.4e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.8e-05)),dc (V),V1:p (W=2.40e-05) (A)
184.0E-3,331.1E-6,662.3E-6,994.4E-6,1.326E-3,1.658E-3,1.990E-3,2.322E-3,2.986E-3,3.318E-3,186.0E-3,-15.15E-3,-13.63E-3,-12.12E-3,-10.60E-3,-9.088E-3,184.0E-3,2.654E-3
186.0E-3,328.1E-6,656.3E-6,985.3E-6,1.314E-3,1.643E-3,1.972E-3,2.301E-3,2.959E-3,3.288E-3,188.0E-3,-15.12E-3,-13.60E-3,-12.09E-3,-10.58E-3,-9.068E-3,186.0E-3,2.630E-3
188.0E-3,325.1E-6,650.2E-6,976.3E-6,1.302E-3,1.628E-3,1.954E-3,2.280E-3,2.932E-3,3.258E-3,190.0E-3,-15.08E-3,-13.57E-3,-12.07E-3,-10.56E-3,-9.048E-3,188.0E-3,2.606E-3
190.0E-3,322.1E-6,644.2E-6,967.2E-6,1.290E-3,1.613E-3,1.936E-3,2.259E-3,2.904E-3,3.227E-3,192.0E-3,-15.05E-3,-13.54E-3,-12.04E-3,-10.53E-3,-9.028E-3,190.0E-3,2.582E-3
192.0E-3,319.1E-6,638.2E-6,958.2E-6,1.278E-3,1.598E-3,1.918E-3,2.238E-3,2.877E-3,3.197E-3,194.0E-3,-15.02E-3,-13.51E-3,-12.01E-3,-10.51E-3,-9.007E-3,192.0E-3,2.558E-3
194.0E-3,316.1E-6,632.2E-6,949.2E-6,1.266E-3,1.583E-3,1.900E-3,2.217E-3,2.850E-3,3.167E-3,196.0E-3,-14.98E-3,-13.48E-3,-11.98E-3,-10.49E-3,-8.987E-3,194.0E-3,2.534E-3
196.0E-3,313.1E-6,626.2E-6,940.2E-6,1.254E-3,1.568E-3,1.882E-3,2.196E-3,2.823E-3,3.137E-3,198.0E-3,-14.95E-3,-13.45E-3,-11.96E-3,-10.46E-3,-8.966E-3,196.0E-3,2.510E-3
198.0E-3,310.1E-6,620.2E-6,931.3E-6,1.242E-3,1.553E-3,1.864E-3,2.175E-3,2.797E-3,3.107E-3,200.0E-3,-14.91E-3,-13.42E-3,-11.93E-3,-10.44E-3,-8.945E-3,198.0E-3,2.486E-3
200.0E-3,307.2E-6,614.3E-6,922.3E-6,1.230E-3,1.538E-3,1.846E-3,2.154E-3,2.770E-3,3.078E-3,202.0E-3,-14.88E-3,-13.39E-3,-11.90E-3,-10.41E-3,-8.924E-3,200.0E-3,2.462E-3
202.0E-3,304.2E-6,608.4E-6,913.4E-6,1.218E-3,1.523E-3,1.828E-3,2.133E-3,2.743E-3,3.048E-3,204.0E-3,-14.84E-3,-13.36E-3,-11.87E-3,-10.39E-3,-8.902E-3,202.0E-3,2.438E-3
204.0E-3,301.2E-6,602.4E-6,904.5E-6,1.206E-3,1.508E-3,1.810E-3,2.112E-3,2.716E-3,3.018E-3,206.0E-3,-14.80E-3,-13.32E-3,-11.84E-3,-10.36E-3,-8.880E-3,204.0E-3,2.414E-3
206.0E-3,298.3E-6,596.5E-6,895.6E-6,1.195E-3,1.494E-3,1.793E-3,2.092E-3,2.690E-3,2.988E-3,208.0E-3,-14.77E-3,-13.29E-3,-11.81E-3,-10.34E-3,-8.858E-3,206.0E-3,2.391E-3
208.0E-3,295.4E-6,590.6E-6,886.8E-6,1.183E-3,1.479E-3,1.775E-3,2.071E-3,2.663E-3,2.959E-3,210.0E-3,-14.73E-3,-13.26E-3,-11.78E-3,-10.31E-3,-8.836E-3,208.0E-3,2.367E-3
210.0E-3,292.4E-6,584.7E-6,877.9E-6,1.171E-3,1.464E-3,1.757E-3,2.050E-3,2.636E-3,2.929E-3,212.0E-3,-14.69E-3,-13.22E-3,-11.75E-3,-10.28E-3,-8.813E-3,210.0E-3,2.343E-3
212.0E-3,289.5E-6,578.9E-6,869.1E-6,1.159E-3,1.449E-3,1.740E-3,2.030E-3,2.610E-3,2.900E-3,214.0E-3,-14.65E-3,-13.19E-3,-11.72E-3,-10.26E-3,-8.790E-3,212.0E-3,2.320E-3
214.0E-3,286.6E-6,573.0E-6,860.4E-6,1.148E-3,1.435E-3,1.722E-3,2.009E-3,2.584E-3,2.871E-3,216.0E-3,-14.62E-3,-13.15E-3,-11.69E-3,-10.23E-3,-8.767E-3,214.0E-3,2.296E-3
216.0E-3,283.7E-6,567.2E-6,851.6E-6,1.136E-3,1.420E-3,1.705E-3,1.989E-3,2.557E-3,2.842E-3,218.0E-3,-14.58E-3,-13.12E-3,-11.66E-3,-10.20E-3,-8.744E-3,216.0E-3,2.273E-3
218.0E-3,280.8E-6,561.4E-6,842.9E-6,1.124E-3,1.406E-3,1.687E-3,1.968E-3,2.531E-3,2.812E-3,220.0E-3,-14.54E-3,-13.08E-3,-11.63E-3,-10.17E-3,-8.720E-3,218.0E-3,2.250E-3
220.0E-3,277.9E-6,555.6E-6,834.2E-6,1.113E-3,1.391E-3,1.670E-3,1.948E-3,2.505E-3,2.783E-3,222.0E-3,-14.50E-3,-13.05E-3,-11.60E-3,-10.15E-3,-8.696E-3,220.0E-3,2.226E-3
222.0E-3,275.0E-6,549.8E-6,825.5E-6,1.101E-3,1.377E-3,1.652E-3,1.928E-3,2.479E-3,2.754E-3,224.0E-3,-14.46E-3,-13.01E-3,-11.56E-3,-10.12E-3,-8.672E-3,222.0E-3,2.203E-3
224.0E-3,272.1E-6,544.0E-6,816.8E-6,1.090E-3,1.362E-3,1.635E-3,1.907E-3,2.453E-3,2.725E-3,226.0E-3,-14.42E-3,-12.97E-3,-11.53E-3,-10.09E-3,-8.647E-3,224.0E-3,2.180E-3
226.0E-3,269.2E-6,538.3E-6,808.2E-6,1.078E-3,1.348E-3,1.618E-3,1.887E-3,2.427E-3,2.697E-3,228.0E-3,-14.38E-3,-12.94E-3,-11.50E-3,-10.06E-3,-8.622E-3,226.0E-3,2.157E-3
228.0E-3,266.4E-6,532.5E-6,799.5E-6,1.066E-3,1.333E-3,1.600E-3,1.867E-3,2.401E-3,2.668E-3,230.0E-3,-14.33E-3,-12.90E-3,-11.47E-3,-10.03E-3,-8.597E-3,228.0E-3,2.134E-3
230.0E-3,263.5E-6,526.8E-6,791.0E-6,1.055E-3,1.319E-3,1.583E-3,1.847E-3,2.375E-3,2.639E-3,232.0E-3,-14.29E-3,-12.86E-3,-11.43E-3,-10.00E-3,-8.571E-3,230.0E-3,2.111E-3
232.0E-3,260.7E-6,521.1E-6,782.4E-6,1.044E-3,1.305E-3,1.566E-3,1.827E-3,2.349E-3,2.611E-3,234.0E-3,-14.25E-3,-12.82E-3,-11.40E-3,-9.971E-3,-8.546E-3,232.0E-3,2.088E-3
234.0E-3,257.8E-6,515.4E-6,773.9E-6,1.032E-3,1.291E-3,1.549E-3,1.807E-3,2.324E-3,2.582E-3,236.0E-3,-14.20E-3,-12.78E-3,-11.36E-3,-9.941E-3,-8.519E-3,234.0E-3,2.065E-3
236.0E-3,255.0E-6,509.7E-6,765.3E-6,1.021E-3,1.276E-3,1.532E-3,1.787E-3,2.298E-3,2.554E-3,238.0E-3,-14.16E-3,-12.74E-3,-11.33E-3,-9.910E-3,-8.493E-3,236.0E-3,2.043E-3
238.0E-3,252.2E-6,504.1E-6,756.9E-6,1.010E-3,1.262E-3,1.515E-3,1.767E-3,2.273E-3,2.525E-3,240.0E-3,-14.12E-3,-12.70E-3,-11.29E-3,-9.879E-3,-8.466E-3,238.0E-3,2.020E-3
240.0E-3,249.4E-6,498.4E-6,748.4E-6,998.3E-6,1.248E-3,1.498E-3,1.748E-3,2.247E-3,2.497E-3,242.0E-3,-14.07E-3,-12.66E-3,-11.25E-3,-9.847E-3,-8.439E-3,240.0E-3,1.998E-3
242.0E-3,246.6E-6,492.8E-6,740.0E-6,987.0E-6,1.234E-3,1.481E-3,1.728E-3,2.222E-3,2.469E-3,244.0E-3,-14.03E-3,-12.62E-3,-11.22E-3,-9.815E-3,-8.412E-3,242.0E-3,1.975E-3
244.0E-3,243.8E-6,487.2E-6,731.6E-6,975.8E-6,1.220E-3,1.464E-3,1.708E-3,2.197E-3,2.441E-3,246.0E-3,-13.98E-3,-12.58E-3,-11.18E-3,-9.783E-3,-8.384E-3,244.0E-3,1.953E-3
246.0E-3,241.0E-6,481.7E-6,723.2E-6,964.6E-6,1.206E-3,1.447E-3,1.689E-3,2.172E-3,2.413E-3,248.0E-3,-13.93E-3,-12.54E-3,-11.14E-3,-9.750E-3,-8.356E-3,246.0E-3,1.930E-3
248.0E-3,238.2E-6,476.1E-6,714.8E-6,953.5E-6,1.192E-3,1.431E-3,1.669E-3,2.147E-3,2.385E-3,250.0E-3,-13.88E-3,-12.50E-3,-11.11E-3,-9.717E-3,-8.327E-3,248.0E-3,1.908E-3
250.0E-3,235.5E-6,470.6E-6,706.5E-6,942.4E-6,1.178E-3,1.414E-3,1.650E-3,2.122E-3,2.357E-3,252.0E-3,-13.84E-3,-12.45E-3,-11.07E-3,-9.683E-3,-8.298E-3,250.0E-3,1.886E-3
252.0E-3,232.7E-6,465.0E-6,698.2E-6,931.4E-6,1.164E-3,1.397E-3,1.631E-3,2.097E-3,2.330E-3,254.0E-3,-13.79E-3,-12.41E-3,-11.03E-3,-9.649E-3,-8.269E-3,252.0E-3,1.864E-3
254.0E-3,230.0E-6,459.5E-6,690.0E-6,920.3E-6,1.151E-3,1.381E-3,1.611E-3,2.072E-3,2.302E-3,256.0E-3,-13.74E-3,-12.36E-3,-10.99E-3,-9.614E-3,-8.239E-3,254.0E-3,1.842E-3
256.0E-3,227.3E-6,454.1E-6,681.7E-6,909.4E-6,1.137E-3,1.364E-3,1.592E-3,2.047E-3,2.275E-3,258.0E-3,-13.69E-3,-12.32E-3,-10.95E-3,-9.579E-3,-8.210E-3,256.0E-3,1.820E-3
258.0E-3,224.5E-6,448.6E-6,673.5E-6,898.4E-6,1.123E-3,1.348E-3,1.573E-3,2.022E-3,2.247E-3,260.0E-3,-13.64E-3,-12.27E-3,-10.91E-3,-9.544E-3,-8.179E-3,258.0E-3,1.798E-3
260.0E-3,221.8E-6,443.2E-6,665.4E-6,887.5E-6,1.110E-3,1.332E-3,1.554E-3,1.998E-3,2.220E-3,262.0E-3,-13.59E-3,-12.23E-3,-10.87E-3,-9.508E-3,-8.148E-3,260.0E-3,1.776E-3
262.0E-3,219.1E-6,437.7E-6,657.2E-6,876.7E-6,1.096E-3,1.315E-3,1.535E-3,1.973E-3,2.193E-3,264.0E-3,-13.54E-3,-12.18E-3,-10.83E-3,-9.472E-3,-8.117E-3,262.0E-3,1.754E-3
264.0E-3,216.4E-6,432.3E-6,649.1E-6,865.8E-6,1.083E-3,1.299E-3,1.516E-3,1.949E-3,2.166E-3,266.0E-3,-13.48E-3,-12.13E-3,-10.78E-3,-9.435E-3,-8.086E-3,264.0E-3,1.732E-3
266.0E-3,213.7E-6,427.0E-6,641.1E-6,855.1E-6,1.069E-3,1.283E-3,1.497E-3,1.925E-3,2.139E-3,268.0E-3,-13.43E-3,-12.09E-3,-10.74E-3,-9.398E-3,-8.054E-3,266.0E-3,1.711E-3
268.0E-3,211.1E-6,421.6E-6,633.0E-6,844.3E-6,1.056E-3,1.267E-3,1.478E-3,1.901E-3,2.112E-3,270.0E-3,-13.38E-3,-12.04E-3,-10.70E-3,-9.360E-3,-8.021E-3,268.0E-3,1.689E-3
270.0E-3,208.4E-6,416.3E-6,625.0E-6,833.6E-6,1.042E-3,1.251E-3,1.459E-3,1.877E-3,2.085E-3,272.0E-3,-13.32E-3,-11.99E-3,-10.65E-3,-9.322E-3,-7.989E-3,270.0E-3,1.668E-3
272.0E-3,205.8E-6,411.0E-6,617.0E-6,823.0E-6,1.029E-3,1.235E-3,1.441E-3,1.853E-3,2.058E-3,274.0E-3,-13.27E-3,-11.94E-3,-10.61E-3,-9.283E-3,-7.955E-3,272.0E-3,1.647E-3
274.0E-3,203.1E-6,405.7E-6,609.1E-6,812.4E-6,1.016E-3,1.219E-3,1.422E-3,1.829E-3,2.032E-3,276.0E-3,-13.21E-3,-11.89E-3,-10.57E-3,-9.244E-3,-7.922E-3,274.0E-3,1.625E-3
276.0E-3,200.5E-6,400.4E-6,601.2E-6,801.8E-6,1.002E-3,1.203E-3,1.404E-3,1.805E-3,2.006E-3,278.0E-3,-13.15E-3,-11.84E-3,-10.52E-3,-9.204E-3,-7.888E-3,276.0E-3,1.604E-3
278.0E-3,197.9E-6,395.2E-6,593.3E-6,791.3E-6,989.3E-6,1.187E-3,1.385E-3,1.781E-3,1.979E-3,280.0E-3,-13.10E-3,-11.78E-3,-10.47E-3,-9.164E-3,-7.853E-3,278.0E-3,1.583E-3
280.0E-3,195.3E-6,389.9E-6,585.4E-6,780.9E-6,976.3E-6,1.172E-3,1.367E-3,1.758E-3,1.953E-3,282.0E-3,-13.04E-3,-11.73E-3,-10.43E-3,-9.123E-3,-7.818E-3,280.0E-3,1.562E-3
282.0E-3,192.7E-6,384.7E-6,577.6E-6,770.5E-6,963.2E-6,1.156E-3,1.349E-3,1.734E-3,1.927E-3,284.0E-3,-12.98E-3,-11.68E-3,-10.38E-3,-9.082E-3,-7.783E-3,282.0E-3,1.541E-3
284.0E-3,190.1E-6,379.6E-6,569.9E-6,760.1E-6,950.3E-6,1.140E-3,1.331E-3,1.711E-3,1.901E-3,286.0E-3,-12.92E-3,-11.63E-3,-10.33E-3,-9.040E-3,-7.747E-3,284.0E-3,1.521E-3
286.0E-3,187.5E-6,374.4E-6,562.1E-6,749.8E-6,937.4E-6,1.125E-3,1.313E-3,1.688E-3,1.875E-3,288.0E-3,-12.86E-3,-11.57E-3,-10.28E-3,-8.998E-3,-7.711E-3,286.0E-3,1.500E-3
288.0E-3,185.0E-6,369.3E-6,554.4E-6,739.5E-6,924.5E-6,1.110E-3,1.295E-3,1.664E-3,1.849E-3,290.0E-3,-12.80E-3,-11.52E-3,-10.24E-3,-8.955E-3,-7.674E-3,288.0E-3,1.479E-3
290.0E-3,182.5E-6,364.2E-6,546.8E-6,729.3E-6,911.7E-6,1.094E-3,1.277E-3,1.641E-3,1.824E-3,292.0E-3,-12.73E-3,-11.46E-3,-10.19E-3,-8.911E-3,-7.637E-3,290.0E-3,1.459E-3
292.0E-3,179.9E-6,359.1E-6,539.1E-6,719.1E-6,899.0E-6,1.079E-3,1.259E-3,1.619E-3,1.798E-3,294.0E-3,-12.67E-3,-11.40E-3,-10.14E-3,-8.867E-3,-7.599E-3,292.0E-3,1.439E-3
294.0E-3,177.4E-6,354.1E-6,531.5E-6,709.0E-6,886.3E-6,1.064E-3,1.241E-3,1.596E-3,1.773E-3,296.0E-3,-12.61E-3,-11.35E-3,-10.08E-3,-8.822E-3,-7.561E-3,294.0E-3,1.418E-3
296.0E-3,174.9E-6,349.0E-6,524.0E-6,698.9E-6,873.7E-6,1.049E-3,1.223E-3,1.573E-3,1.748E-3,298.0E-3,-12.54E-3,-11.29E-3,-10.03E-3,-8.777E-3,-7.522E-3,296.0E-3,1.398E-3
298.0E-3,172.4E-6,344.0E-6,516.5E-6,688.9E-6,861.2E-6,1.034E-3,1.206E-3,1.550E-3,1.723E-3,300.0E-3,-12.48E-3,-11.23E-3,-9.980E-3,-8.731E-3,-7.483E-3,298.0E-3,1.378E-3
300.0E-3,169.9E-6,339.1E-6,509.0E-6,678.9E-6,848.7E-6,1.019E-3,1.188E-3,1.528E-3,1.698E-3,302.0E-3,-12.41E-3,-11.17E-3,-9.927E-3,-8.685E-3,-7.443E-3,300.0E-3,1.358E-3
302.0E-3,167.5E-6,334.1E-6,501.6E-6,669.0E-6,836.3E-6,1.004E-3,1.171E-3,1.506E-3,1.673E-3,304.0E-3,-12.34E-3,-11.11E-3,-9.874E-3,-8.638E-3,-7.402E-3,302.0E-3,1.338E-3
304.0E-3,165.0E-6,329.2E-6,494.2E-6,659.1E-6,824.0E-6,988.9E-6,1.154E-3,1.483E-3,1.648E-3,306.0E-3,-12.28E-3,-11.05E-3,-9.819E-3,-8.590E-3,-7.362E-3,304.0E-3,1.319E-3
306.0E-3,162.6E-6,324.3E-6,486.8E-6,649.3E-6,811.7E-6,974.2E-6,1.137E-3,1.461E-3,1.624E-3,308.0E-3,-12.21E-3,-10.99E-3,-9.764E-3,-8.542E-3,-7.320E-3,306.0E-3,1.299E-3
308.0E-3,160.1E-6,319.4E-6,479.5E-6,639.6E-6,799.5E-6,959.5E-6,1.119E-3,1.439E-3,1.599E-3,310.0E-3,-12.14E-3,-10.92E-3,-9.708E-3,-8.493E-3,-7.279E-3,308.0E-3,1.279E-3
310.0E-3,157.7E-6,314.6E-6,472.3E-6,629.9E-6,787.4E-6,945.0E-6,1.102E-3,1.418E-3,1.575E-3,312.0E-3,-12.07E-3,-10.86E-3,-9.652E-3,-8.444E-3,-7.236E-3,310.0E-3,1.260E-3
312.0E-3,155.3E-6,309.8E-6,465.0E-6,620.2E-6,775.4E-6,930.5E-6,1.086E-3,1.396E-3,1.551E-3,314.0E-3,-12.00E-3,-10.80E-3,-9.595E-3,-8.394E-3,-7.193E-3,312.0E-3,1.241E-3
314.0E-3,152.9E-6,305.0E-6,457.9E-6,610.6E-6,763.4E-6,916.1E-6,1.069E-3,1.374E-3,1.527E-3,316.0E-3,-11.92E-3,-10.73E-3,-9.537E-3,-8.343E-3,-7.150E-3,314.0E-3,1.222E-3
316.0E-3,150.6E-6,300.2E-6,450.7E-6,601.1E-6,751.5E-6,901.8E-6,1.052E-3,1.353E-3,1.503E-3,318.0E-3,-11.85E-3,-10.66E-3,-9.478E-3,-8.292E-3,-7.106E-3,316.0E-3,1.202E-3
318.0E-3,148.2E-6,295.5E-6,443.6E-6,591.6E-6,739.6E-6,887.6E-6,1.036E-3,1.331E-3,1.479E-3,320.0E-3,-11.78E-3,-10.60E-3,-9.418E-3,-8.240E-3,-7.061E-3,318.0E-3,1.183E-3
320.0E-3,145.9E-6,290.8E-6,436.6E-6,582.2E-6,727.9E-6,873.5E-6,1.019E-3,1.310E-3,1.456E-3,322.0E-3,-11.70E-3,-10.53E-3,-9.358E-3,-8.187E-3,-7.016E-3,320.0E-3,1.165E-3
322.0E-3,143.6E-6,286.2E-6,429.6E-6,572.9E-6,716.2E-6,859.4E-6,1.003E-3,1.289E-3,1.432E-3,324.0E-3,-11.62E-3,-10.46E-3,-9.297E-3,-8.134E-3,-6.970E-3,322.0E-3,1.146E-3
324.0E-3,141.2E-6,281.5E-6,422.6E-6,563.6E-6,704.6E-6,845.5E-6,986.4E-6,1.268E-3,1.409E-3,326.0E-3,-11.55E-3,-10.39E-3,-9.236E-3,-8.080E-3,-6.924E-3,324.0E-3,1.127E-3
326.0E-3,138.9E-6,276.9E-6,415.7E-6,554.4E-6,693.0E-6,831.6E-6,970.3E-6,1.247E-3,1.386E-3,328.0E-3,-11.47E-3,-10.32E-3,-9.173E-3,-8.025E-3,-6.877E-3,326.0E-3,1.109E-3
328.0E-3,136.7E-6,272.4E-6,408.8E-6,545.2E-6,681.6E-6,817.9E-6,954.2E-6,1.227E-3,1.363E-3,330.0E-3,-11.39E-3,-10.25E-3,-9.110E-3,-7.970E-3,-6.830E-3,328.0E-3,1.091E-3
330.0E-3,134.4E-6,267.8E-6,402.0E-6,536.1E-6,670.2E-6,804.2E-6,938.3E-6,1.206E-3,1.340E-3,332.0E-3,-11.31E-3,-10.18E-3,-9.046E-3,-7.914E-3,-6.782E-3,330.0E-3,1.072E-3
332.0E-3,132.2E-6,263.3E-6,395.2E-6,527.1E-6,658.9E-6,790.7E-6,922.4E-6,1.186E-3,1.318E-3,334.0E-3,-11.23E-3,-10.10E-3,-8.981E-3,-7.857E-3,-6.733E-3,332.0E-3,1.054E-3
334.0E-3,129.9E-6,258.9E-6,388.5E-6,518.1E-6,647.7E-6,777.2E-6,906.7E-6,1.166E-3,1.295E-3,336.0E-3,-11.15E-3,-10.03E-3,-8.915E-3,-7.800E-3,-6.684E-3,334.0E-3,1.036E-3
336.0E-3,127.7E-6,254.4E-6,381.8E-6,509.2E-6,636.5E-6,763.8E-6,891.1E-6,1.146E-3,1.273E-3,338.0E-3,-11.06E-3,-9.956E-3,-8.849E-3,-7.742E-3,-6.634E-3,336.0E-3,1.018E-3
338.0E-3,125.5E-6,250.0E-6,375.2E-6,500.4E-6,625.5E-6,750.6E-6,875.6E-6,1.126E-3,1.251E-3,340.0E-3,-10.98E-3,-9.881E-3,-8.782E-3,-7.683E-3,-6.584E-3,338.0E-3,1.001E-3
340.0E-3,123.3E-6,245.6E-6,368.7E-6,491.6E-6,614.5E-6,737.4E-6,860.3E-6,1.106E-3,1.229E-3,342.0E-3,-10.89E-3,-9.804E-3,-8.714E-3,-7.623E-3,-6.533E-3,340.0E-3,983.2E-6
342.0E-3,121.2E-6,241.3E-6,362.1E-6,482.9E-6,603.6E-6,724.3E-6,845.0E-6,1.086E-3,1.207E-3,344.0E-3,-10.81E-3,-9.727E-3,-8.645E-3,-7.563E-3,-6.481E-3,342.0E-3,965.7E-6
344.0E-3,119.0E-6,237.0E-6,355.7E-6,474.3E-6,592.8E-6,711.4E-6,829.9E-6,1.067E-3,1.185E-3,346.0E-3,-10.72E-3,-9.649E-3,-8.576E-3,-7.502E-3,-6.429E-3,344.0E-3,948.4E-6
346.0E-3,116.9E-6,232.7E-6,349.2E-6,465.7E-6,582.1E-6,698.5E-6,814.9E-6,1.048E-3,1.164E-3,348.0E-3,-10.63E-3,-9.570E-3,-8.505E-3,-7.441E-3,-6.376E-3,346.0E-3,931.3E-6
348.0E-3,114.8E-6,228.5E-6,342.9E-6,457.2E-6,571.5E-6,685.8E-6,800.0E-6,1.029E-3,1.143E-3,350.0E-3,-10.55E-3,-9.490E-3,-8.434E-3,-7.379E-3,-6.323E-3,348.0E-3,914.3E-6
350.0E-3,112.7E-6,224.3E-6,336.6E-6,448.8E-6,560.9E-6,673.1E-6,785.3E-6,1.010E-3,1.122E-3,352.0E-3,-10.46E-3,-9.409E-3,-8.362E-3,-7.316E-3,-6.269E-3,350.0E-3,897.4E-6
352.0E-3,110.6E-6,220.1E-6,330.3E-6,440.4E-6,550.5E-6,660.6E-6,770.6E-6,990.7E-6,1.101E-3,354.0E-3,-10.36E-3,-9.327E-3,-8.289E-3,-7.252E-3,-6.215E-3,352.0E-3,880.7E-6
354.0E-3,108.5E-6,216.0E-6,324.1E-6,432.1E-6,540.2E-6,648.1E-6,756.1E-6,972.1E-6,1.080E-3,356.0E-3,-10.27E-3,-9.244E-3,-8.216E-3,-7.188E-3,-6.159E-3,354.0E-3,864.1E-6
356.0E-3,106.5E-6,211.9E-6,317.9E-6,423.9E-6,529.9E-6,635.8E-6,741.8E-6,953.6E-6,1.060E-3,358.0E-3,-10.18E-3,-9.161E-3,-8.142E-3,-7.123E-3,-6.104E-3,356.0E-3,847.7E-6
358.0E-3,104.5E-6,207.8E-6,311.9E-6,415.8E-6,519.7E-6,623.6E-6,727.5E-6,935.3E-6,1.039E-3,360.0E-3,-10.09E-3,-9.076E-3,-8.067E-3,-7.057E-3,-6.048E-3,358.0E-3,831.4E-6
360.0E-3,102.5E-6,203.8E-6,305.8E-6,407.7E-6,509.6E-6,611.5E-6,713.4E-6,917.1E-6,1.019E-3,362.0E-3,-9.991E-3,-8.991E-3,-7.991E-3,-6.991E-3,-5.991E-3,360.0E-3,815.3E-6
362.0E-3,100.5E-6,199.8E-6,299.8E-6,399.8E-6,499.7E-6,599.5E-6,699.4E-6,899.1E-6,999.0E-6,364.0E-3,-9.895E-3,-8.905E-3,-7.914E-3,-6.924E-3,-5.933E-3,362.0E-3,799.3E-6
364.0E-3,98.50E-6,195.9E-6,293.9E-6,391.9E-6,489.8E-6,587.7E-6,685.6E-6,881.3E-6,979.2E-6,366.0E-3,-9.798E-3,-8.818E-3,-7.837E-3,-6.856E-3,-5.875E-3,364.0E-3,783.4E-6
366.0E-3,96.55E-6,192.0E-6,288.1E-6,384.0E-6,480.0E-6,575.9E-6,671.9E-6,863.7E-6,959.6E-6,368.0E-3,-9.701E-3,-8.730E-3,-7.759E-3,-6.788E-3,-5.817E-3,366.0E-3,767.8E-6
368.0E-3,94.62E-6,188.1E-6,282.2E-6,376.3E-6,470.3E-6,564.3E-6,658.3E-6,846.2E-6,940.2E-6,370.0E-3,-9.602E-3,-8.641E-3,-7.680E-3,-6.719E-3,-5.757E-3,368.0E-3,752.3E-6
370.0E-3,92.71E-6,184.3E-6,276.5E-6,368.6E-6,460.7E-6,552.8E-6,644.8E-6,828.9E-6,921.0E-6,372.0E-3,-9.502E-3,-8.551E-3,-7.600E-3,-6.649E-3,-5.698E-3,370.0E-3,736.9E-6
372.0E-3,90.81E-6,180.5E-6,270.8E-6,361.0E-6,451.2E-6,541.4E-6,631.5E-6,811.8E-6,902.0E-6,374.0E-3,-9.402E-3,-8.461E-3,-7.520E-3,-6.579E-3,-5.638E-3,372.0E-3,721.7E-6
374.0E-3,88.94E-6,176.8E-6,265.2E-6,353.5E-6,441.8E-6,530.1E-6,618.4E-6,794.9E-6,883.2E-6,376.0E-3,-9.300E-3,-8.370E-3,-7.439E-3,-6.508E-3,-5.577E-3,374.0E-3,706.7E-6
376.0E-3,87.09E-6,173.1E-6,259.6E-6,346.1E-6,432.5E-6,519.0E-6,605.4E-6,778.2E-6,864.6E-6,378.0E-3,-9.198E-3,-8.278E-3,-7.357E-3,-6.436E-3,-5.515E-3,376.0E-3,691.8E-6
378.0E-3,85.26E-6,169.4E-6,254.1E-6,338.7E-6,423.3E-6,507.9E-6,592.5E-6,761.6E-6,846.2E-6,380.0E-3,-9.095E-3,-8.185E-3,-7.274E-3,-6.364E-3,-5.454E-3,378.0E-3,677.1E-6
380.0E-3,83.45E-6,165.8E-6,248.7E-6,331.5E-6,414.2E-6,497.0E-6,579.8E-6,745.3E-6,828.0E-6,382.0E-3,-8.991E-3,-8.091E-3,-7.191E-3,-6.291E-3,-5.391E-3,380.0E-3,662.5E-6
382.0E-3,81.66E-6,162.2E-6,243.3E-6,324.3E-6,405.3E-6,486.2E-6,567.2E-6,729.1E-6,810.0E-6,384.0E-3,-8.886E-3,-7.997E-3,-7.107E-3,-6.218E-3,-5.329E-3,382.0E-3,648.1E-6
384.0E-3,79.89E-6,158.7E-6,238.0E-6,317.2E-6,396.4E-6,475.6E-6,554.7E-6,713.1E-6,792.2E-6,386.0E-3,-8.781E-3,-7.902E-3,-7.023E-3,-6.144E-3,-5.265E-3,384.0E-3,633.9E-6
386.0E-3,78.14E-6,155.2E-6,232.7E-6,310.2E-6,387.6E-6,465.0E-6,542.5E-6,697.3E-6,774.7E-6,388.0E-3,-8.674E-3,-7.806E-3,-6.938E-3,-6.070E-3,-5.201E-3,386.0E-3,619.9E-6
388.0E-3,76.41E-6,151.7E-6,227.5E-6,303.2E-6,378.9E-6,454.6E-6,530.3E-6,681.7E-6,757.3E-6,390.0E-3,-8.567E-3,-7.710E-3,-6.852E-3,-5.995E-3,-5.137E-3,388.0E-3,606.0E-6
390.0E-3,74.70E-6,148.3E-6,222.4E-6,296.4E-6,370.4E-6,444.4E-6,518.3E-6,666.2E-6,740.2E-6,392.0E-3,-8.459E-3,-7.612E-3,-6.766E-3,-5.919E-3,-5.073E-3,390.0E-3,592.3E-6
