dc (V),NM0:d (L=9.00e-08) (A),NM0:d (L=1.90e-07) (A),NM0:d (L=2.40e-07) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "L" 9e-08)),deriv(value(getData("/NM0/D" ?result "dc") "L" 2.4e-07)),deriv(value(getData("/NM0/D" ?result "dc") "L" 1.4e-07)),dc (V),NM0:d (L=1.40e-07) (A)
86.00E-3,45.93E-12,64.45E-12,73.96E-12,88.00E-3,1.712E-9,2.776E-9,2.049E-9,86.00E-3,54.56E-12
88.00E-3,49.36E-12,69.29E-12,79.52E-12,90.00E-3,1.836E-9,2.979E-9,2.198E-9,88.00E-3,58.66E-12
90.00E-3,53.03E-12,74.49E-12,85.48E-12,92.00E-3,1.969E-9,3.196E-9,2.359E-9,90.00E-3,63.05E-12
92.00E-3,56.97E-12,80.06E-12,91.87E-12,94.00E-3,2.111E-9,3.429E-9,2.531E-9,92.00E-3,67.77E-12
94.00E-3,61.19E-12,86.04E-12,98.73E-12,96.00E-3,2.264E-9,3.680E-9,2.716E-9,94.00E-3,72.83E-12
96.00E-3,65.72E-12,92.46E-12,106.1E-12,98.00E-3,2.428E-9,3.948E-9,2.914E-9,96.00E-3,78.26E-12
98.00E-3,70.57E-12,99.34E-12,114.0E-12,100.0E-3,2.603E-9,4.236E-9,3.126E-9,98.00E-3,84.09E-12
100.0E-3,75.78E-12,106.7E-12,122.5E-12,102.0E-3,2.792E-9,4.544E-9,3.354E-9,100.0E-3,90.34E-12
102.0E-3,81.36E-12,114.7E-12,131.5E-12,104.0E-3,2.993E-9,4.875E-9,3.598E-9,102.0E-3,97.05E-12
104.0E-3,87.35E-12,123.2E-12,141.3E-12,106.0E-3,3.210E-9,5.230E-9,3.860E-9,104.0E-3,104.2E-12
106.0E-3,93.77E-12,132.3E-12,151.8E-12,108.0E-3,3.441E-9,5.610E-9,4.141E-9,106.0E-3,112.0E-12
108.0E-3,100.7E-12,142.1E-12,163.0E-12,110.0E-3,3.690E-9,6.018E-9,4.442E-9,108.0E-3,120.2E-12
110.0E-3,108.0E-12,152.6E-12,175.0E-12,112.0E-3,3.956E-9,6.456E-9,4.765E-9,110.0E-3,129.1E-12
112.0E-3,115.9E-12,163.8E-12,187.9E-12,114.0E-3,4.241E-9,6.924E-9,5.112E-9,112.0E-3,138.7E-12
114.0E-3,124.4E-12,175.9E-12,201.8E-12,116.0E-3,4.547E-9,7.427E-9,5.483E-9,114.0E-3,148.9E-12
116.0E-3,133.5E-12,188.9E-12,216.6E-12,118.0E-3,4.874E-9,7.965E-9,5.881E-9,116.0E-3,159.9E-12
118.0E-3,143.3E-12,202.8E-12,232.6E-12,120.0E-3,5.225E-9,8.542E-9,6.308E-9,118.0E-3,171.6E-12
120.0E-3,153.7E-12,217.7E-12,249.6E-12,122.0E-3,5.601E-9,9.161E-9,6.765E-9,120.0E-3,184.2E-12
122.0E-3,164.9E-12,233.7E-12,268.0E-12,124.0E-3,6.003E-9,9.823E-9,7.255E-9,122.0E-3,197.8E-12
124.0E-3,176.9E-12,250.8E-12,287.6E-12,126.0E-3,6.434E-9,10.53E-9,7.780E-9,124.0E-3,212.3E-12
126.0E-3,189.8E-12,269.2E-12,308.7E-12,128.0E-3,6.896E-9,11.29E-9,8.343E-9,126.0E-3,227.8E-12
128.0E-3,203.6E-12,288.9E-12,331.3E-12,130.0E-3,7.391E-9,12.11E-9,8.946E-9,128.0E-3,244.5E-12
130.0E-3,218.4E-12,310.1E-12,355.5E-12,132.0E-3,7.920E-9,12.98E-9,9.592E-9,130.0E-3,262.4E-12
132.0E-3,234.2E-12,332.7E-12,381.4E-12,134.0E-3,8.488E-9,13.92E-9,10.28E-9,132.0E-3,281.6E-12
134.0E-3,251.2E-12,357.0E-12,409.3E-12,136.0E-3,9.095E-9,14.92E-9,11.03E-9,134.0E-3,302.2E-12
136.0E-3,269.4E-12,383.1E-12,439.1E-12,138.0E-3,9.745E-9,15.99E-9,11.82E-9,136.0E-3,324.2E-12
138.0E-3,288.9E-12,411.0E-12,471.1E-12,140.0E-3,10.44E-9,17.14E-9,12.67E-9,138.0E-3,347.9E-12
140.0E-3,309.7E-12,441.0E-12,505.4E-12,142.0E-3,11.19E-9,18.37E-9,13.58E-9,140.0E-3,373.2E-12
142.0E-3,332.1E-12,473.1E-12,542.1E-12,144.0E-3,11.98E-9,19.68E-9,14.56E-9,142.0E-3,400.4E-12
144.0E-3,356.1E-12,507.5E-12,581.5E-12,146.0E-3,12.84E-9,21.09E-9,15.60E-9,144.0E-3,429.5E-12
146.0E-3,381.8E-12,544.3E-12,623.7E-12,148.0E-3,13.75E-9,22.60E-9,16.72E-9,146.0E-3,460.7E-12
148.0E-3,409.3E-12,583.8E-12,668.9E-12,150.0E-3,14.73E-9,24.21E-9,17.92E-9,148.0E-3,494.1E-12
150.0E-3,438.7E-12,626.2E-12,717.3E-12,152.0E-3,15.78E-9,25.94E-9,19.20E-9,150.0E-3,530.0E-12
152.0E-3,470.3E-12,671.5E-12,769.2E-12,154.0E-3,16.90E-9,27.79E-9,20.58E-9,152.0E-3,568.4E-12
154.0E-3,504.1E-12,720.1E-12,824.7E-12,156.0E-3,18.10E-9,29.77E-9,22.05E-9,154.0E-3,609.5E-12
156.0E-3,540.3E-12,772.2E-12,884.3E-12,158.0E-3,19.38E-9,31.88E-9,23.62E-9,156.0E-3,653.6E-12
158.0E-3,579.0E-12,828.0E-12,948.0E-12,160.0E-3,20.75E-9,34.15E-9,25.30E-9,158.0E-3,700.9E-12
160.0E-3,620.5E-12,887.7E-12,1.016E-9,162.0E-3,22.22E-9,36.57E-9,27.11E-9,160.0E-3,751.5E-12
162.0E-3,665.0E-12,951.7E-12,1.089E-9,164.0E-3,23.79E-9,39.15E-9,29.03E-9,162.0E-3,805.7E-12
164.0E-3,712.6E-12,1.020E-9,1.168E-9,166.0E-3,25.47E-9,41.92E-9,31.10E-9,164.0E-3,863.7E-12
166.0E-3,763.5E-12,1.094E-9,1.252E-9,168.0E-3,27.26E-9,44.88E-9,33.30E-9,166.0E-3,925.9E-12
168.0E-3,818.0E-12,1.172E-9,1.341E-9,170.0E-3,29.18E-9,48.05E-9,35.66E-9,168.0E-3,992.5E-12
170.0E-3,876.4E-12,1.256E-9,1.437E-9,172.0E-3,31.24E-9,51.43E-9,38.19E-9,170.0E-3,1.064E-9
172.0E-3,938.9E-12,1.346E-9,1.540E-9,174.0E-3,33.43E-9,55.04E-9,40.89E-9,172.0E-3,1.140E-9
174.0E-3,1.006E-9,1.443E-9,1.650E-9,176.0E-3,35.78E-9,58.90E-9,43.78E-9,174.0E-3,1.222E-9
176.0E-3,1.077E-9,1.546E-9,1.768E-9,178.0E-3,38.29E-9,63.03E-9,46.86E-9,176.0E-3,1.310E-9
