dc (V),NM0:d (L=9.00e-08) (A),NM0:d (L=1.90e-07) (A),NM0:d (L=2.40e-07) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "L" 9e-08)),deriv(value(getData("/NM0/D" ?result "dc") "L" 2.4e-07)),deriv(value(getData("/NM0/D" ?result "dc") "L" 1.4e-07)),dc (V),NM0:d (L=1.40e-07) (A)
368.0E-3,439.8E-9,579.2E-9,621.6E-9,370.0E-3,11.75E-6,15.65E-6,13.69E-6,368.0E-3,522.5E-9
370.0E-3,463.3E-9,609.0E-9,652.9E-9,372.0E-3,12.31E-6,16.34E-6,14.32E-6,370.0E-3,549.8E-9
372.0E-3,487.9E-9,640.0E-9,685.6E-9,374.0E-3,12.88E-6,17.06E-6,14.98E-6,372.0E-3,578.5E-9
374.0E-3,513.6E-9,672.5E-9,719.7E-9,376.0E-3,13.48E-6,17.80E-6,15.66E-6,374.0E-3,608.4E-9
376.0E-3,540.6E-9,706.4E-9,755.3E-9,378.0E-3,14.10E-6,18.57E-6,16.36E-6,376.0E-3,639.7E-9
378.0E-3,568.8E-9,741.8E-9,792.5E-9,380.0E-3,14.75E-6,19.37E-6,17.10E-6,378.0E-3,672.5E-9
380.0E-3,598.3E-9,778.8E-9,831.2E-9,382.0E-3,15.42E-6,20.20E-6,17.86E-6,380.0E-3,706.7E-9
382.0E-3,629.1E-9,817.3E-9,871.6E-9,384.0E-3,16.11E-6,21.05E-6,18.65E-6,382.0E-3,742.4E-9
384.0E-3,661.3E-9,857.6E-9,913.7E-9,386.0E-3,16.83E-6,21.94E-6,19.47E-6,384.0E-3,779.7E-9
386.0E-3,695.0E-9,899.5E-9,957.6E-9,388.0E-3,17.58E-6,22.86E-6,20.31E-6,386.0E-3,818.6E-9
388.0E-3,730.2E-9,943.3E-9,1.003E-6,390.0E-3,18.35E-6,23.80E-6,21.19E-6,388.0E-3,859.2E-9
390.0E-3,766.9E-9,988.9E-9,1.051E-6,392.0E-3,19.16E-6,24.79E-6,22.10E-6,390.0E-3,901.6E-9
392.0E-3,805.2E-9,1.036E-6,1.101E-6,394.0E-3,19.99E-6,25.80E-6,23.04E-6,392.0E-3,945.8E-9
394.0E-3,845.2E-9,1.086E-6,1.152E-6,396.0E-3,20.85E-6,26.85E-6,24.02E-6,394.0E-3,991.9E-9
396.0E-3,886.9E-9,1.137E-6,1.206E-6,398.0E-3,21.74E-6,27.93E-6,25.03E-6,396.0E-3,1.040E-6
398.0E-3,930.3E-9,1.191E-6,1.262E-6,400.0E-3,22.66E-6,29.05E-6,26.08E-6,398.0E-3,1.090E-6
400.0E-3,975.7E-9,1.247E-6,1.320E-6,402.0E-3,23.62E-6,30.21E-6,27.16E-6,400.0E-3,1.142E-6
402.0E-3,1.023E-6,1.305E-6,1.380E-6,404.0E-3,24.61E-6,31.40E-6,28.28E-6,402.0E-3,1.196E-6
404.0E-3,1.072E-6,1.366E-6,1.443E-6,406.0E-3,25.63E-6,32.63E-6,29.44E-6,404.0E-3,1.253E-6
406.0E-3,1.123E-6,1.429E-6,1.508E-6,408.0E-3,26.69E-6,33.90E-6,30.64E-6,406.0E-3,1.312E-6
408.0E-3,1.177E-6,1.494E-6,1.576E-6,410.0E-3,27.79E-6,35.21E-6,31.87E-6,408.0E-3,1.373E-6
410.0E-3,1.232E-6,1.562E-6,1.646E-6,412.0E-3,28.92E-6,36.56E-6,33.15E-6,410.0E-3,1.437E-6
412.0E-3,1.290E-6,1.633E-6,1.720E-6,414.0E-3,30.09E-6,37.95E-6,34.48E-6,412.0E-3,1.503E-6
414.0E-3,1.350E-6,1.706E-6,1.795E-6,416.0E-3,31.30E-6,39.39E-6,35.84E-6,414.0E-3,1.572E-6
416.0E-3,1.413E-6,1.783E-6,1.874E-6,418.0E-3,32.55E-6,40.86E-6,37.26E-6,416.0E-3,1.644E-6
418.0E-3,1.478E-6,1.862E-6,1.956E-6,420.0E-3,33.84E-6,42.38E-6,38.72E-6,418.0E-3,1.718E-6
420.0E-3,1.546E-6,1.944E-6,2.041E-6,422.0E-3,35.17E-6,43.95E-6,40.22E-6,420.0E-3,1.796E-6
422.0E-3,1.616E-6,2.030E-6,2.129E-6,424.0E-3,36.55E-6,45.56E-6,41.78E-6,422.0E-3,1.876E-6
424.0E-3,1.689E-6,2.118E-6,2.220E-6,426.0E-3,37.97E-6,47.22E-6,43.38E-6,424.0E-3,1.960E-6
426.0E-3,1.765E-6,2.210E-6,2.314E-6,428.0E-3,39.44E-6,48.92E-6,45.03E-6,426.0E-3,2.047E-6
428.0E-3,1.844E-6,2.306E-6,2.412E-6,430.0E-3,40.96E-6,50.67E-6,46.74E-6,428.0E-3,2.137E-6
430.0E-3,1.926E-6,2.405E-6,2.513E-6,432.0E-3,42.53E-6,52.47E-6,48.50E-6,430.0E-3,2.230E-6
432.0E-3,2.011E-6,2.507E-6,2.618E-6,434.0E-3,44.14E-6,54.31E-6,50.32E-6,432.0E-3,2.327E-6
434.0E-3,2.099E-6,2.613E-6,2.727E-6,436.0E-3,45.81E-6,56.21E-6,52.19E-6,434.0E-3,2.428E-6
436.0E-3,2.191E-6,2.724E-6,2.839E-6,438.0E-3,47.53E-6,58.15E-6,54.12E-6,436.0E-3,2.532E-6
438.0E-3,2.286E-6,2.838E-6,2.956E-6,440.0E-3,49.31E-6,60.15E-6,56.11E-6,438.0E-3,2.640E-6
440.0E-3,2.385E-6,2.956E-6,3.076E-6,442.0E-3,51.14E-6,62.20E-6,58.15E-6,440.0E-3,2.753E-6
442.0E-3,2.487E-6,3.078E-6,3.200E-6,444.0E-3,53.03E-6,64.29E-6,60.26E-6,442.0E-3,2.869E-6
444.0E-3,2.593E-6,3.204E-6,3.329E-6,446.0E-3,54.98E-6,66.44E-6,62.43E-6,444.0E-3,2.989E-6
446.0E-3,2.703E-6,3.335E-6,3.462E-6,448.0E-3,56.99E-6,68.65E-6,64.67E-6,446.0E-3,3.114E-6
448.0E-3,2.817E-6,3.471E-6,3.599E-6,450.0E-3,59.06E-6,70.90E-6,66.96E-6,448.0E-3,3.244E-6
450.0E-3,2.935E-6,3.611E-6,3.741E-6,452.0E-3,61.20E-6,73.21E-6,69.33E-6,450.0E-3,3.378E-6
452.0E-3,3.057E-6,3.756E-6,3.887E-6,454.0E-3,63.40E-6,75.57E-6,71.76E-6,452.0E-3,3.516E-6
454.0E-3,3.184E-6,3.906E-6,4.038E-6,456.0E-3,65.66E-6,77.98E-6,74.26E-6,454.0E-3,3.660E-6
456.0E-3,3.315E-6,4.060E-6,4.194E-6,458.0E-3,68.00E-6,80.45E-6,76.83E-6,456.0E-3,3.808E-6
458.0E-3,3.451E-6,4.220E-6,4.355E-6,460.0E-3,70.41E-6,82.97E-6,79.47E-6,458.0E-3,3.962E-6
460.0E-3,3.592E-6,4.385E-6,4.521E-6,462.0E-3,72.89E-6,85.54E-6,82.18E-6,460.0E-3,4.121E-6
462.0E-3,3.738E-6,4.556E-6,4.692E-6,464.0E-3,75.44E-6,88.17E-6,84.96E-6,462.0E-3,4.285E-6
464.0E-3,3.889E-6,4.732E-6,4.869E-6,466.0E-3,78.07E-6,90.85E-6,87.82E-6,464.0E-3,4.455E-6
466.0E-3,4.045E-6,4.913E-6,5.050E-6,468.0E-3,80.77E-6,93.59E-6,90.76E-6,466.0E-3,4.631E-6
468.0E-3,4.207E-6,5.101E-6,5.238E-6,470.0E-3,83.56E-6,96.38E-6,93.76E-6,468.0E-3,4.812E-6
470.0E-3,4.374E-6,5.294E-6,5.430E-6,472.0E-3,86.43E-6,99.22E-6,96.85E-6,470.0E-3,5.000E-6
472.0E-3,4.547E-6,5.493E-6,5.629E-6,474.0E-3,89.37E-6,102.1E-6,100.0E-6,472.0E-3,5.194E-6
474.0E-3,4.725E-6,5.698E-6,5.833E-6,476.0E-3,92.41E-6,105.1E-6,103.3E-6,474.0E-3,5.394E-6
476.0E-3,4.910E-6,5.910E-6,6.043E-6,478.0E-3,95.53E-6,108.1E-6,106.6E-6,476.0E-3,5.600E-6
478.0E-3,5.101E-6,6.128E-6,6.259E-6,480.0E-3,98.73E-6,111.1E-6,110.0E-6,478.0E-3,5.813E-6
480.0E-3,5.299E-6,6.353E-6,6.482E-6,482.0E-3,102.0E-6,114.2E-6,113.5E-6,480.0E-3,6.033E-6
482.0E-3,5.503E-6,6.584E-6,6.710E-6,484.0E-3,105.4E-6,117.4E-6,117.0E-6,482.0E-3,6.260E-6
484.0E-3,5.714E-6,6.822E-6,6.945E-6,486.0E-3,108.9E-6,120.6E-6,120.7E-6,484.0E-3,6.494E-6
486.0E-3,5.931E-6,7.067E-6,7.186E-6,488.0E-3,112.5E-6,123.9E-6,124.4E-6,486.0E-3,6.735E-6
488.0E-3,6.156E-6,7.319E-6,7.434E-6,490.0E-3,116.1E-6,127.2E-6,128.2E-6,488.0E-3,6.984E-6
490.0E-3,6.389E-6,7.578E-6,7.688E-6,492.0E-3,119.9E-6,130.5E-6,132.1E-6,490.0E-3,7.241E-6
492.0E-3,6.628E-6,7.845E-6,7.949E-6,494.0E-3,123.8E-6,134.0E-6,136.1E-6,492.0E-3,7.505E-6
494.0E-3,6.876E-6,8.119E-6,8.217E-6,496.0E-3,127.8E-6,137.4E-6,140.1E-6,494.0E-3,7.777E-6
496.0E-3,7.132E-6,8.400E-6,8.492E-6,498.0E-3,131.8E-6,140.9E-6,144.3E-6,496.0E-3,8.057E-6
498.0E-3,7.395E-6,8.690E-6,8.774E-6,500.0E-3,136.0E-6,144.5E-6,148.5E-6,498.0E-3,8.346E-6
500.0E-3,7.667E-6,8.987E-6,9.063E-6,502.0E-3,140.3E-6,148.1E-6,152.8E-6,500.0E-3,8.643E-6
502.0E-3,7.948E-6,9.292E-6,9.359E-6,504.0E-3,144.7E-6,151.7E-6,157.2E-6,502.0E-3,8.948E-6
504.0E-3,8.237E-6,9.605E-6,9.662E-6,506.0E-3,149.2E-6,155.4E-6,161.7E-6,504.0E-3,9.263E-6
506.0E-3,8.536E-6,9.926E-6,9.973E-6,508.0E-3,153.8E-6,159.1E-6,166.2E-6,506.0E-3,9.586E-6
508.0E-3,8.843E-6,10.26E-6,10.29E-6,510.0E-3,158.5E-6,162.9E-6,170.9E-6,508.0E-3,9.918E-6
510.0E-3,9.160E-6,10.59E-6,10.62E-6,512.0E-3,163.3E-6,166.7E-6,175.6E-6,510.0E-3,10.26E-6
512.0E-3,9.487E-6,10.94E-6,10.95E-6,514.0E-3,168.3E-6,170.6E-6,180.4E-6,512.0E-3,10.61E-6
514.0E-3,9.823E-6,11.29E-6,11.29E-6,516.0E-3,173.3E-6,174.5E-6,185.3E-6,514.0E-3,10.97E-6
516.0E-3,10.17E-6,11.66E-6,11.64E-6,518.0E-3,178.5E-6,178.4E-6,190.2E-6,516.0E-3,11.34E-6
518.0E-3,10.53E-6,12.03E-6,12.00E-6,520.0E-3,183.8E-6,182.4E-6,195.3E-6,518.0E-3,11.72E-6
520.0E-3,10.89E-6,12.41E-6,12.36E-6,522.0E-3,189.2E-6,186.4E-6,200.4E-6,520.0E-3,12.11E-6
522.0E-3,11.27E-6,12.80E-6,12.74E-6,524.0E-3,194.7E-6,190.4E-6,205.6E-6,522.0E-3,12.51E-6
524.0E-3,11.66E-6,13.20E-6,13.12E-6,526.0E-3,200.3E-6,194.5E-6,210.9E-6,524.0E-3,12.93E-6
526.0E-3,12.06E-6,13.61E-6,13.51E-6,528.0E-3,206.1E-6,198.6E-6,216.2E-6,526.0E-3,13.35E-6
528.0E-3,12.48E-6,14.03E-6,13.90E-6,530.0E-3,211.9E-6,202.8E-6,221.7E-6,528.0E-3,13.78E-6
530.0E-3,12.90E-6,14.46E-6,14.31E-6,532.0E-3,217.9E-6,206.9E-6,227.2E-6,530.0E-3,14.22E-6
532.0E-3,13.33E-6,14.90E-6,14.72E-6,534.0E-3,224.0E-6,211.1E-6,232.7E-6,532.0E-3,14.68E-6
534.0E-3,13.78E-6,15.34E-6,15.14E-6,536.0E-3,230.2E-6,215.3E-6,238.4E-6,534.0E-3,15.14E-6
536.0E-3,14.24E-6,15.80E-6,15.57E-6,538.0E-3,236.6E-6,219.6E-6,244.1E-6,536.0E-3,15.62E-6
538.0E-3,14.72E-6,16.27E-6,16.01E-6,540.0E-3,243.0E-6,223.9E-6,249.9E-6,538.0E-3,16.11E-6
540.0E-3,15.20E-6,16.74E-6,16.46E-6,542.0E-3,249.6E-6,228.2E-6,255.7E-6,540.0E-3,16.61E-6
542.0E-3,15.70E-6,17.23E-6,16.92E-6,544.0E-3,256.3E-6,232.5E-6,261.6E-6,542.0E-3,17.12E-6
544.0E-3,16.21E-6,17.73E-6,17.38E-6,546.0E-3,263.1E-6,236.8E-6,267.6E-6,544.0E-3,17.64E-6
546.0E-3,16.74E-6,18.23E-6,17.86E-6,548.0E-3,270.0E-6,241.2E-6,273.6E-6,546.0E-3,18.18E-6
548.0E-3,17.28E-6,18.75E-6,18.34E-6,550.0E-3,277.0E-6,245.6E-6,279.7E-6,548.0E-3,18.73E-6
550.0E-3,17.83E-6,19.28E-6,18.83E-6,552.0E-3,284.1E-6,250.0E-6,285.9E-6,550.0E-3,19.28E-6
552.0E-3,18.40E-6,19.82E-6,19.33E-6,554.0E-3,291.4E-6,254.4E-6,292.1E-6,552.0E-3,19.86E-6
554.0E-3,18.99E-6,20.36E-6,19.84E-6,556.0E-3,298.8E-6,258.9E-6,298.3E-6,554.0E-3,20.44E-6
556.0E-3,19.58E-6,20.92E-6,20.36E-6,558.0E-3,306.2E-6,263.3E-6,304.7E-6,556.0E-3,21.04E-6
558.0E-3,20.20E-6,21.49E-6,20.88E-6,560.0E-3,313.8E-6,267.8E-6,311.0E-6,558.0E-3,21.65E-6
560.0E-3,20.82E-6,22.07E-6,21.42E-6,562.0E-3,321.5E-6,272.3E-6,317.4E-6,560.0E-3,22.27E-6
562.0E-3,21.47E-6,22.66E-6,21.96E-6,564.0E-3,329.2E-6,276.8E-6,323.9E-6,562.0E-3,22.90E-6
564.0E-3,22.12E-6,23.26E-6,22.52E-6,566.0E-3,337.1E-6,281.3E-6,330.4E-6,564.0E-3,23.55E-6
566.0E-3,22.80E-6,23.87E-6,23.08E-6,568.0E-3,345.1E-6,285.8E-6,336.9E-6,566.0E-3,24.21E-6
568.0E-3,23.49E-6,24.49E-6,23.65E-6,570.0E-3,353.2E-6,290.3E-6,343.5E-6,568.0E-3,24.89E-6
570.0E-3,24.20E-6,25.12E-6,24.23E-6,572.0E-3,361.3E-6,294.8E-6,350.1E-6,570.0E-3,25.57E-6
572.0E-3,24.92E-6,25.77E-6,24.82E-6,574.0E-3,369.6E-6,299.3E-6,356.7E-6,572.0E-3,26.27E-6
574.0E-3,25.66E-6,26.42E-6,25.42E-6,576.0E-3,378.0E-6,303.9E-6,363.4E-6,574.0E-3,26.99E-6
576.0E-3,26.41E-6,27.08E-6,26.03E-6,578.0E-3,386.4E-6,308.4E-6,370.1E-6,576.0E-3,27.71E-6
578.0E-3,27.19E-6,27.76E-6,26.64E-6,580.0E-3,394.9E-6,312.9E-6,376.8E-6,578.0E-3,28.45E-6
580.0E-3,27.98E-6,28.45E-6,27.27E-6,582.0E-3,403.5E-6,317.5E-6,383.6E-6,580.0E-3,29.21E-6
582.0E-3,28.78E-6,29.14E-6,27.91E-6,584.0E-3,412.2E-6,322.0E-6,390.4E-6,582.0E-3,29.97E-6
584.0E-3,29.61E-6,29.85E-6,28.55E-6,586.0E-3,421.0E-6,326.6E-6,397.2E-6,584.0E-3,30.75E-6
586.0E-3,30.45E-6,30.57E-6,29.20E-6,588.0E-3,429.8E-6,331.1E-6,404.0E-6,586.0E-3,31.55E-6
588.0E-3,31.31E-6,31.30E-6,29.86E-6,590.0E-3,438.7E-6,335.7E-6,410.9E-6,588.0E-3,32.36E-6
590.0E-3,32.19E-6,32.04E-6,30.54E-6,592.0E-3,447.7E-6,340.2E-6,417.7E-6,590.0E-3,33.18E-6
592.0E-3,33.08E-6,32.79E-6,31.22E-6,594.0E-3,456.7E-6,344.8E-6,424.6E-6,592.0E-3,34.01E-6
594.0E-3,34.00E-6,33.55E-6,31.91E-6,596.0E-3,465.9E-6,349.3E-6,431.5E-6,594.0E-3,34.86E-6
596.0E-3,34.93E-6,34.33E-6,32.60E-6,598.0E-3,475.0E-6,353.8E-6,438.4E-6,596.0E-3,35.73E-6
598.0E-3,35.88E-6,35.11E-6,33.31E-6,600.0E-3,484.2E-6,358.3E-6,445.3E-6,598.0E-3,36.60E-6
600.0E-3,36.85E-6,35.91E-6,34.03E-6,602.0E-3,493.5E-6,362.9E-6,452.2E-6,600.0E-3,37.49E-6
602.0E-3,37.83E-6,36.71E-6,34.75E-6,604.0E-3,502.8E-6,367.4E-6,459.1E-6,602.0E-3,38.40E-6
604.0E-3,38.84E-6,37.53E-6,35.49E-6,606.0E-3,512.2E-6,371.9E-6,466.0E-6,604.0E-3,39.32E-6
606.0E-3,39.86E-6,38.36E-6,36.23E-6,608.0E-3,521.6E-6,376.4E-6,472.9E-6,606.0E-3,40.25E-6
608.0E-3,40.91E-6,39.20E-6,36.99E-6,610.0E-3,531.0E-6,380.9E-6,479.9E-6,608.0E-3,41.19E-6
610.0E-3,41.97E-6,40.04E-6,37.75E-6,612.0E-3,540.5E-6,385.3E-6,486.8E-6,610.0E-3,42.15E-6
612.0E-3,43.05E-6,40.90E-6,38.52E-6,614.0E-3,550.0E-6,389.8E-6,493.7E-6,612.0E-3,43.13E-6
614.0E-3,44.15E-6,41.78E-6,39.30E-6,616.0E-3,559.6E-6,394.3E-6,500.6E-6,614.0E-3,44.12E-6
616.0E-3,45.27E-6,42.66E-6,40.09E-6,618.0E-3,569.1E-6,398.7E-6,507.5E-6,616.0E-3,45.12E-6
618.0E-3,46.41E-6,43.55E-6,40.88E-6,620.0E-3,578.7E-6,403.2E-6,514.3E-6,618.0E-3,46.13E-6
620.0E-3,47.56E-6,44.45E-6,41.69E-6,622.0E-3,588.3E-6,407.6E-6,521.2E-6,620.0E-3,47.16E-6
622.0E-3,48.74E-6,45.37E-6,42.51E-6,624.0E-3,597.9E-6,412.0E-6,528.1E-6,622.0E-3,48.20E-6
624.0E-3,49.94E-6,46.29E-6,43.33E-6,626.0E-3,607.6E-6,416.4E-6,534.9E-6,624.0E-3,49.26E-6
626.0E-3,51.15E-6,47.22E-6,44.16E-6,628.0E-3,617.2E-6,420.8E-6,541.7E-6,626.0E-3,50.33E-6
628.0E-3,52.39E-6,48.17E-6,45.00E-6,630.0E-3,626.9E-6,425.2E-6,548.5E-6,628.0E-3,51.41E-6
630.0E-3,53.64E-6,49.13E-6,45.85E-6,632.0E-3,636.5E-6,429.5E-6,555.3E-6,630.0E-3,52.51E-6
632.0E-3,54.91E-6,50.09E-6,46.71E-6,634.0E-3,646.2E-6,433.9E-6,562.1E-6,632.0E-3,53.62E-6
634.0E-3,56.20E-6,51.07E-6,47.58E-6,636.0E-3,655.8E-6,438.2E-6,568.8E-6,634.0E-3,54.74E-6
636.0E-3,57.52E-6,52.06E-6,48.46E-6,638.0E-3,665.5E-6,442.5E-6,575.6E-6,636.0E-3,55.88E-6
638.0E-3,58.85E-6,53.06E-6,49.34E-6,640.0E-3,675.1E-6,446.8E-6,582.3E-6,638.0E-3,57.03E-6
640.0E-3,60.20E-6,54.06E-6,50.24E-6,642.0E-3,684.8E-6,451.1E-6,589.0E-6,640.0E-3,58.20E-6
642.0E-3,61.57E-6,55.08E-6,51.14E-6,644.0E-3,694.4E-6,455.4E-6,595.6E-6,642.0E-3,59.38E-6
644.0E-3,62.96E-6,56.11E-6,52.05E-6,646.0E-3,704.0E-6,459.6E-6,602.2E-6,644.0E-3,60.57E-6
646.0E-3,64.36E-6,57.15E-6,52.97E-6,648.0E-3,713.6E-6,463.8E-6,608.8E-6,646.0E-3,61.77E-6
648.0E-3,65.79E-6,58.20E-6,53.90E-6,650.0E-3,723.1E-6,468.1E-6,615.4E-6,648.0E-3,62.99E-6
650.0E-3,67.24E-6,59.26E-6,54.83E-6,652.0E-3,732.7E-6,472.3E-6,621.9E-6,650.0E-3,64.22E-6
652.0E-3,68.70E-6,60.33E-6,55.78E-6,654.0E-3,742.2E-6,476.4E-6,628.5E-6,652.0E-3,65.46E-6
654.0E-3,70.19E-6,61.41E-6,56.73E-6,656.0E-3,751.7E-6,480.6E-6,634.9E-6,654.0E-3,66.72E-6
656.0E-3,71.69E-6,62.50E-6,57.69E-6,658.0E-3,761.1E-6,484.8E-6,641.4E-6,656.0E-3,67.99E-6
658.0E-3,73.21E-6,63.60E-6,58.66E-6,660.0E-3,770.5E-6,488.9E-6,647.8E-6,658.0E-3,69.27E-6
660.0E-3,74.75E-6,64.71E-6,59.64E-6,662.0E-3,779.9E-6,493.0E-6,654.2E-6,660.0E-3,70.57E-6
662.0E-3,76.31E-6,65.83E-6,60.62E-6,664.0E-3,789.3E-6,497.1E-6,660.5E-6,662.0E-3,71.88E-6
664.0E-3,77.89E-6,66.95E-6,61.62E-6,666.0E-3,798.6E-6,501.2E-6,666.8E-6,664.0E-3,73.20E-6
666.0E-3,79.49E-6,68.09E-6,62.62E-6,668.0E-3,807.8E-6,505.2E-6,673.1E-6,666.0E-3,74.53E-6
668.0E-3,81.10E-6,69.24E-6,63.63E-6,670.0E-3,817.0E-6,509.3E-6,679.4E-6,668.0E-3,75.88E-6
670.0E-3,82.74E-6,70.40E-6,64.65E-6,672.0E-3,826.2E-6,513.3E-6,685.6E-6,670.0E-3,77.24E-6
672.0E-3,84.39E-6,71.57E-6,65.68E-6,674.0E-3,835.3E-6,517.3E-6,691.7E-6,672.0E-3,78.61E-6
674.0E-3,86.06E-6,72.75E-6,66.71E-6,676.0E-3,844.4E-6,521.3E-6,697.9E-6,674.0E-3,79.99E-6
676.0E-3,87.75E-6,73.93E-6,67.75E-6,678.0E-3,853.5E-6,525.2E-6,704.0E-6,676.0E-3,81.39E-6
678.0E-3,89.46E-6,75.13E-6,68.80E-6,680.0E-3,862.4E-6,529.2E-6,710.0E-6,678.0E-3,82.79E-6
680.0E-3,91.18E-6,76.33E-6,69.86E-6,682.0E-3,871.4E-6,533.1E-6,716.1E-6,680.0E-3,84.21E-6
682.0E-3,92.93E-6,77.55E-6,70.93E-6,684.0E-3,880.2E-6,537.0E-6,722.0E-6,682.0E-3,85.65E-6
684.0E-3,94.69E-6,78.77E-6,72.00E-6,686.0E-3,889.1E-6,540.9E-6,728.0E-6,684.0E-3,87.09E-6
686.0E-3,96.46E-6,80.01E-6,73.08E-6,688.0E-3,897.8E-6,544.7E-6,733.9E-6,686.0E-3,88.55E-6
688.0E-3,98.26E-6,81.25E-6,74.17E-6,690.0E-3,906.5E-6,548.6E-6,739.7E-6,688.0E-3,90.01E-6
690.0E-3,100.1E-6,82.50E-6,75.27E-6,692.0E-3,915.2E-6,552.4E-6,745.6E-6,690.0E-3,91.49E-6
692.0E-3,101.9E-6,83.76E-6,76.38E-6,694.0E-3,923.7E-6,556.2E-6,751.3E-6,692.0E-3,92.99E-6
694.0E-3,103.8E-6,85.03E-6,77.49E-6,696.0E-3,932.3E-6,560.0E-6,757.1E-6,694.0E-3,94.49E-6
696.0E-3,105.6E-6,86.31E-6,78.61E-6,698.0E-3,940.7E-6,563.8E-6,762.8E-6,696.0E-3,96.00E-6
698.0E-3,107.5E-6,87.60E-6,79.74E-6,700.0E-3,949.1E-6,567.5E-6,768.5E-6,698.0E-3,97.53E-6
700.0E-3,109.4E-6,88.90E-6,80.87E-6,702.0E-3,957.5E-6,571.2E-6,774.1E-6,700.0E-3,99.06E-6
702.0E-3,111.3E-6,90.20E-6,82.01E-6,704.0E-3,965.7E-6,574.9E-6,779.7E-6,702.0E-3,100.6E-6
704.0E-3,113.2E-6,91.52E-6,83.16E-6,706.0E-3,973.9E-6,578.6E-6,785.2E-6,704.0E-3,102.2E-6
706.0E-3,115.2E-6,92.84E-6,84.32E-6,708.0E-3,982.1E-6,582.3E-6,790.7E-6,706.0E-3,103.7E-6
708.0E-3,117.2E-6,94.17E-6,85.48E-6,710.0E-3,990.1E-6,585.9E-6,796.2E-6,708.0E-3,105.3E-6
710.0E-3,119.1E-6,95.51E-6,86.66E-6,712.0E-3,998.2E-6,589.6E-6,801.6E-6,710.0E-3,106.9E-6
712.0E-3,121.1E-6,96.86E-6,87.84E-6,714.0E-3,1.006E-3,593.2E-6,806.9E-6,712.0E-3,108.5E-6
714.0E-3,123.1E-6,98.22E-6,89.02E-6,716.0E-3,1.014E-3,596.7E-6,812.3E-6,714.0E-3,110.1E-6
716.0E-3,125.2E-6,99.59E-6,90.21E-6,718.0E-3,1.022E-3,600.3E-6,817.6E-6,716.0E-3,111.8E-6
718.0E-3,127.2E-6,101.0E-6,91.42E-6,720.0E-3,1.030E-3,603.9E-6,822.8E-6,718.0E-3,113.4E-6
720.0E-3,129.3E-6,102.3E-6,92.62E-6,722.0E-3,1.037E-3,607.4E-6,828.0E-6,720.0E-3,115.0E-6
722.0E-3,131.3E-6,103.7E-6,93.84E-6,724.0E-3,1.045E-3,610.9E-6,833.2E-6,722.0E-3,116.7E-6
724.0E-3,133.4E-6,105.1E-6,95.06E-6,726.0E-3,1.052E-3,614.4E-6,838.3E-6,724.0E-3,118.4E-6
726.0E-3,135.5E-6,106.5E-6,96.29E-6,728.0E-3,1.060E-3,617.8E-6,843.4E-6,726.0E-3,120.0E-6
728.0E-3,137.7E-6,108.0E-6,97.52E-6,730.0E-3,1.067E-3,621.3E-6,848.5E-6,728.0E-3,121.7E-6
730.0E-3,139.8E-6,109.4E-6,98.77E-6,732.0E-3,1.074E-3,624.7E-6,853.5E-6,730.0E-3,123.4E-6
732.0E-3,141.9E-6,110.8E-6,100.0E-6,734.0E-3,1.082E-3,628.1E-6,858.4E-6,732.0E-3,125.1E-6
734.0E-3,144.1E-6,112.2E-6,101.3E-6,736.0E-3,1.089E-3,631.5E-6,863.4E-6,734.0E-3,126.8E-6
736.0E-3,146.3E-6,113.7E-6,102.5E-6,738.0E-3,1.096E-3,634.9E-6,868.2E-6,736.0E-3,128.6E-6
738.0E-3,148.5E-6,115.1E-6,103.8E-6,740.0E-3,1.103E-3,638.2E-6,873.1E-6,738.0E-3,130.3E-6
740.0E-3,150.7E-6,116.6E-6,105.1E-6,742.0E-3,1.110E-3,641.5E-6,877.9E-6,740.0E-3,132.1E-6
742.0E-3,152.9E-6,118.1E-6,106.4E-6,744.0E-3,1.117E-3,644.8E-6,882.6E-6,742.0E-3,133.8E-6
744.0E-3,155.1E-6,119.6E-6,107.7E-6,746.0E-3,1.124E-3,648.1E-6,887.4E-6,744.0E-3,135.6E-6
746.0E-3,157.4E-6,121.0E-6,109.0E-6,748.0E-3,1.131E-3,651.4E-6,892.0E-6,746.0E-3,137.4E-6
748.0E-3,159.6E-6,122.5E-6,110.3E-6,750.0E-3,1.137E-3,654.6E-6,896.7E-6,748.0E-3,139.1E-6
750.0E-3,161.9E-6,124.0E-6,111.6E-6,752.0E-3,1.144E-3,657.9E-6,901.3E-6,750.0E-3,140.9E-6
752.0E-3,164.2E-6,125.5E-6,112.9E-6,754.0E-3,1.150E-3,661.1E-6,905.9E-6,752.0E-3,142.7E-6
754.0E-3,166.5E-6,127.1E-6,114.2E-6,756.0E-3,1.157E-3,664.3E-6,910.4E-6,754.0E-3,144.5E-6
756.0E-3,168.8E-6,128.6E-6,115.5E-6,758.0E-3,1.163E-3,667.4E-6,914.9E-6,756.0E-3,146.4E-6
758.0E-3,171.2E-6,130.1E-6,116.9E-6,760.0E-3,1.170E-3,670.6E-6,919.3E-6,758.0E-3,148.2E-6
760.0E-3,173.5E-6,131.7E-6,118.2E-6,762.0E-3,1.176E-3,673.7E-6,923.7E-6,760.0E-3,150.0E-6
