dc (V),NM0:d (A),V1:p (A),dc (V),deriv(i("/V1/PLUS" ?result "dc")),deriv(i("/NM0/D" ?result "dc"))
634.0E-3,5.905E-3,4.095E-6,636.0E-3,-109.8E-6,7.918E-3
636.0E-3,5.905E-3,3.875E-6,638.0E-3,-104.4E-6,8.025E-3
638.0E-3,5.905E-3,3.667E-6,640.0E-3,-99.16E-6,8.132E-3
640.0E-3,5.905E-3,3.468E-6,642.0E-3,-94.17E-6,8.239E-3
642.0E-3,5.905E-3,3.280E-6,644.0E-3,-89.41E-6,8.345E-3
644.0E-3,5.905E-3,3.101E-6,646.0E-3,-84.87E-6,8.451E-3
646.0E-3,5.905E-3,2.931E-6,648.0E-3,-80.53E-6,8.557E-3
648.0E-3,5.905E-3,2.770E-6,650.0E-3,-76.39E-6,8.662E-3
650.0E-3,5.905E-3,2.618E-6,652.0E-3,-72.45E-6,8.767E-3
652.0E-3,5.905E-3,2.473E-6,654.0E-3,-68.69E-6,8.871E-3
654.0E-3,5.905E-3,2.335E-6,656.0E-3,-65.11E-6,8.975E-3
656.0E-3,5.905E-3,2.205E-6,658.0E-3,-61.70E-6,9.078E-3
658.0E-3,5.905E-3,2.082E-6,660.0E-3,-58.46E-6,9.181E-3
660.0E-3,5.905E-3,1.965E-6,662.0E-3,-55.37E-6,9.283E-3
662.0E-3,5.905E-3,1.854E-6,664.0E-3,-52.43E-6,9.385E-3
664.0E-3,5.905E-3,1.749E-6,666.0E-3,-49.63E-6,9.486E-3
666.0E-3,5.905E-3,1.650E-6,668.0E-3,-46.97E-6,9.587E-3
668.0E-3,5.905E-3,1.556E-6,670.0E-3,-44.44E-6,9.687E-3
670.0E-3,5.905E-3,1.467E-6,672.0E-3,-42.04E-6,9.786E-3
672.0E-3,5.905E-3,1.383E-6,674.0E-3,-39.75E-6,9.885E-3
674.0E-3,5.905E-3,1.304E-6,676.0E-3,-37.58E-6,9.983E-3
676.0E-3,5.905E-3,1.228E-6,678.0E-3,-35.53E-6,10.08E-3
678.0E-3,5.905E-3,1.157E-6,680.0E-3,-33.57E-6,10.18E-3
680.0E-3,5.905E-3,1.090E-6,682.0E-3,-31.72E-6,10.27E-3
682.0E-3,5.905E-3,1.027E-6,684.0E-3,-29.96E-6,10.37E-3
684.0E-3,5.905E-3,966.8E-9,686.0E-3,-28.29E-6,10.46E-3
686.0E-3,5.905E-3,910.2E-9,688.0E-3,-26.71E-6,10.56E-3
688.0E-3,5.905E-3,856.8E-9,690.0E-3,-25.21E-6,10.65E-3
690.0E-3,5.905E-3,806.4E-9,692.0E-3,-23.79E-6,10.74E-3
692.0E-3,5.905E-3,758.8E-9,694.0E-3,-22.45E-6,10.83E-3
694.0E-3,5.905E-3,713.9E-9,696.0E-3,-21.17E-6,10.93E-3
696.0E-3,5.905E-3,671.5E-9,698.0E-3,-19.97E-6,11.02E-3
698.0E-3,5.905E-3,631.6E-9,700.0E-3,-18.83E-6,11.10E-3
700.0E-3,5.905E-3,593.9E-9,702.0E-3,-17.75E-6,11.19E-3
702.0E-3,5.905E-3,558.4E-9,704.0E-3,-16.73E-6,11.28E-3
704.0E-3,5.905E-3,525.0E-9,706.0E-3,-15.76E-6,11.37E-3
706.0E-3,5.905E-3,493.5E-9,708.0E-3,-14.85E-6,11.45E-3
708.0E-3,5.905E-3,463.7E-9,710.0E-3,-13.99E-6,11.54E-3
710.0E-3,5.905E-3,435.8E-9,712.0E-3,-13.18E-6,11.62E-3
712.0E-3,5.905E-3,409.4E-9,714.0E-3,-12.41E-6,11.71E-3
714.0E-3,5.905E-3,384.6E-9,716.0E-3,-11.68E-6,11.79E-3
716.0E-3,5.905E-3,361.2E-9,718.0E-3,-10.99E-6,11.87E-3
718.0E-3,5.905E-3,339.3E-9,720.0E-3,-10.34E-6,11.95E-3
720.0E-3,5.905E-3,318.6E-9,722.0E-3,-9.734E-6,12.04E-3
722.0E-3,5.905E-3,299.1E-9,724.0E-3,-9.157E-6,12.12E-3
724.0E-3,5.905E-3,280.8E-9,726.0E-3,-8.613E-6,12.19E-3
726.0E-3,5.905E-3,263.6E-9,728.0E-3,-8.100E-6,12.27E-3
728.0E-3,5.905E-3,247.4E-9,730.0E-3,-7.616E-6,12.35E-3
730.0E-3,5.905E-3,232.1E-9,732.0E-3,-7.160E-6,12.43E-3
732.0E-3,5.905E-3,217.8E-9,734.0E-3,-6.731E-6,12.50E-3
734.0E-3,5.905E-3,204.4E-9,736.0E-3,-6.326E-6,12.58E-3
736.0E-3,5.905E-3,191.7E-9,738.0E-3,-5.944E-6,12.65E-3
738.0E-3,5.905E-3,179.8E-9,740.0E-3,-5.585E-6,12.73E-3
740.0E-3,5.905E-3,168.6E-9,742.0E-3,-5.247E-6,12.80E-3
742.0E-3,5.905E-3,158.1E-9,744.0E-3,-4.928E-6,12.87E-3
744.0E-3,5.905E-3,148.3E-9,746.0E-3,-4.629E-6,12.94E-3
746.0E-3,5.905E-3,139.0E-9,748.0E-3,-4.346E-6,13.01E-3
748.0E-3,5.905E-3,130.3E-9,750.0E-3,-4.081E-6,13.08E-3
750.0E-3,5.905E-3,122.2E-9,752.0E-3,-3.831E-6,13.15E-3
752.0E-3,5.905E-3,114.5E-9,754.0E-3,-3.596E-6,13.22E-3
754.0E-3,5.905E-3,107.3E-9,756.0E-3,-3.375E-6,13.29E-3
756.0E-3,5.905E-3,100.6E-9,758.0E-3,-3.167E-6,13.35E-3
758.0E-3,5.905E-3,94.24E-9,760.0E-3,-2.972E-6,13.42E-3
760.0E-3,5.905E-3,88.30E-9,762.0E-3,-2.788E-6,13.48E-3
762.0E-3,5.905E-3,82.72E-9,764.0E-3,-2.616E-6,13.55E-3
764.0E-3,5.905E-3,77.49E-9,766.0E-3,-2.454E-6,13.61E-3
766.0E-3,5.905E-3,72.58E-9,768.0E-3,-2.301E-6,13.67E-3
768.0E-3,5.905E-3,67.98E-9,770.0E-3,-2.158E-6,13.73E-3
770.0E-3,5.905E-3,63.66E-9,772.0E-3,-2.023E-6,13.80E-3
772.0E-3,5.905E-3,59.62E-9,774.0E-3,-1.897E-6,13.86E-3
774.0E-3,5.905E-3,55.82E-9,776.0E-3,-1.779E-6,13.92E-3
776.0E-3,5.905E-3,52.26E-9,778.0E-3,-1.667E-6,13.98E-3
778.0E-3,5.905E-3,48.93E-9,780.0E-3,-1.563E-6,14.03E-3
780.0E-3,5.905E-3,45.80E-9,782.0E-3,-1.465E-6,14.09E-3
782.0E-3,5.905E-3,42.88E-9,784.0E-3,-1.372E-6,14.15E-3
784.0E-3,5.905E-3,40.13E-9,786.0E-3,-1.286E-6,14.21E-3
786.0E-3,5.905E-3,37.56E-9,788.0E-3,-1.205E-6,14.26E-3
788.0E-3,5.905E-3,35.15E-9,790.0E-3,-1.129E-6,14.32E-3
790.0E-3,5.905E-3,32.89E-9,792.0E-3,-1.057E-6,14.37E-3
792.0E-3,5.905E-3,30.78E-9,794.0E-3,-990.5E-9,14.42E-3
794.0E-3,5.905E-3,28.79E-9,796.0E-3,-927.7E-9,14.48E-3
796.0E-3,5.905E-3,26.94E-9,798.0E-3,-868.8E-9,14.53E-3
798.0E-3,5.905E-3,25.20E-9,800.0E-3,-813.6E-9,14.58E-3
800.0E-3,5.905E-3,23.57E-9,802.0E-3,-761.9E-9,14.63E-3
802.0E-3,5.905E-3,22.05E-9,804.0E-3,-713.3E-9,14.68E-3
804.0E-3,5.905E-3,20.62E-9,806.0E-3,-667.8E-9,14.73E-3
806.0E-3,5.905E-3,19.29E-9,808.0E-3,-625.2E-9,14.78E-3
808.0E-3,5.905E-3,18.04E-9,810.0E-3,-585.2E-9,14.83E-3
810.0E-3,5.905E-3,16.87E-9,812.0E-3,-547.8E-9,14.88E-3
812.0E-3,5.905E-3,15.77E-9,814.0E-3,-512.7E-9,14.92E-3
814.0E-3,5.905E-3,14.75E-9,816.0E-3,-479.8E-9,14.97E-3
816.0E-3,5.905E-3,13.79E-9,818.0E-3,-449.0E-9,15.02E-3
818.0E-3,5.905E-3,12.89E-9,820.0E-3,-420.2E-9,15.06E-3
820.0E-3,5.905E-3,12.05E-9,822.0E-3,-393.1E-9,15.11E-3
822.0E-3,5.905E-3,11.26E-9,824.0E-3,-367.8E-9,15.15E-3
824.0E-3,5.905E-3,10.53E-9,826.0E-3,-344.1E-9,15.20E-3
826.0E-3,5.905E-3,9.838E-9,828.0E-3,-321.9E-9,15.24E-3
828.0E-3,5.905E-3,9.195E-9,830.0E-3,-301.1E-9,15.28E-3
830.0E-3,5.905E-3,8.592E-9,832.0E-3,-281.7E-9,15.32E-3
832.0E-3,5.905E-3,8.029E-9,834.0E-3,-263.4E-9,15.37E-3
834.0E-3,5.905E-3,7.502E-9,836.0E-3,-246.4E-9,15.41E-3
836.0E-3,5.905E-3,7.009E-9,838.0E-3,-230.4E-9,15.45E-3
838.0E-3,5.905E-3,6.548E-9,840.0E-3,-215.5E-9,15.49E-3
840.0E-3,5.905E-3,6.118E-9,842.0E-3,-201.5E-9,15.53E-3
842.0E-3,5.905E-3,5.715E-9,844.0E-3,-188.4E-9,15.57E-3
844.0E-3,5.905E-3,5.338E-9,846.0E-3,-176.1E-9,15.60E-3
846.0E-3,5.905E-3,4.986E-9,848.0E-3,-164.7E-9,15.64E-3
848.0E-3,5.905E-3,4.656E-9,850.0E-3,-153.9E-9,15.68E-3
850.0E-3,5.905E-3,4.348E-9,852.0E-3,-143.9E-9,15.72E-3
852.0E-3,5.905E-3,4.060E-9,854.0E-3,-134.5E-9,15.75E-3
854.0E-3,5.905E-3,3.791E-9,856.0E-3,-125.7E-9,15.79E-3
856.0E-3,5.905E-3,3.540E-9,858.0E-3,-117.5E-9,15.82E-3
858.0E-3,5.905E-3,3.305E-9,860.0E-3,-109.8E-9,15.86E-3
860.0E-3,5.905E-3,3.085E-9,862.0E-3,-102.6E-9,15.89E-3
862.0E-3,5.905E-3,2.880E-9,864.0E-3,-95.92E-9,15.93E-3
864.0E-3,5.905E-3,2.688E-9,866.0E-3,-89.64E-9,15.96E-3
866.0E-3,5.905E-3,2.509E-9,868.0E-3,-83.76E-9,15.99E-3
868.0E-3,5.905E-3,2.341E-9,870.0E-3,-78.26E-9,16.02E-3
870.0E-3,5.905E-3,2.185E-9,872.0E-3,-73.12E-9,16.06E-3
872.0E-3,5.905E-3,2.039E-9,874.0E-3,-68.31E-9,16.09E-3
874.0E-3,5.905E-3,1.902E-9,876.0E-3,-63.82E-9,16.12E-3
876.0E-3,5.905E-3,1.774E-9,878.0E-3,-59.62E-9,16.15E-3
878.0E-3,5.905E-3,1.655E-9,880.0E-3,-55.69E-9,16.18E-3
880.0E-3,5.905E-3,1.544E-9,882.0E-3,-52.02E-9,16.21E-3
882.0E-3,5.905E-3,1.440E-9,884.0E-3,-48.59E-9,16.24E-3
884.0E-3,5.905E-3,1.342E-9,886.0E-3,-45.38E-9,16.27E-3
886.0E-3,5.905E-3,1.252E-9,888.0E-3,-42.39E-9,16.30E-3
888.0E-3,5.905E-3,1.167E-9,890.0E-3,-39.59E-9,16.32E-3
890.0E-3,5.905E-3,1.088E-9,892.0E-3,-36.97E-9,16.35E-3
892.0E-3,5.905E-3,1.014E-9,894.0E-3,-34.53E-9,16.38E-3
894.0E-3,5.905E-3,944.8E-12,896.0E-3,-32.24E-9,16.41E-3
896.0E-3,5.905E-3,880.3E-12,898.0E-3,-30.11E-9,16.43E-3
898.0E-3,5.905E-3,820.1E-12,900.0E-3,-28.11E-9,16.46E-3
900.0E-3,5.905E-3,763.8E-12,902.0E-3,-26.25E-9,16.48E-3
902.0E-3,5.905E-3,711.3E-12,904.0E-3,-24.51E-9,16.51E-3
904.0E-3,5.905E-3,662.3E-12,906.0E-3,-22.88E-9,16.53E-3
906.0E-3,5.905E-3,616.6E-12,908.0E-3,-21.37E-9,16.56E-3
908.0E-3,5.905E-3,573.8E-12,910.0E-3,-19.95E-9,16.58E-3
910.0E-3,5.905E-3,533.9E-12,912.0E-3,-18.62E-9,16.61E-3
912.0E-3,5.905E-3,496.7E-12,914.0E-3,-17.39E-9,16.63E-3
914.0E-3,5.905E-3,461.9E-12,916.0E-3,-16.23E-9,16.65E-3
916.0E-3,5.905E-3,429.4E-12,918.0E-3,-15.15E-9,16.68E-3
918.0E-3,5.905E-3,399.1E-12,920.0E-3,-14.15E-9,16.70E-3
920.0E-3,5.905E-3,370.8E-12,922.0E-3,-13.21E-9,16.72E-3
922.0E-3,5.905E-3,344.4E-12,924.0E-3,-12.33E-9,16.74E-3
924.0E-3,5.905E-3,319.8E-12,926.0E-3,-11.51E-9,16.76E-3
926.0E-3,5.905E-3,296.7E-12,928.0E-3,-10.75E-9,16.78E-3
928.0E-3,5.905E-3,275.3E-12,930.0E-3,-10.03E-9,16.80E-3
930.0E-3,5.905E-3,255.2E-12,932.0E-3,-9.364E-9,16.82E-3
932.0E-3,5.905E-3,236.5E-12,934.0E-3,-8.741E-9,16.84E-3
934.0E-3,5.905E-3,219.0E-12,936.0E-3,-8.159E-9,16.86E-3
936.0E-3,5.905E-3,202.7E-12,938.0E-3,-7.616E-9,16.88E-3
938.0E-3,5.905E-3,187.4E-12,940.0E-3,-7.110E-9,16.90E-3
940.0E-3,5.905E-3,173.2E-12,942.0E-3,-6.638E-9,16.92E-3
942.0E-3,5.905E-3,159.9E-12,944.0E-3,-6.198E-9,16.94E-3
944.0E-3,5.905E-3,147.5E-12,946.0E-3,-5.786E-9,16.96E-3
946.0E-3,5.905E-3,136.0E-12,948.0E-3,-5.403E-9,16.97E-3
948.0E-3,5.905E-3,125.2E-12,950.0E-3,-5.045E-9,16.99E-3
950.0E-3,5.905E-3,115.1E-12,952.0E-3,-4.711E-9,17.01E-3
952.0E-3,5.905E-3,105.6E-12,954.0E-3,-4.399E-9,17.03E-3
954.0E-3,5.905E-3,96.85E-12,956.0E-3,-4.107E-9,17.04E-3
956.0E-3,5.905E-3,88.63E-12,958.0E-3,-3.835E-9,17.06E-3
958.0E-3,5.905E-3,80.96E-12,960.0E-3,-3.581E-9,17.07E-3
960.0E-3,5.905E-3,73.80E-12,962.0E-3,-3.343E-9,17.09E-3
962.0E-3,5.905E-3,67.12E-12,964.0E-3,-3.120E-9,17.10E-3
964.0E-3,5.905E-3,60.88E-12,966.0E-3,-2.912E-9,17.12E-3
966.0E-3,5.905E-3,55.05E-12,968.0E-3,-2.717E-9,17.13E-3
968.0E-3,5.905E-3,49.62E-12,970.0E-3,-2.535E-9,17.15E-3
970.0E-3,5.905E-3,44.55E-12,972.0E-3,-2.363E-9,17.16E-3
972.0E-3,5.905E-3,39.82E-12,974.0E-3,-2.203E-9,17.18E-3
974.0E-3,5.905E-3,35.42E-12,976.0E-3,-2.052E-9,17.19E-3
976.0E-3,5.905E-3,31.31E-12,978.0E-3,-1.910E-9,17.20E-3
978.0E-3,5.905E-3,27.49E-12,980.0E-3,-1.777E-9,17.22E-3
980.0E-3,5.905E-3,23.94E-12,982.0E-3,-1.652E-9,17.23E-3
982.0E-3,5.905E-3,20.63E-12,984.0E-3,-1.534E-9,17.24E-3
984.0E-3,5.905E-3,17.56E-12,986.0E-3,-1.424E-9,17.25E-3
986.0E-3,5.905E-3,14.72E-12,988.0E-3,-1.319E-9,17.27E-3
988.0E-3,5.905E-3,12.08E-12,990.0E-3,-1.221E-9,17.28E-3
990.0E-3,5.905E-3,9.636E-12,992.0E-3,-1.128E-9,17.29E-3
992.0E-3,5.905E-3,7.380E-12,994.0E-3,-1.041E-9,17.30E-3
994.0E-3,5.905E-3,5.298E-12,996.0E-3,-958.8E-12,17.31E-3
996.0E-3,5.905E-3,3.380E-12,998.0E-3,-881.4E-12,17.32E-3
998.0E-3,5.905E-3,1.617E-12,1.000,-808.6E-12,17.33E-3
1.000,5.905E-3,-858.3E-30, , , 
