dc (V),NM0:d (A),V1:p (A),dc (V),deriv(i("/V1/PLUS" ?result "dc")),deriv(i("/NM0/D" ?result "dc"))
144.0E-3,5.905E-3,2.624E-3,146.0E-3,-10.49E-3,191.0E-9
146.0E-3,5.905E-3,2.603E-3,148.0E-3,-10.47E-3,204.6E-9
148.0E-3,5.905E-3,2.582E-3,150.0E-3,-10.45E-3,219.2E-9
150.0E-3,5.905E-3,2.561E-3,152.0E-3,-10.43E-3,234.7E-9
152.0E-3,5.905E-3,2.540E-3,154.0E-3,-10.42E-3,251.4E-9
154.0E-3,5.905E-3,2.519E-3,156.0E-3,-10.40E-3,269.3E-9
156.0E-3,5.905E-3,2.499E-3,158.0E-3,-10.38E-3,288.4E-9
158.0E-3,5.905E-3,2.478E-3,160.0E-3,-10.36E-3,308.8E-9
160.0E-3,5.905E-3,2.457E-3,162.0E-3,-10.34E-3,330.7E-9
162.0E-3,5.905E-3,2.437E-3,164.0E-3,-10.32E-3,354.1E-9
164.0E-3,5.905E-3,2.416E-3,166.0E-3,-10.30E-3,379.1E-9
166.0E-3,5.905E-3,2.395E-3,168.0E-3,-10.28E-3,405.8E-9
168.0E-3,5.905E-3,2.375E-3,170.0E-3,-10.26E-3,434.4E-9
170.0E-3,5.905E-3,2.354E-3,172.0E-3,-10.24E-3,465.0E-9
172.0E-3,5.905E-3,2.334E-3,174.0E-3,-10.22E-3,497.7E-9
174.0E-3,5.905E-3,2.313E-3,176.0E-3,-10.20E-3,532.6E-9
176.0E-3,5.905E-3,2.293E-3,178.0E-3,-10.18E-3,569.9E-9
178.0E-3,5.905E-3,2.272E-3,180.0E-3,-10.16E-3,609.8E-9
180.0E-3,5.905E-3,2.252E-3,182.0E-3,-10.14E-3,652.5E-9
182.0E-3,5.905E-3,2.232E-3,184.0E-3,-10.12E-3,698.1E-9
184.0E-3,5.905E-3,2.212E-3,186.0E-3,-10.10E-3,746.7E-9
186.0E-3,5.905E-3,2.191E-3,188.0E-3,-10.08E-3,798.7E-9
188.0E-3,5.905E-3,2.171E-3,190.0E-3,-10.05E-3,854.3E-9
190.0E-3,5.905E-3,2.151E-3,192.0E-3,-10.03E-3,913.6E-9
192.0E-3,5.905E-3,2.131E-3,194.0E-3,-10.01E-3,976.9E-9
194.0E-3,5.905E-3,2.111E-3,196.0E-3,-9.986E-3,1.045E-6
196.0E-3,5.905E-3,2.091E-3,198.0E-3,-9.963E-3,1.117E-6
198.0E-3,5.905E-3,2.071E-3,200.0E-3,-9.939E-3,1.194E-6
200.0E-3,5.905E-3,2.051E-3,202.0E-3,-9.916E-3,1.276E-6
202.0E-3,5.905E-3,2.031E-3,204.0E-3,-9.892E-3,1.364E-6
204.0E-3,5.905E-3,2.012E-3,206.0E-3,-9.868E-3,1.457E-6
206.0E-3,5.905E-3,1.992E-3,208.0E-3,-9.843E-3,1.557E-6
208.0E-3,5.905E-3,1.972E-3,210.0E-3,-9.818E-3,1.664E-6
210.0E-3,5.905E-3,1.953E-3,212.0E-3,-9.793E-3,1.778E-6
212.0E-3,5.905E-3,1.933E-3,214.0E-3,-9.768E-3,1.899E-6
214.0E-3,5.905E-3,1.914E-3,216.0E-3,-9.742E-3,2.028E-6
216.0E-3,5.905E-3,1.894E-3,218.0E-3,-9.716E-3,2.165E-6
218.0E-3,5.905E-3,1.875E-3,220.0E-3,-9.690E-3,2.312E-6
220.0E-3,5.905E-3,1.855E-3,222.0E-3,-9.663E-3,2.468E-6
222.0E-3,5.905E-3,1.836E-3,224.0E-3,-9.636E-3,2.635E-6
224.0E-3,5.905E-3,1.817E-3,226.0E-3,-9.609E-3,2.812E-6
226.0E-3,5.905E-3,1.797E-3,228.0E-3,-9.581E-3,3.001E-6
228.0E-3,5.905E-3,1.778E-3,230.0E-3,-9.553E-3,3.202E-6
230.0E-3,5.905E-3,1.759E-3,232.0E-3,-9.525E-3,3.416E-6
232.0E-3,5.905E-3,1.740E-3,234.0E-3,-9.496E-3,3.644E-6
234.0E-3,5.905E-3,1.721E-3,236.0E-3,-9.467E-3,3.887E-6
236.0E-3,5.905E-3,1.702E-3,238.0E-3,-9.438E-3,4.144E-6
238.0E-3,5.905E-3,1.683E-3,240.0E-3,-9.408E-3,4.419E-6
240.0E-3,5.905E-3,1.664E-3,242.0E-3,-9.378E-3,4.710E-6
242.0E-3,5.905E-3,1.646E-3,244.0E-3,-9.347E-3,5.020E-6
244.0E-3,5.905E-3,1.627E-3,246.0E-3,-9.316E-3,5.350E-6
246.0E-3,5.905E-3,1.608E-3,248.0E-3,-9.285E-3,5.700E-6
248.0E-3,5.905E-3,1.590E-3,250.0E-3,-9.253E-3,6.072E-6
250.0E-3,5.905E-3,1.571E-3,252.0E-3,-9.221E-3,6.467E-6
252.0E-3,5.905E-3,1.553E-3,254.0E-3,-9.189E-3,6.886E-6
254.0E-3,5.905E-3,1.534E-3,256.0E-3,-9.156E-3,7.331E-6
256.0E-3,5.905E-3,1.516E-3,258.0E-3,-9.123E-3,7.803E-6
258.0E-3,5.905E-3,1.498E-3,260.0E-3,-9.089E-3,8.304E-6
